timestamp,event_id,regime_id,provider_agreement_v2,provider_gap_reason,nq_yf_15m_coarse_regime,nq_yf_15m_ret_4,nq_yf_15m_ret_16,nq_yf_15m_fwd_ret_4
2026-05-01 00:00:00+00:00,NQ|15m|2026-05-01T00:00:00+00:00|ProviderDisagreementTransitionGuardrail|observe_only,ProviderDisagreementTransitionGuardrail,False,NQ has yfinance local file but no same-market second provider in refreshed A-v2 packet; Kraken crypto is not valid QQQ/NQ agreement substitute.,transition_or_range,,,0.001385869565217357
2026-05-01 00:15:00+00:00,NQ|15m|2026-05-01T00:15:00+00:00|ProviderDisagreementTransitionGuardrail|observe_only,ProviderDisagreementTransitionGuardrail,False,NQ has yfinance local file but no same-market second provider in refreshed A-v2 packet; Kraken crypto is not valid QQQ/NQ agreement substitute.,transition_or_range,,,0.0006062306028826736
2026-05-01 00:30:00+00:00,NQ|15m|2026-05-01T00:30:00+00:00|ProviderDisagreementTransitionGuardrail|observe_only,ProviderDisagreementTransitionGuardrail,False,NQ has yfinance local file but no same-market second provider in refreshed A-v2 packet; Kraken crypto is not valid QQQ/NQ agreement substitute.,transition_or_range,,,0.0005338158787604463
2026-05-01 00:45:00+00:00,NQ|15m|2026-05-01T00:45:00+00:00|ProviderDisagreementTransitionGuardrail|observe_only,ProviderDisagreementTransitionGuardrail,False,NQ has yfinance local file but no same-market second provider in refreshed A-v2 packet; Kraken crypto is not valid QQQ/NQ agreement substitute.,transition_or_range,,,0.0008959113862192503
2026-05-01 01:00:00+00:00,NQ|15m|2026-05-01T01:00:00+00:00|ProviderDisagreementTransitionGuardrail|observe_only,ProviderDisagreementTransitionGuardrail,False,NQ has yfinance local file but no same-market second provider in refreshed A-v2 packet; Kraken crypto is not valid QQQ/NQ agreement substitute.,transition_or_range,0.001385869565217357,,0.00022613588052800004
2026-05-01 01:15:00+00:00,NQ|15m|2026-05-01T01:15:00+00:00|ProviderDisagreementTransitionGuardrail|observe_only,ProviderDisagreementTransitionGuardrail,False,NQ has yfinance local file but no same-market second provider in refreshed A-v2 packet; Kraken crypto is not valid QQQ/NQ agreement substitute.,transition_or_range,0.0006062306028826736,,-0.0003074530229866257
2026-05-01 01:30:00+00:00,NQ|15m|2026-05-01T01:30:00+00:00|ProviderDisagreementTransitionGuardrail|observe_only,ProviderDisagreementTransitionGuardrail,False,NQ has yfinance local file but no same-market second provider in refreshed A-v2 packet; Kraken crypto is not valid QQQ/NQ agreement substitute.,transition_or_range,0.0005338158787604463,,-0.0006330029660710501
2026-05-01 01:45:00+00:00,NQ|15m|2026-05-01T01:45:00+00:00|ProviderDisagreementTransitionGuardrail|observe_only,ProviderDisagreementTransitionGuardrail,False,NQ has yfinance local file but no same-market second provider in refreshed A-v2 packet; Kraken crypto is not valid QQQ/NQ agreement substitute.,trend_expansion_up,0.0008959113862192503,,-0.00029836981582442856
2026-05-01 02:00:00+00:00,NQ|15m|2026-05-01T02:00:00+00:00|ProviderDisagreementTransitionGuardrail|observe_only,ProviderDisagreementTransitionGuardrail,False,NQ has yfinance local file but no same-market second provider in refreshed A-v2 packet; Kraken crypto is not valid QQQ/NQ agreement substitute.,transition_or_range,0.00022613588052800004,,0.00019895458409457945
2026-05-01 02:15:00+00:00,NQ|15m|2026-05-01T02:15:00+00:00|ProviderDisagreementTransitionGuardrail|observe_only,ProviderDisagreementTransitionGuardrail,False,NQ has yfinance local file but no same-market second provider in refreshed A-v2 packet; Kraken crypto is not valid QQQ/NQ agreement substitute.,transition_or_range,-0.0003074530229866257,,0.0006784137781314925
