requirement,status,evidence,verdict
every_regime_confidence_at_least_95_percent,blocked,accepted_rows_added_0_and_no_new_confidence_gate,not_complete
per_regime_qualifying_conditions,blocked,no_accepted_regimes_after_023312,not_complete
cross_market_and_cross_cycle_validation,blocked,R3_native_subhour_absent_R5_recency_absent_TSIE_candidate_only,not_complete
R6_source_controls_or_flip,blocked,R6_owner_export_absent_and_flip_false,not_complete
provider_context_ibkr_tradingview_yfinance_kraken,partial,021456_provider_mapping_non_promoting,not_complete
real_chain_filter_bbn_catboost_execution_tree,partial,020037_callability_only_no_eligible_promotion_rerun,not_complete
real_autoquant_operation,pass,023312_seeded_three_strategies_and_run_py_exit_0,covered_but_non_promoting
board_updated_same_markdown,pass,023312_packet_appended_to_named_board,covered
multi_agent_no_overwrite,partial,append_only_but_duplicate_sections_require_count_once_coordination,needs_care
no_proxy_completion,pass,update_goal_false_and_proxy_evidence_not_promoted,covered

