label,split_role,source_owner,market_family,support,rows_at_or_above_0_95,share_at_or_above_0_95,wilson95_lcb,confidence_min,confidence_median,confidence_mean,confidence_max
Bull,ALL,ALL,india_equity_index,1213,837,0.6900247321,0.663432665,0.5005807666,0.9911904637,0.9302089616,0.9999972111
Crisis,ALL,ALL,india_equity_index,991,276,0.278506559,0.2514935801,0.3642152607,0.8805300136,0.8275488297,0.9977056923
Sideways,ALL,ALL,india_equity_index,1231,328,0.2664500406,0.2425074687,0.3528485153,0.8602598035,0.8161819978,0.9958733727
Bear,ALL,ALL,us_index,4635,3,0.0006472492,0.000220147,0.25,0.5,0.4878714132,1.0
Bull,ALL,ALL,us_index,12786,795,0.0621773815,0.0581218497,0.0,0.6,0.6094465822,1.0
Crisis,ALL,ALL,us_index,1029,0,0.0,0.0,0.333,0.417,0.3915801749,0.5
Sideways,ALL,ALL,us_index,7786,1671,0.2146159774,0.2056385432,0.25,0.6,0.6760467506,1.0
Bear,ALL,ALL,us_single_stock,50304,49,0.0009740776,0.0007369389,0.25,0.444,0.4539149372,1.0
Bull,ALL,ALL,us_single_stock,90980,8561,0.0940976039,0.0922175392,0.0,0.6,0.5931892394,1.0
Crisis,ALL,ALL,us_single_stock,28603,0,0.0,0.0,0.333,0.417,0.4026644058,0.75
Sideways,ALL,ALL,us_single_stock,48882,6687,0.1367988217,0.1337810612,0.25,0.6,0.6196417495,1.0
