root,path,exists,kind,matched_terms,header,size,mtime
/Users/thrill3r/Downloads/Tomac,/Users/thrill3r/Downloads/Tomac/92w0.5rrrr5.54pf.csv,True,candidate_hit,Bear|Bull,",Entry Time,Exit Time,Net PnL,Type,Reason",337152,2026-01-13T14:23:34+00:00
/Users/thrill3r/Downloads/Tomac,/Users/thrill3r/Downloads/Tomac/77wr6.99pf2rrr.csv,True,candidate_hit,Bear|Bull,",Entry,Exit,Type,Result,PnL",1237914,2026-01-12T15:15:50+00:00
/Users/thrill3r/Downloads/Tomac,/Users/thrill3r/Downloads/Tomac/ict-engine-expansion-sop-15m/expansion_sop_report.15m.json,True,candidate_hit,Bear|Bull,{,39519,2026-04-05T18:24:38.110288+00:00
/Users/thrill3r/Downloads/Tomac,/Users/thrill3r/Downloads/Tomac/ict-cleaned-15m-expansion/expansion_sop_report.15m.json,True,candidate_hit,Bear|Bull,{,66464,2026-04-06T14:50:38.968331+00:00
/Users/thrill3r/Downloads/Tomac,/Users/thrill3r/Downloads/Tomac/ict-cleaned-15m/state/NQ/factor_mutation_runs.json,True,candidate_hit,Bull,[,3511,2026-04-06T14:34:04.796640+00:00
/Users/thrill3r/Downloads/Tomac,/Users/thrill3r/Downloads/Tomac/ict-cleaned-15m/state/NQ/research_runs.json,True,candidate_hit,Bull,[,94739,2026-04-06T14:34:04.796029+00:00
/Users/thrill3r/Downloads/Tomac,/Users/thrill3r/Downloads/Tomac/ict-cleaned-15m/state/NQ/bbn_network.json,True,candidate_hit,Bear|Bull,{,20753,2026-04-06T14:34:01.976582+00:00
/Users/thrill3r/Downloads/Tomac,/Users/thrill3r/Downloads/Tomac/ict-engine-factor-state/YM/bbn_network.json,True,candidate_hit,Bear|Bull,{,20802,2026-04-05T16:30:48.632811+00:00
/Users/thrill3r/Downloads/Tomac,/Users/thrill3r/Downloads/Tomac/ict-engine-factor-state/EUR/bbn_network.json,True,candidate_hit,Bear|Bull,{,20809,2026-04-05T16:30:36.153562+00:00
/Users/thrill3r/Downloads/Tomac,/Users/thrill3r/Downloads/Tomac/ict-engine-factor-state/XAU/bbn_network.json,True,candidate_hit,Bear|Bull,{,20817,2026-04-05T16:30:46.165681+00:00
