rows=17007
range=1717200000000->1778540400000
volume_nonzero=8416
enter_long=130
exit_long=8396
         date        close       volume       rsi        ema10        ema30
1717326000000 68166.546875  721868800.0 67.135551 67738.335027 67693.628747
1717736400000 71289.484375  631840768.0 58.905562 71000.973574 70961.111044
1718031600000 70054.539062 1084224512.0 68.006048 69574.768505 69537.924148
1718193600000 69384.742188 2089226240.0 72.336133 67888.035219 67709.555705
1718532000000 66640.921875  466507776.0 68.404171 66294.335913 66246.046105
1718650800000 66610.546875 1006542848.0 57.752059 66152.100502 66148.947702
1718859600000 65557.609375  134674432.0 63.034311 65175.771174 65147.590486
1719327600000 61841.742188  585302016.0 58.610142 61290.843118 61289.287665
1719493200000 61844.527344  684787712.0 65.125102 61194.688214 61184.435732
1719730800000 61401.007812  944048128.0 66.865955 60921.900236 60898.463151
