query_label,document_number,attachment_number,entry_number,entry_date_filed,is_available,page_count,document_type,route_classification,source_owner_control_candidate,acceptance_disposition,storage_head_status,storage_content_length,storage_last_modified,description,short_description,absolute_url,filepath_local,storage_url,snippet
"control_spoof,docket_document_1,exhibit_a_spoof,market_depth,order_book",1,,1,2015-10-19,True,36,PACER Document,complaint_context,false,not_source_owned_normal_control,429,964,,"COMPLAINT filed by U.S. Commodity Futures Trading Commission; Jury Demand. (Attachments: # 1 Exhibit A)(Streit, Elizabeth) (Entered: 10/19/2015)",,/docket/4263217/1/us-commodity-futures-trading-commission-v-oystacher/,recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.1.0.pdf,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.1.0.pdf,"      Case: 1:15-cv-09196 Document #: 1 Filed: 10/19/15 Page 1 of 36 PageID #:1                                UNITED STATES DISTRICT COURT                        FOR THE NORTHERN DISTRICT OF ILLINOIS,                                  EASTERN DIVISION                                                          :                                                        : U.S. COMMODITY FUTURES TRADING                         :   CIVIL ACTION NO. ______ COMMISSION,                                      "
"docket_document_1,exhibit_a_spoof",1,1,1,2015-10-19,True,116,Attachment,positive_exhibit_attachment_context,false,not_source_owned_normal_control,429,964,,"COMPLAINT filed by U.S. Commodity Futures Trading Commission; Jury Demand. (Attachments: # 1 Exhibit A)(Streit, Elizabeth) (Entered: 10/19/2015)",Exhibit  A,/docket/4263217/1/1/us-commodity-futures-trading-commission-v-oystacher/,recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.1.1.pdf,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.1.1.pdf,"Case: 1:15-cv-09196 Document #: 1-1 Filed: 10/19/15 Page 1 of 116 PageID #:37                                EXHIBIT A           Case: 1:15-cv-09196 Document #: 1-1 Filed: 10/19/15 Page 2 of 116 PageID #:38                                                 U.S. CFTC v. Igor Oystacher                                                   and 3Red Trading, LLC                                                           Exhibit A                                                                             "
non_manipulative,50,,50,2015-12-18,True,13,PACER Document,other_recap_context,false,not_source_owned_normal_control,429,964,,"MEMORANDUM Opinion and Order Signed by the Honorable Amy J. St. Eve on 12/18/2015:Mailed notice(kef, ) (Entered: 12/18/2015)",,/docket/4263217/50/us-commodity-futures-trading-commission-v-oystacher/,recap/gov.uscourts.ilnd.316889.50.0.pdf,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889.50.0.pdf,"                                                                                                                               IN THEUNITED STATES DISTRICT COURT                       FOR THE NORTHERN DISTRICT OF ILLINOIS                                 EASTERN DIVISION  U.S. COMMODITY FUTURES                       ) TRADING COMMISSION,                          )                                              )                        Plaintiff,            )                                         "
exhibit_a_spoof,80,,80,2016-03-17,True,75,PACER Document,other_recap_context,false,not_source_owned_normal_control,429,964,,"Expert Report of Daniel R. Fischel by 3 Red Trading LLC, Igor B Oystacher (Liu, Kristina) (Entered: 03/17/2016)",,/docket/4263217/80/us-commodity-futures-trading-commission-v-oystacher/,recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.80.0.pdf,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.80.0.pdf,"   Case: 1:15-cv-09196 Document #: 80 Filed: 03/17/16 Page 1 of 75 PageID #:1556                              UNITED STATES DISTRICT COURT                      FOR THE NORTHERN DISTRICT OF ILLINOIS,                                EASTERN DIVISION                                                     :                                                   : U.S. COMMODITY FUTURES TRADING                    :       CIVIL ACTION NO. 15-cv-09196 COMMISSION,                                       :         "
docket_core,84,,84,2016-03-22,True,26,PACER Document,defense_expert_report_context_not_source_owner_control,false,not_source_owned_normal_control,429,964,,"Supplemental Report of Daniel R. Fischel by 3 Red Trading LLC, Igor B Oystacher (Giannini, Jacqueline) (Entered: 03/22/2016)",,/docket/4263217/84/us-commodity-futures-trading-commission-v-oystacher/,recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.84.0.pdf,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.84.0.pdf,"                          UNITED STATES DISTRICT COURT                       FOR THE NORTHERN DISTRICT OF ILLINOIS,                                 EASTERN DIVISION                                                         :                                                       : U.S. COMMODITY FUTURES TRADING                        :        CIVIL ACTION NO. 15-cv-09196 COMMISSION,                                           :                                                       :                  "
docket_core,85,,85,2016-03-23,True,26,PACER Document,defense_expert_report_context_not_source_owner_control,false,not_source_owned_normal_control,429,964,,"Supplemental Report of Daniel R. Fischel by 3 Red Trading LLC, Igor B Oystacher (Giannini, Jacqueline) (Entered: 03/23/2016)",,/docket/4263217/85/us-commodity-futures-trading-commission-v-oystacher/,recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.85.0.pdf,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.85.0.pdf,"Case: 1:15-cv-09196 Document #: 85 Filed: 03/23/16 Page 1 of 26 PagelD #:1747  UNITED STATES DISTRICT COURT FOR THE NORTHERN DISTRICT OF ILLINOIS,     EASTERN DIVISION  U.S. COMMODITY FUTURES TRADING : CIVIL ACTION NO. 15-cv-09196 COMMISSION, :  PLAINTIFF, : Hon. Amy J. St. Eve  v.  IGOR B. OYSTACHER and 3 RED TRADING LLC,  DEFENDANTS.     SUPPLEMENTAL REPORT OF DANIEL R. FISCHEL  I. INTRODUCTION, ASSIGNMENT AND SUMMARY OF CONCLUSIONS 1. I submitted my initial report in this matter on February 2"
order_book,134,,134,2016-04-15,True,60,PACER Document,other_recap_context,false,not_source_owned_normal_control,429,964,,"CORRECTED BESSEMBINDER REBUTTAL REPORT by U.S. Commodity Futures Trading Commission (Kramer, Jon) (Entered: 04/15/2016)",,/docket/4263217/134/us-commodity-futures-trading-commission-v-oystacher/,recap/gov.uscourts.ilnd.316889.134.0.pdf,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889.134.0.pdf,"Case: 1:15-cv-09196 Document #: 134 Filed: 04/15/16 Page 1 of 60 PageID #:4501                                     In the Matter of             United States Commodity Futures Trading Commission vs.                      Igor Oystacher and 3Red Trading, LLC                           REBUTTAL TO THE REPORTS OF                       Daniel R. Fischel and Jerry W. Markham                               HENDRIK BESSEMBINDER     Case: 1:15-cv-09196 Document #: 134 Filed: 04/15/16 Page 2 of 60 PageID #"
legitimate,195,,195,2016-07-12,True,99,PACER Document,other_recap_context,false,not_source_owned_normal_control,429,964,,"MEMORANDUM Opinion and Order Signed by the Honorable Amy J. St. Eve on 7/12/2016:Mailed notice(kef, ) (Entered: 07/12/2016)",,/docket/4263217/195/us-commodity-futures-trading-commission-v-oystacher/,recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.195.0.pdf,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.195.0.pdf,"                                                                            IN THEUNITED STATES DISTRICT COURT                       FOR THE NORTHERN DISTRICT OF ILLINOIS                                 EASTERN DIVISION  U.S. COMMODITY FUTURES                       ) TRADING COMMISSION,                          )                                              )                        Plaintiff,            )                                              )              No. 15-CV-9196     v.          "
"control_spoof,legitimate,market_depth,non_manipulative",236,,236,2016-08-23,True,26,PACER Document,other_recap_context,false,not_source_owned_normal_control,429,964,,"MEMORANDUM Opinion and Order Signed by the Honorable Amy J. St. Eve on 8/23/2016:Mailed notice(kef, ) (Entered: 08/23/2016)",,/docket/4263217/236/us-commodity-futures-trading-commission-v-oystacher/,recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.236.0.pdf,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.236.0.pdf,"                                                                                                                    IN THEUNITED STATES DISTRICT COURT                                          FOR THE NORTHERN DISTRICT OF ILLINOIS                                                    EASTERN DIVISION  U.S. COMMODITY FUTURES                                            ) TRADING COMMISSION,                                               )                                                                  "
legitimate,237,,237,2016-08-23,True,26,PACER Document,other_recap_context,false,not_source_owned_normal_control,429,964,,"CORRECTED MEMORANDUM Opinion and Order Signed by the Honorable Amy J. St. Eve on 8/23/2016: The conclusion has been amended in the Corrected Memorandum Opinion and Order to reflect the correct movant. Mailed notice(kef, ) (Entered: 08/25/2016)",,/docket/4263217/237/us-commodity-futures-trading-commission-v-oystacher/,recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.237.0.pdf,https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.237.0.pdf,"                                                                                                                    IN THEUNITED STATES DISTRICT COURT                                          FOR THE NORTHERN DISTRICT OF ILLINOIS                                                    EASTERN DIVISION  U.S. COMMODITY FUTURES                                            ) TRADING COMMISSION,                                               )                                                                  "
