url,status,content_type,content_length,last_modified,elapsed_ms,error
https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.1.0.pdf,429,text/html,964,,617,HTTP Error 429: Too Many Requests
https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.1.1.pdf,429,text/html,964,,848,HTTP Error 429: Too Many Requests
https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889.50.0.pdf,429,text/html,964,,583,HTTP Error 429: Too Many Requests
https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.80.0.pdf,429,text/html,964,,651,HTTP Error 429: Too Many Requests
https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.84.0.pdf,429,text/html,964,,702,HTTP Error 429: Too Many Requests
https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.85.0.pdf,429,text/html,964,,685,HTTP Error 429: Too Many Requests
https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889.134.0.pdf,429,text/html,964,,848,HTTP Error 429: Too Many Requests
https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.195.0.pdf,429,text/html,964,,604,HTTP Error 429: Too Many Requests
https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.236.0.pdf,429,text/html,964,,659,HTTP Error 429: Too Many Requests
https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.237.0.pdf,429,text/html,964,,593,HTTP Error 429: Too Many Requests
https://storage.courtlistener.com/recap/gov.uscourts.ilnd.316889/gov.uscourts.ilnd.316889.287.0.pdf,429,text/html,964,,608,HTTP Error 429: Too Many Requests
