requirement,status,evidence_path,evidence_summary,decision
named_board_preserved,pass,docs/plans/2026-05-10-actionable-regime-confidence-todo.md,"Board read before write; cursor remains 010127 R6 owner-route entitlement readback",continue_append_only
every_regime_ge95,blocked,docs/experiments/actionable-regime-confidence/runs/20260512T030229-codex-current-objective-completion-audit-after-025816-v1/current-objective-completion-audit-after-025816-v1/current_objective_completion_audit_after_025816_v1.json,"Latest durable audit says not complete; accepted rows added 0; no new confidence gate",not_complete
per_regime_qualifying_conditions,blocked,docs/experiments/actionable-regime-confidence/runs/20260512T030229-codex-current-objective-completion-audit-after-025816-v1/current-objective-completion-audit-after-025816-v1/current_objective_completion_audit_after_025816_v1.json,"No new source/control unlock; per-regime qualifying packets still absent/incomplete",not_complete
cross_market_cycle_timeframe_validation,blocked,docs/experiments/actionable-regime-confidence/runs/20260512T030229-codex-current-objective-completion-audit-after-025816-v1/current-objective-completion-audit-after-025816-v1/current_objective_completion_audit_after_025816_v1.json,"Latest accepted promotion rerun disallowed; proxy source screens remain non-promoting",not_complete
provider_autoquant_real_readback,partial,docs/experiments/actionable-regime-confidence/runs/20260512T030300-codex-provider-autoquant-readonly-refresh-after-030147-v1,"030300 provider/Auto-Quant read-only refresh exists but is readiness only",non_promoting
ibkr_tradingviewremix_yf_kraken_considered,partial,docs/experiments/actionable-regime-confidence/runs/20260512T030300-codex-provider-autoquant-readonly-refresh-after-030147-v1/provider-autoquant-readonly-refresh-after-030147-v1/command-output/,"Provider command outputs present; readiness does not supply source labels or controls",non_promoting
filter_prebayes_bbn_catboost_pathranking_execution_tree_promotion,blocked,docs/experiments/actionable-regime-confidence/runs/20260512T030623-codex-source-control-arrival-poll-after-030300-v1/source-control-arrival-poll-after-030300-v1/source_control_arrival_poll_after_030300_v1.json,"Downstream promotion rerun not allowed while canonical merge is false",blocked_until_source_control_unlock
r6_owner_export_verifier,blocked,docs/experiments/actionable-regime-confidence/runs/20260512T030617-codex-r6-owner-export-target-verifier-after-030300-v1/r6-owner-export-target-verifier-after-030300-v1/r6_owner_export_target_verifier_after_030300_v1.json,"Verifier exit 2 missing required files in /tmp/ict-engine-board-a-r6-owner-export-v1",blocked_missing_required_files
latest_030722_reference_integrity,blocked,docs/experiments/actionable-regime-confidence/runs/20260512T030722-codex-source-control-arrival-poll-after-030300-v1,"Board references 030722 as durable poll, but the run root is absent on disk",broken_reference_do_not_use
no_proxy_promotion,pass,docs/experiments/actionable-regime-confidence/runs/20260512T030957-codex-current-objective-completion-audit-after-030617-030623-v1/current-objective-completion-audit-after-030617-030623-v1/current_objective_completion_audit_after_030617_030623_v1.json,"030617 and 030623 both assert accepted rows 0, canonical merge false, update_goal false",continue_fail_closed
