report_section,field,definition
Layering Detail Data,Exception Type,"""Layering"" is a form of market manipulation in which multiple, baiting limit orders are entered on one side of the market at various price levels in order to create the appearance of a change in the levels of supply or demand, thereby artificially impacting the displayed interest. An order is then executed on the opposite side of the market, and the baiting orders are immediately cancelled. Layering detection does not require the facts to necessarily occur in this specific order. ""Layering -- relationship"" involves two separate market participants with one participant conducting the baiting activity and the other participant receiving the beneficial execution. Subsequent to the execution of focus (money) order(s), the layering Market Participant immediately cancels their original sell (buy) baiting orders. Further, such pattern often repeats on alternating sides of the market. ""Layering -- non-relationship"" involves the same market participant conducting the baiting activity and receiving the beneficial execution"
Layering Detail Data,Trade Date,The trade date associated with the exception.
Layering Detail Data,Symbol,The symbol associated with the exception.
Layering Detail Data,Participant Type Code,Market Participant Identifier Type codes: M = MPID (OATS or NASDAQ MPID) C = CRD N = Mnemonic E = ETPID
Layering Detail Data,Participant Identifier,The market participant identifier of the focus firm.
Layering Detail Data,CRD Number,The CRD number of the focus market participant.
Layering Detail Data,Side,The side of the exception.
Layering Detail Data,Earliest Order Received Time,The earliest time stamp associated with the receipt of an order associated with the exception.
Layering Detail Data,Earliest PBBO Bid Price,The Protected Best Bid Price prevailing at the time of the earliest order received that is associated with the exception.
Layering Detail Data,Earliest PBBO Ask Price,The Protected Best Offer Price prevailing at the time of the earliest order received that is associated with the exception.
Layering Detail Data,Latest Order Received Time,The latest time stamp associated with the receipt of an order associated with the exception.
Layering Detail Data,Latest PBBO Bid Price,The Protected Best Offer Price prevailing at the time of the latest order received that is associated with the exception.
Layering Detail Data,Latest PBBO Ask Price,The Protected Best Offer Price prevailing at the time of the latest order received that is associated with the exception.
Layering Detail Data,Latest PBBO Ask Price,The total number of orders associated with the exception.
Layering Detail Data,Total Orders Quantity,"The total number of shares across all orders, associated with the exception."
Layering Detail Data,Market Center Code,Market Center value(s) associated with the exception: A = NYSE American B = Nasdaq BX C = NYSE National J = Cboe EDGA Exchange Inc. K = Cboe EDGX Exchange Inc. D = Alternative Display Facility and/or FINRA Trade Reporting Facility M = NYSE Chicago N = NYSE Euronext P = NYSE Arca X = Nasdaq PSX Q = Nasdaq T = Nasdaq V = IEX Y = Cboe BYX Exchange Inc. Z = Cboe BZX Exchange Inc. *D also includes Trade Reporting Facilities and ADF
Layering Detail Data,Contra Firm,"If this is a relationship exception, this field reflects the contra market participant associated with the exception. The value in this field is masked and reflects a randomly selected, persistently generated by MPID across review periods, string of numbers."
Layering Detail Data,Activity Description,"The activity description provides a frame of reference for the activity captured in the exception. The two possible values are ""Executing"" and ""Layering"". ""Executing"" indicates that the firm was responsible for placing the order that was executed. ‘Layering’ indicates that the firm was responsible for the entry of the layered orders. Where the surveillance reflects non-relationship activity, the same Market Participant may have both Layering and Executing record types within an exception."
Layering Detail Data,Exception Count,A count that reflects the number of instances that a unique exception (as defined in the assumptions) occurs within the surveillance review period for the focus firm. Each exception record will contain a value greater than or equal to 1.
Spoofing Detail Data,Exception Type,"""Spoofing"" is a form of market manipulation in which orders are entered with the intent to create the appearance of build-up of a selling (buying) pressure, to narrow the quote spread. Orders are entered to entice other Market Participants into following the direction of the interest pressure, resulting in the creation of legitimate order(s) to join the fabricated interest at the national best offer (bid), or establishing a better offer (bid) than the current. After the fabricated interest is cancelled, leaving the joining Participant at the inside, the Manipulating participant sends an order on the opposite side of the market to execute against the joining Participant’s legitimate order. Quote Spoofing detection does not require the facts to necessarily occur in this specific order. ""Spoofing -- Relationship"" involves two separate market participants, with one participant narrowing the quote spread and the other participant receiving the beneficial execution. ""Spoofing -- Non-relationship"" involves the same market participant narrowing the quote spread and receiving the beneficial execution."
Spoofing Detail Data,Trade Date,The trade date associated with the exception.
Spoofing Detail Data,Symbol,The symbol associated with the exception.
Spoofing Detail Data,Participant Type Code,The market participant identifier of the focus firm.
Spoofing Detail Data,Participant Identifier,The market participant identifier of the focus firm.
Spoofing Detail Data,CRD Number,The CRD number of the focus market participant.
Spoofing Detail Data,Side,The side of the exception.
Spoofing Detail Data,Earliest Order Received Time,The earliest time stamp associated with the receipt of an order associated with the exception.
Spoofing Detail Data,Earliest PBBO Bid Price,The Protected Best Bid Price prevailing at the time of the earliest order received that is associated with the exception.
Spoofing Detail Data,Earliest PBBO Ask Price,The Protected Best Offer Price prevailing at the time of the earliest order received that is associated with the exception.
Spoofing Detail Data,Latest Order Received Time,The latest time stamp associated with the receipt of an order associated with the exception.
Spoofing Detail Data,Latest PBBO Bid Price,The Protected Best Bid Price prevailing at the time of the latest order received that is associated with the exception.
Spoofing Detail Data,Latest PBBO Ask Price,The Protected Best Offer Price prevailing at the time of the latest order received that is associated with the exception.
Spoofing Detail Data,Order Count,The total number of orders associated with the exception.
Spoofing Detail Data,Total Orders Quantity,"The total number of shares across all orders, associated with the exception."
Spoofing Detail Data,Market Center Code,Market Center value(s) associated with the exception: A = NYSE American B = Nasdaq BX C = NYSE National D = Alternative Display Facility and/or FINRA Trade Reporting Facility J = Cboe EDGA Exchange Inc. K = Cboe EDGX Exchange Inc. M = NYSE Chicago N = NYSE Euronext P = NYSE Arca Q = Nasdaq T = Nasdaq V = IEX X = Nasdaq PSX Y = Cboe BYX Exchange Inc. Z = Cboe BZX Exchange Inc. *D also includes Trade Reporting Facilities and ADF
Spoofing Detail Data,Contra Firm,"If this is a relationship exception, this field reflects the contra market participant associated with the exception. The value in this field is masked and reflects a randomly selected, persistently generated by MPID across review periods, string of numbers."
Spoofing Detail Data,Activity Description,"The activity description provides a frame of reference for the activity captured in the exception. The two possible values are ""Executing"" and ""Spoofing"". ""Executing"" indicates that the firm was responsible for placing the order that was executed. ""Spoofing"" indicates that the firm was responsible for the entry of the spoofing orders. Where the surveillance reflects non-relationship activity, the same Market Participant may have both Spoofing and Executing record types within an exception."
Spoofing Detail Data,Exception Count,A count that reflects the number of instances that a unique exception (as defined in the assumptions) occurs within the surveillance review period for the focus firm. Each exception record will contain a value greater than or equal to 1.
