filename,source_path,target_path,bytes,sha256
NQ_USD-5m.feather,/Users/thrill3r/Auto-Quant/user_data/data/NQ_USD-5m.feather,/tmp/ict-engine-board-a-autoquant-local-cache-20260512T022826/auto-quant/.deps/auto-quant/user_data/data/NQ_USD-5m.feather,23536770,78b0f73c21973a1b713cf9685687b1638877c1e145d7cdfd2ac886ad16a7af88
NQ_USD-15m.feather,/Users/thrill3r/Auto-Quant/user_data/data/NQ_USD-15m.feather,/tmp/ict-engine-board-a-autoquant-local-cache-20260512T022826/auto-quant/.deps/auto-quant/user_data/data/NQ_USD-15m.feather,8296602,bfd93ca2986e5d5415e2aee0eb101986ca2084b0ded4f1a2da962747671ff4d8
NQ_USD-1h.feather,/Users/thrill3r/Auto-Quant/user_data/data/NQ_USD-1h.feather,/tmp/ict-engine-board-a-autoquant-local-cache-20260512T022826/auto-quant/.deps/auto-quant/user_data/data/NQ_USD-1h.feather,2263498,c1ee858e0efc87df74ede887d13dfb28fb3ed044b04c3b0020ae5b5d05d57c36
NQ_USD-4h.feather,/Users/thrill3r/Auto-Quant/user_data/data/NQ_USD-4h.feather,/tmp/ict-engine-board-a-autoquant-local-cache-20260512T022826/auto-quant/.deps/auto-quant/user_data/data/NQ_USD-4h.feather,651234,ebe51cfada3a531d69340067bc06cb75fe338049a1c91f39841b9324f1b4fdec
NQ_USD-1d.feather,/Users/thrill3r/Auto-Quant/user_data/data/NQ_USD-1d.feather,/tmp/ict-engine-board-a-autoquant-local-cache-20260512T022826/auto-quant/.deps/auto-quant/user_data/data/NQ_USD-1d.feather,138778,bebbb04fda2d85f55ee11558078e7a49e5c8791239ce22f56bc19498eeb65974
QQQ_USD-1h.feather,/Users/thrill3r/Auto-Quant/user_data/data/QQQ_USD-1h.feather,/tmp/ict-engine-board-a-autoquant-local-cache-20260512T022826/auto-quant/.deps/auto-quant/user_data/data/QQQ_USD-1h.feather,92130,bfcdf2c3d972c1385e9f53e4568790552ad145fb79f08213f9e69250974149ee
QQQ_USD-4h.feather,/Users/thrill3r/Auto-Quant/user_data/data/QQQ_USD-4h.feather,/tmp/ict-engine-board-a-autoquant-local-cache-20260512T022826/auto-quant/.deps/auto-quant/user_data/data/QQQ_USD-4h.feather,34130,826242baacd017fc9897578f90ded6d2c930bd7144d1ec6223b8c56f796880ef
SPY_USD-15m.feather,/Users/thrill3r/Auto-Quant/user_data/data/SPY_USD-15m.feather,/tmp/ict-engine-board-a-autoquant-local-cache-20260512T022826/auto-quant/.deps/auto-quant/user_data/data/SPY_USD-15m.feather,176522,7f44ce0467f1fe80942adda96c3df891ba2b27500ae0fe8293f6b74a488809cb
SPY_USD-4h.feather,/Users/thrill3r/Auto-Quant/user_data/data/SPY_USD-4h.feather,/tmp/ict-engine-board-a-autoquant-local-cache-20260512T022826/auto-quant/.deps/auto-quant/user_data/data/SPY_USD-4h.feather,20522,ddc7cd406aed853987ceac2bdd248bd3cae4518aa156d23a149f5ac582695080
SPY_USD-1d.feather,/Users/thrill3r/Auto-Quant/user_data/data/SPY_USD-1d.feather,/tmp/ict-engine-board-a-autoquant-local-cache-20260512T022826/auto-quant/.deps/auto-quant/user_data/data/SPY_USD-1d.feather,29194,aec9f360636800310ceb27f27d1a386b6ddd248ad89bbf98c8ba6173903a6ce0
BTC_USDT-1h.feather,/Users/thrill3r/Auto-Quant/user_data/data/BTC_USDT-1h.feather,/tmp/ict-engine-board-a-autoquant-local-cache-20260512T022826/auto-quant/.deps/auto-quant/user_data/data/BTC_USDT-1h.feather,1383538,5ba0e0b5d0760508a7f865d073b5fc3d9b6486b15d72d389d5087867b997c5ef
BTC_USDT-4h.feather,/Users/thrill3r/Auto-Quant/user_data/data/BTC_USDT-4h.feather,/tmp/ict-engine-board-a-autoquant-local-cache-20260512T022826/auto-quant/.deps/auto-quant/user_data/data/BTC_USDT-4h.feather,373354,da9ec6441dac2ee36d12bfcd8113a64147f7df3ead11bbe848d94e06b56acc60
BTC_USDT-1d.feather,/Users/thrill3r/Auto-Quant/user_data/data/BTC_USDT-1d.feather,/tmp/ict-engine-board-a-autoquant-local-cache-20260512T022826/auto-quant/.deps/auto-quant/user_data/data/BTC_USDT-1d.feather,71994,eaffd0000ea7d03676ff3916e2f197dedb965375a2f98177c1f22f214ea3b0a6
ETH_USDT-1h.feather,/Users/thrill3r/Auto-Quant/user_data/data/ETH_USDT-1h.feather,/tmp/ict-engine-board-a-autoquant-local-cache-20260512T022826/auto-quant/.deps/auto-quant/user_data/data/ETH_USDT-1h.feather,1275634,cd0fe2167568cf06e2f10af0a860598fe0d17ac0b3704e69a38d7eb2339df55b
ETH_USDT-4h.feather,/Users/thrill3r/Auto-Quant/user_data/data/ETH_USDT-4h.feather,/tmp/ict-engine-board-a-autoquant-local-cache-20260512T022826/auto-quant/.deps/auto-quant/user_data/data/ETH_USDT-4h.feather,340370,f2fc312408e0fdac0d3414bc8c2ca48e2a93d6f5a6e1735fb54575b89d0aa1c1
