bucket,instrument,file_count,min_date,max_date,types,total_bytes
cache,ES 03-26,4,Minute_1_1_Last_Close_Tick_BidAsk_Minute_1.20260308.20260309.Last,Minute_1_1_Last_Close_Tick_BidAsk_Minute_1.20260311.20260312.Last,Last,40673
cache,MNQ 03-26,8,Minute_1_1_Last_Close_Tick_BidAsk_Minute_1.20260308.20260309.Last,Minute_60_1_Last_Close_Tick_BidAsk_Minute_1.20260311.20260312.Last,Last,44467
day,ES 03-25,1,2025,2025,Last,316
day,ES 03-26,2,2025,2026,Last,3080
day,ES 06-25,1,2025,2025,Last,3292
day,ES 09-25,1,2025,2025,Last,3340
day,ES 12-25,1,2025,2025,Last,3340
day,MNQ 03-25,1,2025,2025,Last,316
day,MNQ 03-26,2,2025,2026,Last,3080
day,MNQ 06-25,1,2025,2025,Last,3292
day,MNQ 09-25,1,2025,2025,Last,3340
day,MNQ 12-25,1,2025,2025,Last,3340
minute,ES 03-26,6,20260308,20260313,Last,45051
minute,MNQ 03-20,86,20191212,20200312,Last,572241
minute,MNQ 03-21,86,20201210,20210311,Last,623847
minute,MNQ 03-22,81,20211209,20220310,Last,667705
minute,MNQ 03-23,84,20221212,20230311,Last,628876
minute,MNQ 03-24,80,20231211,20240309,Last,622577
minute,MNQ 03-25,81,20241216,20250315,Last,644857
minute,MNQ 03-26,78,20251215,20260313,Last,652984
minute,MNQ 06-19,37,20190506,20190613,Last,236962
minute,MNQ 06-20,87,20200312,20200611,Last,629703
minute,MNQ 06-21,87,20210311,20210610,Last,641567
minute,MNQ 06-22,84,20220310,20220609,Last,666964
minute,MNQ 06-23,80,20230313,20230610,Last,636321
minute,MNQ 06-24,87,20240311,20240615,Last,690619
minute,MNQ 06-25,82,20250317,20250614,Last,671669
minute,MNQ 09-19,88,20190613,20190912,Last,559413
minute,MNQ 09-20,88,20200611,20200910,Last,641088
minute,MNQ 09-21,85,20210610,20210909,Last,629479
minute,MNQ 09-22,85,20220609,20220908,Last,669167
minute,MNQ 09-23,80,20230612,20230909,Last,638618
minute,MNQ 09-24,80,20240617,20240914,Last,656502
minute,MNQ 09-25,81,20250616,20250913,Last,654286
minute,MNQ 12-19,86,20190912,20191212,Last,562809
minute,MNQ 12-20,86,20200910,20201210,Last,651189
minute,MNQ 12-21,82,20210909,20211209,Last,652792
minute,MNQ 12-22,88,20220908,20221210,Last,682037
minute,MNQ 12-23,83,20230911,20231209,Last,645703
minute,MNQ 12-24,83,20240916,20241214,Last,656559
minute,MNQ 12-25,81,20250915,20251213,Last,669451
tick,MNQ 03-26,114,202603081900,202603131300,Last,43066357
