table_name,cid,column_name,column_type,notnull,pk
Orders,0,Id,INTEGER,1,1
Orders,1,Account,INTEGER,1,0
Orders,2,AvgFillPrice,REAL,0,0
Orders,3,Data,BLOB,0,0
Orders,4,Filled,INTEGER,0,0
Orders,5,Gtd,INTEGER,0,0
Orders,6,Instrument,INTEGER,1,0
Orders,7,Name,TEXT,0,0
Orders,8,LimitPrice,REAL,0,0
Orders,9,Oco,TEXT,0,0
Orders,10,OrderAction,INTEGER,0,0
Orders,11,OrderEntry,INTEGER,0,0
Orders,12,OrderId,TEXT,0,0
Orders,13,OrderType,INTEGER,0,0
Orders,14,OrderState,INTEGER,0,0
Orders,15,Quantity,INTEGER,0,0
Orders,16,StatementDate,INTEGER,0,0
Orders,17,StopPrice,REAL,0,0
Orders,18,Time,INTEGER,0,0
Orders,19,TimeInForce,INTEGER,0,0
OrderUpdates,0,Order,INTEGER,1,1
OrderUpdates,1,Nr,INTEGER,1,2
OrderUpdates,2,AvgFillPrice,REAL,0,0
OrderUpdates,3,Comment,TEXT,0,0
OrderUpdates,4,Error,INTEGER,0,0
OrderUpdates,5,Filled,INTEGER,0,0
OrderUpdates,6,LimitPrice,REAL,0,0
OrderUpdates,7,OrderId,TEXT,0,0
OrderUpdates,8,OrderState,INTEGER,0,0
OrderUpdates,9,Quantity,INTEGER,0,0
OrderUpdates,10,StatementDate,INTEGER,0,0
OrderUpdates,11,StopPrice,REAL,0,0
OrderUpdates,12,Time,INTEGER,0,0
OrderUpdates,13,ServerName,text(20),0,0
Executions,0,Id,INTEGER,1,1
Executions,1,Account,INTEGER,1,0
Executions,2,BarIndex,INTEGER,0,0
Executions,3,Commission,REAL,0,0
Executions,4,Exchange,INTEGER,0,0
Executions,5,ExecutionId,TEXT,1,0
Executions,6,Fee,REAL,0,0
Executions,7,Instrument,INTEGER,1,0
Executions,8,IsEntry,INTEGER,0,0
Executions,9,IsEntryStrategy,INTEGER,0,0
Executions,10,IsExit,INTEGER,0,0
Executions,11,IsExitStrategy,INTEGER,0,0
Executions,12,LotSize,INTEGER,0,0
Executions,13,MarketPosition,INTEGER,0,0
Executions,14,MaxPrice,REAL,0,0
Executions,15,MinPrice,REAL,0,0
Executions,16,Name,TEXT,0,0
Executions,17,OrderId,TEXT,0,0
Executions,18,Position,INTEGER,0,0
Executions,19,PositionStrategy,INTEGER,0,0
Executions,20,Price,REAL,0,0
Executions,21,Quantity,INTEGER,0,0
Executions,22,Rate,REAL,0,0
Executions,23,StatementDate,INTEGER,0,0
Executions,24,Time,INTEGER,0,0
Executions,25,ServerName,text(20),0,0
User2MarketDataEntitlement,0,MarketData,INTEGER,0,0
User2MarketDataEntitlement,1,MarketDataEntitlement,text(250),1,0
User2MarketDataEntitlement,2,MarketDepth,INTEGER,0,0
User2MarketDataEntitlement,3,User,INTEGER,1,0
Instruments,0,Id,INTEGER,1,1
Instruments,1,Exchange,INTEGER,0,0
Instruments,2,Expiry,INTEGER,0,0
Instruments,3,MasterInstrument,INTEGER,1,0
Instruments,4,Right,INTEGER,0,0
Instruments,5,StrikePrice,REAL,0,0
MasterInstruments,0,Id,INTEGER,1,1
MasterInstruments,1,Currency,INTEGER,0,0
MasterInstruments,2,Description,TEXT,0,0
MasterInstruments,3,InstrumentType,INTEGER,0,0
MasterInstruments,4,MergePolicy,INTEGER,0,0
MasterInstruments,5,Name,TEXT,1,0
MasterInstruments,6,PointValue,REAL,0,0
MasterInstruments,7,PriceLevel,REAL,0,0
MasterInstruments,8,TickSize,REAL,0,0
MasterInstruments,9,TradingHours,TEXT,0,0
MasterInstruments,10,Url,TEXT,0,0
MasterInstruments,11,UserData,BLOB,0,0
MasterInstruments,12,Version,INTEGER,0,0
MasterInstruments,13,IsServerSupported,INTEGER,0,0
MasterInstruments,14,AutoLiquidation,INTEGER,0,0
