schema_version,run_id,accepted_regime_id,source_recipe,sibling_recipe,source_trade_id,source_market,source_timeframe,source_year_fold,parent_regime_root,child_regime_hypothesis,child_child_or_profit_factor,profit_factor_leaf,source_branch_path,sibling_branch_path,source_allowed_action,sibling_allowed_action,suppression_rule,current_execution_tree_branch,current_market_context,current_execution_readiness,current_execution_readiness_floor,trade_taken,replay_outcome,replay_profit_ratio_net,source_profit_ratio_net,nursery_status,promotion_allowed
board-b-crisis-crowded-suppression-full-replay/v1,20260511T235747+0800-codex-board-b-crisis-crowded-suppression-full-replay-v1,BoardA_regime_factor_consumer_map_MainRegimeV2_roots_plus_scoped_manipulation,SourceRootStopCarryLongHorizonV1,CrisisCrowdedSuppressionSiblingV1,SourceRootStopCarryLongHorizonV1:crisis_carry_h8_sl048_tp12:DIA/USD:1d:329,DIA/USD,1d,2001,Crisis,CrisisReliefCarry,BlockCrowdedSuppression,SourceRootStopCarryLongHorizonV1:crisis_carry_no_trade_when_block_crowded_v1,Crisis -> CrisisReliefCarry -> StopManagedPanicRecovery -> SourceRootStopCarryLongHorizonV1:crisis_carry_h8_sl048_tp12,Crisis -> CrisisReliefCarry -> BlockCrowdedSuppression -> SourceRootStopCarryLongHorizonV1:crisis_carry_no_trade_when_block_crowded_v1,long_relief_research_only_until_closed_loop_passes,no_trade,execution_tree_branch=block_crowded OR execution_readiness<0.45 OR live_context=RangeConsolidation/WideRange,block_crowded,RangeConsolidation/WideRange,0.4433,0.45,false,not_followed,0.0,0.04711060946682559,incubation_only,false
board-b-crisis-crowded-suppression-full-replay/v1,20260511T235747+0800-codex-board-b-crisis-crowded-suppression-full-replay-v1,BoardA_regime_factor_consumer_map_MainRegimeV2_roots_plus_scoped_manipulation,SourceRootStopCarryLongHorizonV1,CrisisCrowdedSuppressionSiblingV1,SourceRootStopCarryLongHorizonV1:crisis_carry_h8_sl048_tp12:DIA/USD:1d:473,DIA/USD,1d,2001,Crisis,CrisisReliefCarry,BlockCrowdedSuppression,SourceRootStopCarryLongHorizonV1:crisis_carry_no_trade_when_block_crowded_v1,Crisis -> CrisisReliefCarry -> StopManagedPanicRecovery -> SourceRootStopCarryLongHorizonV1:crisis_carry_h8_sl048_tp12,Crisis -> CrisisReliefCarry -> BlockCrowdedSuppression -> SourceRootStopCarryLongHorizonV1:crisis_carry_no_trade_when_block_crowded_v1,long_relief_research_only_until_closed_loop_passes,no_trade,execution_tree_branch=block_crowded OR execution_readiness<0.45 OR live_context=RangeConsolidation/WideRange,block_crowded,RangeConsolidation/WideRange,0.4433,0.45,false,not_followed,0.0,0.010071305054753111,incubation_only,false
board-b-crisis-crowded-suppression-full-replay/v1,20260511T235747+0800-codex-board-b-crisis-crowded-suppression-full-replay-v1,BoardA_regime_factor_consumer_map_MainRegimeV2_roots_plus_scoped_manipulation,SourceRootStopCarryLongHorizonV1,CrisisCrowdedSuppressionSiblingV1,SourceRootStopCarryLongHorizonV1:crisis_carry_h8_sl048_tp12:DIA/USD:1d:502,DIA/USD,1d,2002,Crisis,CrisisReliefCarry,BlockCrowdedSuppression,SourceRootStopCarryLongHorizonV1:crisis_carry_no_trade_when_block_crowded_v1,Crisis -> CrisisReliefCarry -> StopManagedPanicRecovery -> SourceRootStopCarryLongHorizonV1:crisis_carry_h8_sl048_tp12,Crisis -> CrisisReliefCarry -> BlockCrowdedSuppression -> SourceRootStopCarryLongHorizonV1:crisis_carry_no_trade_when_block_crowded_v1,long_relief_research_only_until_closed_loop_passes,no_trade,execution_tree_branch=block_crowded OR execution_readiness<0.45 OR live_context=RangeConsolidation/WideRange,block_crowded,RangeConsolidation/WideRange,0.4433,0.45,false,not_followed,0.0,-0.048599999999999935,incubation_only,false
board-b-crisis-crowded-suppression-full-replay/v1,20260511T235747+0800-codex-board-b-crisis-crowded-suppression-full-replay-v1,BoardA_regime_factor_consumer_map_MainRegimeV2_roots_plus_scoped_manipulation,SourceRootStopCarryLongHorizonV1,CrisisCrowdedSuppressionSiblingV1,SourceRootStopCarryLongHorizonV1:crisis_carry_h8_sl048_tp12:DIA/USD:1d:547,DIA/USD,1d,2002,Crisis,CrisisReliefCarry,BlockCrowdedSuppression,SourceRootStopCarryLongHorizonV1:crisis_carry_no_trade_when_block_crowded_v1,Crisis -> CrisisReliefCarry -> StopManagedPanicRecovery -> SourceRootStopCarryLongHorizonV1:crisis_carry_h8_sl048_tp12,Crisis -> CrisisReliefCarry -> BlockCrowdedSuppression -> SourceRootStopCarryLongHorizonV1:crisis_carry_no_trade_when_block_crowded_v1,long_relief_research_only_until_closed_loop_passes,no_trade,execution_tree_branch=block_crowded OR execution_readiness<0.45 OR live_context=RangeConsolidation/WideRange,block_crowded,RangeConsolidation/WideRange,0.4433,0.45,false,not_followed,0.0,-0.021630829850392063,incubation_only,false
board-b-crisis-crowded-suppression-full-replay/v1,20260511T235747+0800-codex-board-b-crisis-crowded-suppression-full-replay-v1,BoardA_regime_factor_consumer_map_MainRegimeV2_roots_plus_scoped_manipulation,SourceRootStopCarryLongHorizonV1,CrisisCrowdedSuppressionSiblingV1,SourceRootStopCarryLongHorizonV1:crisis_carry_h8_sl048_tp12:DIA/USD:1d:645,DIA/USD,1d,2002,Crisis,CrisisReliefCarry,BlockCrowdedSuppression,SourceRootStopCarryLongHorizonV1:crisis_carry_no_trade_when_block_crowded_v1,Crisis -> CrisisReliefCarry -> StopManagedPanicRecovery -> SourceRootStopCarryLongHorizonV1:crisis_carry_h8_sl048_tp12,Crisis -> CrisisReliefCarry -> BlockCrowdedSuppression -> SourceRootStopCarryLongHorizonV1:crisis_carry_no_trade_when_block_crowded_v1,long_relief_research_only_until_closed_loop_passes,no_trade,execution_tree_branch=block_crowded OR execution_readiness<0.45 OR live_context=RangeConsolidation/WideRange,block_crowded,RangeConsolidation/WideRange,0.4433,0.45,false,not_followed,0.0,-0.048600000000000046,incubation_only,false
board-b-crisis-crowded-suppression-full-replay/v1,20260511T235747+0800-codex-board-b-crisis-crowded-suppression-full-replay-v1,BoardA_regime_factor_consumer_map_MainRegimeV2_roots_plus_scoped_manipulation,SourceRootStopCarryLongHorizonV1,CrisisCrowdedSuppressionSiblingV1,SourceRootStopCarryLongHorizonV1:crisis_carry_h8_sl048_tp12:DIA/USD:1d:654,DIA/USD,1d,2002,Crisis,CrisisReliefCarry,BlockCrowdedSuppression,SourceRootStopCarryLongHorizonV1:crisis_carry_no_trade_when_block_crowded_v1,Crisis -> CrisisReliefCarry -> StopManagedPanicRecovery -> SourceRootStopCarryLongHorizonV1:crisis_carry_h8_sl048_tp12,Crisis -> CrisisReliefCarry -> BlockCrowdedSuppression -> SourceRootStopCarryLongHorizonV1:crisis_carry_no_trade_when_block_crowded_v1,long_relief_research_only_until_closed_loop_passes,no_trade,execution_tree_branch=block_crowded OR execution_readiness<0.45 OR live_context=RangeConsolidation/WideRange,block_crowded,RangeConsolidation/WideRange,0.4433,0.45,false,not_followed,0.0,0.04508081611913155,incubation_only,false
board-b-crisis-crowded-suppression-full-replay/v1,20260511T235747+0800-codex-board-b-crisis-crowded-suppression-full-replay-v1,BoardA_regime_factor_consumer_map_MainRegimeV2_roots_plus_scoped_manipulation,SourceRootStopCarryLongHorizonV1,CrisisCrowdedSuppressionSiblingV1,SourceRootStopCarryLongHorizonV1:crisis_carry_h8_sl048_tp12:DIA/USD:1d:698,DIA/USD,1d,2002,Crisis,CrisisReliefCarry,BlockCrowdedSuppression,SourceRootStopCarryLongHorizonV1:crisis_carry_no_trade_when_block_crowded_v1,Crisis -> CrisisReliefCarry -> StopManagedPanicRecovery -> SourceRootStopCarryLongHorizonV1:crisis_carry_h8_sl048_tp12,Crisis -> CrisisReliefCarry -> BlockCrowdedSuppression -> SourceRootStopCarryLongHorizonV1:crisis_carry_no_trade_when_block_crowded_v1,long_relief_research_only_until_closed_loop_passes,no_trade,execution_tree_branch=block_crowded OR execution_readiness<0.45 OR live_context=RangeConsolidation/WideRange,block_crowded,RangeConsolidation/WideRange,0.4433,0.45,false,not_followed,0.0,0.022799029941561844,incubation_only,false
board-b-crisis-crowded-suppression-full-replay/v1,20260511T235747+0800-codex-board-b-crisis-crowded-suppression-full-replay-v1,BoardA_regime_factor_consumer_map_MainRegimeV2_roots_plus_scoped_manipulation,SourceRootStopCarryLongHorizonV1,CrisisCrowdedSuppressionSiblingV1,SourceRootStopCarryLongHorizonV1:crisis_carry_h8_sl048_tp12:DIA/USD:1d:707,DIA/USD,1d,2002,Crisis,CrisisReliefCarry,BlockCrowdedSuppression,SourceRootStopCarryLongHorizonV1:crisis_carry_no_trade_when_block_crowded_v1,Crisis -> CrisisReliefCarry -> StopManagedPanicRecovery -> SourceRootStopCarryLongHorizonV1:crisis_carry_h8_sl048_tp12,Crisis -> CrisisReliefCarry -> BlockCrowdedSuppression -> SourceRootStopCarryLongHorizonV1:crisis_carry_no_trade_when_block_crowded_v1,long_relief_research_only_until_closed_loop_passes,no_trade,execution_tree_branch=block_crowded OR execution_readiness<0.45 OR live_context=RangeConsolidation/WideRange,block_crowded,RangeConsolidation/WideRange,0.4433,0.45,false,not_followed,0.0,0.023438486452345742,incubation_only,false
board-b-crisis-crowded-suppression-full-replay/v1,20260511T235747+0800-codex-board-b-crisis-crowded-suppression-full-replay-v1,BoardA_regime_factor_consumer_map_MainRegimeV2_roots_plus_scoped_manipulation,SourceRootStopCarryLongHorizonV1,CrisisCrowdedSuppressionSiblingV1,SourceRootStopCarryLongHorizonV1:crisis_carry_h8_sl048_tp12:DIA/USD:1d:716,DIA/USD,1d,2002,Crisis,CrisisReliefCarry,BlockCrowdedSuppression,SourceRootStopCarryLongHorizonV1:crisis_carry_no_trade_when_block_crowded_v1,Crisis -> CrisisReliefCarry -> StopManagedPanicRecovery -> SourceRootStopCarryLongHorizonV1:crisis_carry_h8_sl048_tp12,Crisis -> CrisisReliefCarry -> BlockCrowdedSuppression -> SourceRootStopCarryLongHorizonV1:crisis_carry_no_trade_when_block_crowded_v1,long_relief_research_only_until_closed_loop_passes,no_trade,execution_tree_branch=block_crowded OR execution_readiness<0.45 OR live_context=RangeConsolidation/WideRange,block_crowded,RangeConsolidation/WideRange,0.4433,0.45,false,not_followed,0.0,0.02120505796848209,incubation_only,false
board-b-crisis-crowded-suppression-full-replay/v1,20260511T235747+0800-codex-board-b-crisis-crowded-suppression-full-replay-v1,BoardA_regime_factor_consumer_map_MainRegimeV2_roots_plus_scoped_manipulation,SourceRootStopCarryLongHorizonV1,CrisisCrowdedSuppressionSiblingV1,SourceRootStopCarryLongHorizonV1:crisis_carry_h8_sl048_tp12:DIA/USD:1d:731,DIA/USD,1d,2002,Crisis,CrisisReliefCarry,BlockCrowdedSuppression,SourceRootStopCarryLongHorizonV1:crisis_carry_no_trade_when_block_crowded_v1,Crisis -> CrisisReliefCarry -> StopManagedPanicRecovery -> SourceRootStopCarryLongHorizonV1:crisis_carry_h8_sl048_tp12,Crisis -> CrisisReliefCarry -> BlockCrowdedSuppression -> SourceRootStopCarryLongHorizonV1:crisis_carry_no_trade_when_block_crowded_v1,long_relief_research_only_until_closed_loop_passes,no_trade,execution_tree_branch=block_crowded OR execution_readiness<0.45 OR live_context=RangeConsolidation/WideRange,block_crowded,RangeConsolidation/WideRange,0.4433,0.45,false,not_followed,0.0,-0.03683259143329805,incubation_only,false
