requirement,status,evidence
"Board file remains authoritative and current cursor is preserved",satisfied,"Board hash captured before artifact; Current Cursor was not edited by this audit."
"Every active regime has calibrated confidence >=95%",blocked,"041410, 041656, 042448, 043932, and 044701 accepted labels are all empty."
"Each accepted regime has its own qualifying condition",blocked,"043932 two-atom and 044701 single-atom qualifier scans both accepted zero labels."
"Validation holds across other markets and periods/timeframes",blocked,"R6/R3/R5 target roots remain absent; 043932 and 044701 best rules fail Wilson95 gates on required splits."
"R6 owner/export rows plus source-owned controls or explicit approval unlock direct verifier path",blocked,"044137 confirmed routes only; /tmp/ict-engine-board-a-r6-owner-export-v1 is absent and approval package remains non-approving."
"R5 recency-extension rows are present after 2026-01-30 with provenance",blocked,"044500 gate is no_new_post_cutoff_target_rows_no_promotion; /tmp/ict-engine-source-panel-recency-extension is absent."
"R3 native-subhour source-label rows are present with provenance",blocked,"/tmp/ict-engine-native-subhour-source-label-intake is absent."
"Provider and AutoQuant surfaces are operated where available",partial,"044001/042857/043222 show provider coverage and AutoQuant runtime diagnostics, but these are non-promoting without source/control unlock."
"Filter/Pre-Bayes, BBN, CatBoost/path-ranking, and execution tree are rerun after source unlock",blocked,"No source/control unlock exists, so downstream promotion rerun remains unauthorized; 044001 reports Pre-Bayes empty, CatBoost matched rows 0, and workflow observe/bootstrap-readiness."
"No proxy signal is promoted as completion",satisfied,"Diagnostics are explicitly classified as non-promoting; promotion_status remains false for source/control, confidence, canonical merge, downstream rerun, strict objective, trade usability, and update_goal."
"Goal can be marked complete",not_complete,"Multiple core requirements are blocked; update_goal must remain false."
