requirement,status,evidence
named board authoritative,satisfied_for_this_audit,docs/plans/2026-05-10-actionable-regime-confidence-todo.md hash e932f7f1721161ab4a2010db36a4fcf6407c16cadb4569e4930b0c02675468e6
Bull confidence own qualifier cross-axis validation,blocked,050609 accepted labels none and Bull min support 0 min Wilson95 0.0
Bear confidence own qualifier cross-axis validation,blocked,045926 Bear min Wilson95 0.6435280915 and 050609 min support 0 min Wilson95 0.0
Sideways confidence own qualifier cross-axis validation,blocked,045926 Sideways min Wilson95 0.3659108855 and 050609 min support 0 min Wilson95 0.0
Crisis confidence own qualifier cross-axis validation,blocked,045926 Crisis min Wilson95 0.4324193032 and 050609 min support 0 min Wilson95 0.0
source control unlock before canonical merge,blocked,required target roots absent
R6 owner export or controls,blocked,051015 and 051247 route context only no verifier-native rows
provider surfaces exercised,partial_non_promoting,051153 yfinance 197 Kraken 721 Kraken CLI 0 IBKR SPY retry 21 TradingView harness 1
AutoQuant Pre-Bayes BBN CatBoost path-ranking execution-tree surfaces,partial_non_promoting,051145 read-only runtime chain all 8 commands exit 0 no promotion
canonical merge downstream promotion,blocked,no source control unlock and no accepted confidence gate
update_goal authorization,not_complete,strict full objective false
