row_id,run_id,row_type,coin,provider_symbol,event_dt,entry_dt,exit_dt,horizon_hours,source_entry_price_btc,provider_entry_open_btc,provider_exit_close_btc,source_buy_return,provider_open_return,entry_alignment_ratio,aligned_source_buy_levels,is_manipulation_positive,target,source,provider,bridge_precision,parent_regime_root,regime_profit_branch_path
1,20260511T193407+0800-codex-board-b-mehrnoom-binance-intraday-pnl-bridge-v1,positive_direct_event,ETH,ETHBTC,2017-07-31T08:14:07+00:00,2017-07-31T09:00:00+00:00,2017-07-31T14:00:00+00:00,6,0.07,0.071297,0.070283,0.004042857142857015,-0.01422219728740337,0.9818084912408658,2,True,1,Mehrnoom_Mirtaheri_Telegram_price_extract_buy_levels,binance_public_api,source_buy_to_provider_1h_exit_intraday,Manipulation(scoped),Manipulation(scoped) -> TelegramPumpEvent -> SourceBuyBinanceIntradayExit -> pnl_bridge
2,20260511T193407+0800-codex-board-b-mehrnoom-binance-intraday-pnl-bridge-v1,positive_direct_event,ETH,ETHBTC,2017-08-16T18:57:38+00:00,2017-08-16T19:00:00+00:00,2017-08-17T00:00:00+00:00,6,0.07,0.070587,0.07016,0.0022857142857142243,-0.006049272528935834,0.9916840211370367,1,True,1,Mehrnoom_Mirtaheri_Telegram_price_extract_buy_levels,binance_public_api,source_buy_to_provider_1h_exit_intraday,Manipulation(scoped),Manipulation(scoped) -> TelegramPumpEvent -> SourceBuyBinanceIntradayExit -> pnl_bridge
3,20260511T193407+0800-codex-board-b-mehrnoom-binance-intraday-pnl-bridge-v1,positive_direct_event,ETH,ETHBTC,2017-08-16T19:45:19+00:00,2017-08-16T20:00:00+00:00,2017-08-17T01:00:00+00:00,6,0.07,0.069669,0.070349,0.004985714285714149,0.009760438645595615,1.0047510370466062,1,True,1,Mehrnoom_Mirtaheri_Telegram_price_extract_buy_levels,binance_public_api,source_buy_to_provider_1h_exit_intraday,Manipulation(scoped),Manipulation(scoped) -> TelegramPumpEvent -> SourceBuyBinanceIntradayExit -> pnl_bridge
4,20260511T193407+0800-codex-board-b-mehrnoom-binance-intraday-pnl-bridge-v1,positive_direct_event,ETH,ETHBTC,2017-08-25T07:34:07+00:00,2017-08-25T08:00:00+00:00,2017-08-25T13:00:00+00:00,6,0.077,0.076908,0.0772,0.0025974025974027093,0.003796744161855825,1.0011962344619545,1,True,1,Mehrnoom_Mirtaheri_Telegram_price_extract_buy_levels,binance_public_api,source_buy_to_provider_1h_exit_intraday,Manipulation(scoped),Manipulation(scoped) -> TelegramPumpEvent -> SourceBuyBinanceIntradayExit -> pnl_bridge
5,20260511T193407+0800-codex-board-b-mehrnoom-binance-intraday-pnl-bridge-v1,positive_direct_event,ETC,ETCBTC,2017-08-26T12:16:21+00:00,2017-10-12T09:00:00+00:00,2017-10-12T14:00:00+00:00,6,0.0032,0.00223,0.002249,-0.29718749999999994,0.008520179372197179,1.4349775784753362,1,True,1,Mehrnoom_Mirtaheri_Telegram_price_extract_buy_levels,binance_public_api,source_buy_to_provider_1h_exit_intraday,Manipulation(scoped),Manipulation(scoped) -> TelegramPumpEvent -> SourceBuyBinanceIntradayExit -> pnl_bridge
6,20260511T193407+0800-codex-board-b-mehrnoom-binance-intraday-pnl-bridge-v1,positive_direct_event,ETC,ETCBTC,2017-08-26T12:16:24+00:00,2017-10-12T09:00:00+00:00,2017-10-12T14:00:00+00:00,6,0.0032,0.00223,0.002249,-0.29718749999999994,0.008520179372197179,1.4349775784753362,1,True,1,Mehrnoom_Mirtaheri_Telegram_price_extract_buy_levels,binance_public_api,source_buy_to_provider_1h_exit_intraday,Manipulation(scoped),Manipulation(scoped) -> TelegramPumpEvent -> SourceBuyBinanceIntradayExit -> pnl_bridge
7,20260511T193407+0800-codex-board-b-mehrnoom-binance-intraday-pnl-bridge-v1,positive_direct_event,ETC,ETCBTC,2017-08-30T15:42:54+00:00,2017-10-12T09:00:00+00:00,2017-10-12T14:00:00+00:00,6,0.0033,0.00223,0.002249,-0.3184848484848485,0.008520179372197179,1.4798206278026904,1,True,1,Mehrnoom_Mirtaheri_Telegram_price_extract_buy_levels,binance_public_api,source_buy_to_provider_1h_exit_intraday,Manipulation(scoped),Manipulation(scoped) -> TelegramPumpEvent -> SourceBuyBinanceIntradayExit -> pnl_bridge
8,20260511T193407+0800-codex-board-b-mehrnoom-binance-intraday-pnl-bridge-v1,positive_direct_event,LTC,LTCBTC,2017-09-02T03:38:07+00:00,2017-09-02T04:00:00+00:00,2017-09-02T09:00:00+00:00,6,0.0172,0.017686,0.017172,-0.0016279069767441978,-0.02906253533868597,0.9725206377926043,1,True,1,Mehrnoom_Mirtaheri_Telegram_price_extract_buy_levels,binance_public_api,source_buy_to_provider_1h_exit_intraday,Manipulation(scoped),Manipulation(scoped) -> TelegramPumpEvent -> SourceBuyBinanceIntradayExit -> pnl_bridge
9,20260511T193407+0800-codex-board-b-mehrnoom-binance-intraday-pnl-bridge-v1,positive_direct_event,DASH,DASHBTC,2017-09-06T00:38:26+00:00,2017-10-20T04:00:00+00:00,2017-10-20T09:00:00+00:00,6,0.073,0.05,0.0525,-0.2808219178082192,0.04999999999999982,1.4599999999999997,1,True,1,Mehrnoom_Mirtaheri_Telegram_price_extract_buy_levels,binance_public_api,source_buy_to_provider_1h_exit_intraday,Manipulation(scoped),Manipulation(scoped) -> TelegramPumpEvent -> SourceBuyBinanceIntradayExit -> pnl_bridge
10,20260511T193407+0800-codex-board-b-mehrnoom-binance-intraday-pnl-bridge-v1,positive_direct_event,ETH,ETHBTC,2017-09-07T07:28:23+00:00,2017-09-07T08:00:00+00:00,2017-09-07T13:00:00+00:00,6,0.07050000000000001,0.0717,0.071446,0.013418439716311958,-0.003542538354253888,0.9832635983263599,2,True,1,Mehrnoom_Mirtaheri_Telegram_price_extract_buy_levels,binance_public_api,source_buy_to_provider_1h_exit_intraday,Manipulation(scoped),Manipulation(scoped) -> TelegramPumpEvent -> SourceBuyBinanceIntradayExit -> pnl_bridge
