root_name,path,suffix,hits,disposition,post_20260130_hint,accepted_r5_source_control_rows
r3_native_subhour_tmp,/tmp/ict-engine-native-subhour-source-label-intake/native_subhour_source_label_provenance.json,.json,main_regime_v2|main_regime_v2_label,r3_native_subhour_not_r5,False,0
r3_native_subhour_tmp,/tmp/ict-engine-native-subhour-source-label-intake/native_subhour_source_label_rows.csv,.csv,main_regime_v2|main_regime_v2_label,r3_native_subhour_not_r5,False,0
board_a_runs,docs/experiments/actionable-regime-confidence/runs/20260510T225102-main-regime-taxonomy-research/main_regime_taxonomy_source_scan.md,.md,MainRegimeV2,documentation_or_assertion_only,False,0
board_a_runs,docs/experiments/actionable-regime-confidence/runs/20260510T230938-main-regime-v2-schema-preflight/checks/main_regime_v2_narrow_rule_exploration.out,.out,MainRegimeV2,documentation_or_assertion_only,False,0
board_a_runs,docs/experiments/actionable-regime-confidence/runs/20260510T230938-main-regime-v2-schema-preflight/checks/main_regime_v2_schema_preflight_assertions.out,.out,main_regime_v2,documentation_or_assertion_only,False,0
board_a_runs,docs/experiments/actionable-regime-confidence/runs/20260510T230938-main-regime-v2-schema-preflight/completion_audit_prompt_to_artifact.md,.md,MainRegimeV2|main_regime_v2,documentation_or_assertion_only,False,0
board_a_runs,docs/experiments/actionable-regime-confidence/runs/20260510T230938-main-regime-v2-schema-preflight/main_regime_v2_calibration_preflight.json,.json,MainRegimeV2|main_regime_v2,local_candidate_not_required_r5_root,False,0
board_a_runs,docs/experiments/actionable-regime-confidence/runs/20260510T230938-main-regime-v2-schema-preflight/main_regime_v2_source_refresh.md,.md,MainRegimeV2,documentation_or_assertion_only,False,0
board_a_runs,docs/experiments/actionable-regime-confidence/runs/20260510T232808-codex-broader-mtf-regime-search/audit/broader_mtf_regime_acceptance_audit.json,.json,MainRegimeV2,local_candidate_not_required_r5_root,False,0
board_a_runs,docs/experiments/actionable-regime-confidence/runs/20260510T232808-codex-broader-mtf-regime-search/checks/broader_mtf_regime_acceptance_assertions.out,.out,MainRegimeV2,documentation_or_assertion_only,False,0
board_a_runs,docs/experiments/actionable-regime-confidence/runs/20260510T232808-codex-broader-mtf-regime-search/completion-audit/prompt_to_artifact_completion_audit.md,.md,MainRegimeV2,documentation_or_assertion_only,False,0
board_a_runs,docs/experiments/actionable-regime-confidence/runs/20260510T232844-codex-main-regime-v2-root-probe/README.md,.md,MainRegimeV2|main_regime_v2,documentation_or_assertion_only,False,0
board_a_runs,docs/experiments/actionable-regime-confidence/runs/20260510T232844-codex-main-regime-v2-root-probe/root-v2/main_regime_v2_root_calibration_report.json,.json,MainRegimeV2|main_regime_v2,local_candidate_not_required_r5_root,False,0
