provider,branch,period,rows,wins,losses,breakeven,win_rate,loss_rate
binance_public,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,early,15,7,8,0,0.466667,0.533333
binance_public,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,late,11,5,6,0,0.454545,0.545455
binance_public,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,middle,11,2,9,0,0.181818,0.818182
binance_public,Range -> ProviderCryptoPullback -> MeanRevertBounce -> ProviderCryptoPullbackRevertV1,early,5,3,2,0,0.6,0.4
binance_public,Range -> ProviderCryptoPullback -> MeanRevertBounce -> ProviderCryptoPullbackRevertV1,late,4,0,4,0,0.0,1.0
binance_public,Range -> ProviderCryptoPullback -> MeanRevertBounce -> ProviderCryptoPullbackRevertV1,middle,6,1,5,0,0.166667,0.833333
bybit_public,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,early,15,7,8,0,0.466667,0.533333
bybit_public,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,late,10,5,5,0,0.5,0.5
bybit_public,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,middle,9,2,7,0,0.222222,0.777778
bybit_public,Range -> ProviderCryptoPullback -> MeanRevertBounce -> ProviderCryptoPullbackRevertV1,early,6,3,3,0,0.5,0.5
bybit_public,Range -> ProviderCryptoPullback -> MeanRevertBounce -> ProviderCryptoPullbackRevertV1,late,4,0,4,0,0.0,1.0
bybit_public,Range -> ProviderCryptoPullback -> MeanRevertBounce -> ProviderCryptoPullbackRevertV1,middle,7,1,6,0,0.142857,0.857143
ibkr_paxos_long_midpoint,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,early,15,6,9,0,0.4,0.6
ibkr_paxos_long_midpoint,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,late,10,4,6,0,0.4,0.6
ibkr_paxos_long_midpoint,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,middle,7,2,5,0,0.285714,0.714286
ibkr_paxos_long_midpoint,Range -> ProviderCryptoPullback -> MeanRevertBounce -> ProviderCryptoPullbackRevertV1,early,3,2,1,0,0.666667,0.333333
ibkr_paxos_long_midpoint,Range -> ProviderCryptoPullback -> MeanRevertBounce -> ProviderCryptoPullbackRevertV1,late,4,0,4,0,0.0,1.0
ibkr_paxos_long_midpoint,Range -> ProviderCryptoPullback -> MeanRevertBounce -> ProviderCryptoPullbackRevertV1,middle,5,1,4,0,0.2,0.8
kraken_public,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,early,3,1,2,0,0.333333,0.666667
kraken_public,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,late,10,5,5,0,0.5,0.5
kraken_public,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,middle,10,2,8,0,0.2,0.8
kraken_public,Range -> ProviderCryptoPullback -> MeanRevertBounce -> ProviderCryptoPullbackRevertV1,early,3,1,2,0,0.333333,0.666667
kraken_public,Range -> ProviderCryptoPullback -> MeanRevertBounce -> ProviderCryptoPullbackRevertV1,late,4,0,4,0,0.0,1.0
kraken_public,Range -> ProviderCryptoPullback -> MeanRevertBounce -> ProviderCryptoPullbackRevertV1,middle,2,1,1,0,0.5,0.5
tvr_default_binance,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,early,3,1,2,0,0.333333,0.666667
tvr_default_binance,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,late,11,5,6,0,0.454545,0.545455
tvr_default_binance,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,middle,11,2,9,0,0.181818,0.818182
tvr_default_binance,Range -> ProviderCryptoPullback -> MeanRevertBounce -> ProviderCryptoPullbackRevertV1,early,2,1,1,0,0.5,0.5
tvr_default_binance,Range -> ProviderCryptoPullback -> MeanRevertBounce -> ProviderCryptoPullbackRevertV1,late,4,0,4,0,0.0,1.0
tvr_default_binance,Range -> ProviderCryptoPullback -> MeanRevertBounce -> ProviderCryptoPullbackRevertV1,middle,6,1,5,0,0.166667,0.833333
yfinance,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,early,6,3,3,0,0.5,0.5
yfinance,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,late,4,3,1,0,0.75,0.25
yfinance,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,middle,3,1,2,0,0.333333,0.666667
yfinance,Range -> ProviderCryptoPullback -> MeanRevertBounce -> ProviderCryptoPullbackRevertV1,early,3,3,0,0,1.0,0.0
yfinance,Range -> ProviderCryptoPullback -> MeanRevertBounce -> ProviderCryptoPullbackRevertV1,late,3,0,3,0,0.0,1.0
yfinance,Range -> ProviderCryptoPullback -> MeanRevertBounce -> ProviderCryptoPullbackRevertV1,middle,2,0,2,0,0.0,1.0
