family,provider,base_symbol,comparison_symbol,relationship_type,relationship_confidence,recent_correlation,timeframe,session,aligned_kline_rows,smt_signal,base_swing_type,base_level,comparison_swing_type,comparison_level,swept_side,normalized_for_inverse_correlation,raw_comparison_swing_type,raw_comparison_level,near_pd_array,pd_array_type,mss_or_cisd_confirmed,displacement_confirmed,confidence,fail_closed_reason,actionable,regime_profit_branch_path
index_futures,yahoo_chart,NQ,ES,positive,0.0,0.835,15m,provider_regular_and_extended,311,none,LL,29133.0,LL,7402.0,sell_side_liquidity,False,LL,7402.0,False,none,False,False,0.0,no_swing_confirmation_failure_at_latest_event,False,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_relationship_resolver:provider_observation_v1
index_futures,yahoo_chart,NQ,YM,positive,0.0,0.0624,15m,provider_regular_and_extended,311,none,n/a,,n/a,,none,False,,,False,none,False,False,0.0,recent_positive_correlation_unstable,False,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_relationship_resolver:provider_observation_v1
index_futures,yahoo_chart,ES,YM,positive,0.0,0.52,15m,provider_regular_and_extended,311,none,LL,7402.0,HH,49797.0,sell_side_liquidity,False,HH,49797.0,False,none,False,False,0.0,no_swing_confirmation_failure_at_latest_event,False,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_relationship_resolver:provider_observation_v1
forex,yahoo_chart,EURUSD,GBPUSD,positive,0.0,0.7891,15m,provider_24h_fx,435,none,HL,1.1739845275878906,LL,1.3515887260437012,none,False,LL,1.3515887260437012,False,none,False,False,0.0,no_swing_confirmation_failure_at_latest_event,False,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_relationship_resolver:provider_observation_v1
forex,yahoo_chart,EURUSD,DXY,negative,0.0,-0.92,15m,provider_24h_fx,303,none,LH,1.1750881671905518,LH,98.23100280761719,none,True,HL,98.23100280761719,False,none,False,False,0.0,no_swing_confirmation_failure_at_latest_event,False,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_relationship_resolver:provider_observation_v1
forex,yahoo_chart,GBPUSD,DXY,negative,0.0,-0.8107,15m,provider_24h_fx,303,none,LH,1.3544628620147705,LH,98.23100280761719,none,True,HL,98.23100280761719,False,none,False,False,0.0,no_swing_confirmation_failure_at_latest_event,False,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_relationship_resolver:provider_observation_v1
metals,yahoo_chart,XAUUSD,XAGUSD,positive,0.7733,0.7733,15m,provider_regular_and_extended,311,bearish_smt,HH,4717.2001953125,LH,84.90499877929688,buy_side_liquidity,False,LH,84.90499877929688,False,none,False,False,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,False,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_relationship_resolver:provider_observation_v1
metals,yahoo_chart,XAUUSD,DXY,negative,0.5768,-0.5768,15m,provider_regular_and_extended,299,bearish_smt,HH,4717.2001953125,LH,98.23100280761719,buy_side_liquidity,True,HL,98.23100280761719,False,none,False,False,0.25,confirmation_only_waiting_for_mss_cisd_displacement_and_pda,False,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_relationship_resolver:provider_observation_v1
metals,yahoo_chart,XAGUSD,DXY,negative,0.0,-0.5021,15m,provider_regular_and_extended,299,none,LH,84.90499877929688,LH,98.23100280761719,none,True,HL,98.23100280761719,False,none,False,False,0.0,no_swing_confirmation_failure_at_latest_event,False,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_relationship_resolver:provider_observation_v1
crypto_yahoo,yahoo_chart,BTC,ETH,positive,0.0,0.8541,15m,crypto_24x7,430,none,LL,80471.8984375,LL,2278.340087890625,sell_side_liquidity,False,LL,2278.340087890625,False,none,False,False,0.0,no_swing_confirmation_failure_at_latest_event,False,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_relationship_resolver:provider_observation_v1
crypto_kraken,kraken_public_ohlc,BTC,ETH,positive,0.0,0.8533,15m,crypto_24x7,480,none,LL,80479.3,LL,2278.58,sell_side_liquidity,False,LL,2278.58,False,none,False,False,0.0,no_swing_confirmation_failure_at_latest_event,False,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_relationship_resolver:provider_observation_v1
