label,split_role,support,rows_at_or_above_0_95,share_at_or_above_0_95,wilson95_lcb,confidence_median,confidence_mean,passes_wilson95,successes_needed_within_current_support,additional_existing_successes_needed,needed_share_within_current_support,new_perfect_rows_needed_if_added,blocker
Bear,calibration,32975,49,0.0014859742,0.0011242749,0.444,0.4467924792,false,31404,31355,0.9523578469,632515,source_confidence_wilson95_below_0.95
Bear,heldout_market,4635,3,0.0006472492,0.000220147,0.5,0.4878714132,false,4433,4430,0.9564185545,90643,source_confidence_wilson95_below_0.95
Bear,heldout_time,11012,0,0.0,0.0,0.462,0.4663315474,false,10507,10507,0.9541409372,213275,source_confidence_wilson95_below_0.95
Bear,test,6317,0,0.0,0.0,0.5,0.4694494222,false,6036,6036,0.9555168593,123097,source_confidence_wilson95_below_0.95
Bull,calibration,60213,5460,0.0906780928,0.0884105543,0.6,0.5838586113,false,57308,51848,0.9517546045,1043824,source_confidence_wilson95_below_0.95
Bull,heldout_market,12786,795,0.0621773815,0.0581218497,0.6,0.6094465822,false,12196,11401,0.9538557798,231255,source_confidence_wilson95_below_0.95
Bull,heldout_time,19497,2417,0.1239677899,0.119416014,0.6,0.6208573412,false,18582,16165,0.953069703,327133,source_confidence_wilson95_below_0.95
Bull,test,12483,1521,0.1218457102,0.1162235034,0.6,0.6277310206,false,11907,10386,0.9538572459,210794,source_confidence_wilson95_below_0.95
Crisis,calibration,21523,130,0.0060400502,0.0050893974,0.417,0.4113623495,false,20510,20380,0.9529340705,411962,source_confidence_wilson95_below_0.95
Crisis,heldout_market,1029,0,0.0,0.0,0.417,0.3915801749,false,992,992,0.96404276,20814,source_confidence_wilson95_below_0.95
Crisis,heldout_time,5076,80,0.0157604413,0.0126821341,0.417,0.4281096539,false,4853,4773,0.9560677699,97582,source_confidence_wilson95_below_0.95
Crisis,test,2995,66,0.0220367279,0.0173592424,0.417,0.4376208473,false,2869,2803,0.9579298831,57690,source_confidence_wilson95_below_0.95
Sideways,calibration,34265,4929,0.143849409,0.1401735306,0.6,0.6121217007,false,32631,27702,0.9523128557,559036,source_confidence_wilson95_below_0.95
Sideways,heldout_market,7786,1671,0.2146159774,0.2056385432,0.6,0.6760467506,false,7435,5764,0.9549190855,117539,source_confidence_wilson95_below_0.95
Sideways,heldout_time,9799,1388,0.1416471068,0.1348835676,0.6,0.6627965582,false,9352,7964,0.9543831003,161962,source_confidence_wilson95_below_0.95
Sideways,test,6049,698,0.1153909737,0.1075825871,0.6,0.6323283998,false,5780,5082,0.9555298396,103803,source_confidence_wilson95_below_0.95
