axis,label,source_owner,market_family,support,rows_at_or_above_0_95,share_at_or_above_0_95,wilson95_lcb,confidence_median,confidence_mean,new_perfect_rows_needed_if_added
owner,Bull,ahaanverma00,ALL,1213,837,0.6900247321,0.663432665,0.9911904637,0.9302089616,7086
owner,Crisis,ahaanverma00,ALL,991,276,0.278506559,0.2514935801,0.8805300136,0.8275488297,14368
owner,Sideways,ahaanverma00,ALL,1231,328,0.2664500406,0.2425074687,0.8602598035,0.8161819978,18015
owner,Bear,source-owned-stock-market-regimes-2000-2026,ALL,54939,52,0.0009465043,0.0007219128,0.444,0.4567797193,1051789
owner,Bull,source-owned-stock-market-regimes-2000-2026,ALL,103766,9356,0.0901644084,0.0884368585,0.6,0.5951924619,1796211
owner,Crisis,source-owned-stock-market-regimes-2000-2026,ALL,29632,0,0.0,0.0,0.417,0.4022794951,569622
owner,Sideways,source-owned-stock-market-regimes-2000-2026,ALL,56668,8358,0.1474906473,0.1445950263,0.6,0.6273916143,917967
market_family,Bull,ALL,india_equity_index,1213,837,0.6900247321,0.663432665,0.9911904637,0.9302089616,7086
market_family,Crisis,ALL,india_equity_index,991,276,0.278506559,0.2514935801,0.8805300136,0.8275488297,14368
market_family,Sideways,ALL,india_equity_index,1231,328,0.2664500406,0.2425074687,0.8602598035,0.8161819978,18015
market_family,Bear,ALL,us_index,4635,3,0.0006472492,0.000220147,0.5,0.4878714132,90643
market_family,Bull,ALL,us_index,12786,795,0.0621773815,0.0581218497,0.6,0.6094465822,231255
market_family,Crisis,ALL,us_index,1029,0,0.0,0.0,0.417,0.3915801749,20814
market_family,Sideways,ALL,us_index,7786,1671,0.2146159774,0.2056385432,0.6,0.6760467506,117539
market_family,Bear,ALL,us_single_stock,50304,49,0.0009740776,0.0007369389,0.444,0.4539149372,963398
market_family,Bull,ALL,us_single_stock,90980,8561,0.0940976039,0.0922175392,0.6,0.5931892394,1568406
market_family,Crisis,ALL,us_single_stock,28603,0,0.0,0.0,0.417,0.4026644058,549956
market_family,Sideways,ALL,us_single_stock,48882,6687,0.1367988217,0.1337810612,0.6,0.6196417495,802903
