ts,ticker,market_context,timeframe,split,root_label,bear_drawdown_ratio,bear_return_ratio,sideways_abs_return_ratio,sideways_range_ratio,sideways_ma_gap_ratio,ret_trend,ret_long,drawdown_long,range_trend,ma_gap_trend,vol_trend
2018-03-09,BNB-USD,crypto,1d,train,Bear,1.813564729686744,5.447612072357437,4.539676726964531,2.394356241993325,2.489558913304742,-0.5447612072357437,3.175806532645413,-0.6347476553903604,1.316895933096329,-0.29874706959656905,1.3893952511201906
2018-03-10,BNB-USD,crypto,1d,train,Bear,1.8940839348521943,5.593988113221477,4.661656761017898,2.427599551502771,2.865571165360716,-0.5593988113221477,3.269528811345012,-0.6629293771982679,1.3351797533265242,-0.3438685398432859,1.3943278236223928
2018-03-11,BNB-USD,crypto,1d,train,Bear,1.8186727863900407,5.243243756051357,4.369369796709465,2.4595685341968974,2.359781714754993,-0.5243243756051358,3.9521271729414247,-0.6365354752365142,1.3527626938082937,-0.28317380577059914,1.4058591050812559
2018-03-12,BNB-USD,crypto,1d,train,Bear,1.8479360958366113,6.1795442257307664,5.1496201881089725,2.506642683701741,2.4170046935372773,-0.6179544225730766,4.290072453240817,-0.6467776335428139,1.3786534760359577,-0.29004056322447325,1.3306034055263845
2018-03-13,BNB-USD,crypto,1d,train,Bear,1.587335055453309,5.467348844905474,4.556124037421228,2.529279983923523,0.7531416283420966,-0.5467348844905474,4.997320119866609,-0.5555672694086581,1.3911039911579377,-0.0903769954010516,1.4344502320480212
2018-03-14,BNB-USD,crypto,1d,train,Bear,1.7324517774282246,5.959660571358185,4.966383809465155,2.347343440620216,1.4837578121926487,-0.5959660571358185,4.625595333488179,-0.6063581220998786,1.291038892341119,-0.17805093746311784,1.450561469755044
2018-03-15,BNB-USD,crypto,1d,train,Bear,1.7148932889398782,5.6206628686707925,4.6838857238923275,2.1840742910825863,1.250344772320249,-0.5620662868670793,4.945362583728667,-0.6002126511289574,1.2012408600954225,-0.15004137267842987,1.4474215666579342
2018-03-16,BNB-USD,crypto,1d,train,Bear,1.713356813449919,5.342979996075081,4.4524833300625675,1.6376208074722147,1.1234809905529266,-0.5342979996075081,4.774259641030382,-0.5996748847074717,0.9006914441097181,-0.1348177188663512,1.4439793755737695
2018-03-17,BNB-USD,crypto,1d,train,Bear,1.7288703792451063,3.530230189885666,2.9418584915713883,1.6504304494215578,1.1656394112974866,-0.3530230189885666,4.9507266797360465,-0.6051046327357872,0.9077367471818569,-0.1398767293556984,1.3196215666135651
2018-03-18,BNB-USD,crypto,1d,train,Bear,1.733375769779129,3.6973008033567143,3.081084002797262,1.6643710058121155,1.1339602561209936,-0.36973008033567145,4.346526645429666,-0.6066815194226951,0.9154040531966636,-0.13607523073451921,1.3184829569617298
