branch_path,main_regime,sub_regime,sub_sub_regime_or_profit_factor,profit_factor,branch_id,provider,provider_label,symbol,direction,unit_label,status,trade_count,win_rate_pct,total_profit_pct,sharpe,material_path,strategy_path,rank_artifact,evidence_layer,failure_reason,pre_bayes_filter_state,bbn_posterior,catboost_path_ranker_label,execution_tree_decision,outcome,quality_weight,allowed_feedback_targets,pre_bayes_filter_allowed,bbn_learning_allowed,catboost_learning_allowed,execution_tree_branch_weight_update_allowed,promotion_allowed,trade_usable
VolatilityCompression -> LiquidityExpansion -> displacement_fvg_retest -> fvg_displacement_retest_expansion_v1,VolatilityCompression,LiquidityExpansion,displacement_fvg_retest,fvg_displacement_retest_expansion_v1,fvg_displacement_retest_expansion_v1,Binance,Binance BTCUSDT 1h,BTC,long,OB/FVG fvg_displacement_retest_expansion_v1 - Binance BTCUSDT 1h,completed,0,0.0,0.0,0.0,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-fvg_displacement_retest_expansion_v1-binance-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/DisplacementFvgRetestExpansionV1.py,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T113922.949Z.json,provider_density_negative_sample,zero_trade_rank_row,,,,,,0_for_bbn_catboost_execution_tree_learning,"branch_nursery,provider_density_weighting,aq_rank_join_contract,branch_field_preservation",false,false,false,false,false,false
VolatilityCompression -> LiquidityExpansion -> displacement_fvg_retest -> fvg_displacement_retest_expansion_v1,VolatilityCompression,LiquidityExpansion,displacement_fvg_retest,fvg_displacement_retest_expansion_v1,fvg_displacement_retest_expansion_v1,Bybit,Bybit BTCUSDT 1h,BTC,long,OB/FVG fvg_displacement_retest_expansion_v1 - Bybit BTCUSDT 1h,completed,0,0.0,0.0,0.0,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-fvg_displacement_retest_expansion_v1-bybit-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/DisplacementFvgRetestExpansionV1.py,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T113922.949Z.json,provider_density_negative_sample,zero_trade_rank_row,,,,,,0_for_bbn_catboost_execution_tree_learning,"branch_nursery,provider_density_weighting,aq_rank_join_contract,branch_field_preservation",false,false,false,false,false,false
VolatilityCompression -> LiquidityExpansion -> displacement_fvg_retest -> fvg_displacement_retest_expansion_v1,VolatilityCompression,LiquidityExpansion,displacement_fvg_retest,fvg_displacement_retest_expansion_v1,fvg_displacement_retest_expansion_v1,IBKR,IBKR SPY 1h,SPY,long,OB/FVG fvg_displacement_retest_expansion_v1 - IBKR SPY 1h,completed,70,22.8571,-4.75,-1.2397,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-fvg_displacement_retest_expansion_v1-ibkr-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/DisplacementFvgRetestExpansionV1.py,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T114741.288Z.json,branch_nursery_profitability_observation,nursery_only_cross_provider_density_not_promotional,,,,,,0_for_bbn_catboost_execution_tree_learning,"branch_nursery,provider_density_weighting,aq_rank_join_contract,branch_field_preservation",false,false,false,false,false,false
VolatilityCompression -> LiquidityExpansion -> displacement_fvg_retest -> fvg_displacement_retest_expansion_v1,VolatilityCompression,LiquidityExpansion,displacement_fvg_retest,fvg_displacement_retest_expansion_v1,fvg_displacement_retest_expansion_v1,Kraken,Kraken XBTUSD 1h,BTC,long,OB/FVG fvg_displacement_retest_expansion_v1 - Kraken XBTUSD 1h,completed,0,0.0,0.0,0.0,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-fvg_displacement_retest_expansion_v1-kraken-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/DisplacementFvgRetestExpansionV1.py,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T114741.288Z.json,provider_density_negative_sample,zero_trade_rank_row,,,,,,0_for_bbn_catboost_execution_tree_learning,"branch_nursery,provider_density_weighting,aq_rank_join_contract,branch_field_preservation",false,false,false,false,false,false
VolatilityCompression -> LiquidityExpansion -> displacement_fvg_retest -> fvg_displacement_retest_expansion_v1,VolatilityCompression,LiquidityExpansion,displacement_fvg_retest,fvg_displacement_retest_expansion_v1,fvg_displacement_retest_expansion_v1,TradingViewRemix/TVR,TradingViewRemix/TVR BTC-USD 1h,BTC,long,OB/FVG fvg_displacement_retest_expansion_v1 - TradingViewRemix/TVR BTC-USD 1h,completed,0,0.0,0.0,0.0,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-fvg_displacement_retest_expansion_v1-tradingviewremix-tvr-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/DisplacementFvgRetestExpansionV1.py,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T114741.288Z.json,provider_density_negative_sample,zero_trade_rank_row,,,,,,0_for_bbn_catboost_execution_tree_learning,"branch_nursery,provider_density_weighting,aq_rank_join_contract,branch_field_preservation",false,false,false,false,false,false
VolatilityCompression -> LiquidityExpansion -> displacement_fvg_retest -> fvg_displacement_retest_expansion_v1,VolatilityCompression,LiquidityExpansion,displacement_fvg_retest,fvg_displacement_retest_expansion_v1,fvg_displacement_retest_expansion_v1,yfinance/YF,yfinance/YF SPY 1h,SPY,long,OB/FVG fvg_displacement_retest_expansion_v1 - yfinance/YF SPY 1h,completed,115,31.3043,-4.81,-0.3006,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-fvg_displacement_retest_expansion_v1-yfinance-yf-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/DisplacementFvgRetestExpansionV1.py,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T114741.288Z.json,branch_nursery_profitability_observation,nursery_only_cross_provider_density_not_promotional,,,,,,0_for_bbn_catboost_execution_tree_learning,"branch_nursery,provider_density_weighting,aq_rank_join_contract,branch_field_preservation",false,false,false,false,false,false
TrendExpansion -> PullbackContinuation -> fair_value_gap_retest -> fvg_retest_continuation_long_v1,TrendExpansion,PullbackContinuation,fair_value_gap_retest,fvg_retest_continuation_long_v1,fvg_retest_continuation_long_v1,Binance,Binance BTCUSDT 1h,BTC,long,OB/FVG fvg_retest_continuation_long_v1 - Binance BTCUSDT 1h,completed,0,0.0,0.0,0.0,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-fvg_retest_continuation_long_v1-binance-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ObFvgRetestContinuationLongV1.py,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T114741.288Z.json,provider_density_negative_sample,zero_trade_rank_row,,,,,,0_for_bbn_catboost_execution_tree_learning,"branch_nursery,provider_density_weighting,aq_rank_join_contract,branch_field_preservation",false,false,false,false,false,false
TrendExpansion -> PullbackContinuation -> fair_value_gap_retest -> fvg_retest_continuation_long_v1,TrendExpansion,PullbackContinuation,fair_value_gap_retest,fvg_retest_continuation_long_v1,fvg_retest_continuation_long_v1,Bybit,Bybit BTCUSDT 1h,BTC,long,OB/FVG fvg_retest_continuation_long_v1 - Bybit BTCUSDT 1h,completed,0,0.0,0.0,0.0,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-fvg_retest_continuation_long_v1-bybit-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ObFvgRetestContinuationLongV1.py,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T114741.288Z.json,provider_density_negative_sample,zero_trade_rank_row,,,,,,0_for_bbn_catboost_execution_tree_learning,"branch_nursery,provider_density_weighting,aq_rank_join_contract,branch_field_preservation",false,false,false,false,false,false
TrendExpansion -> PullbackContinuation -> fair_value_gap_retest -> fvg_retest_continuation_long_v1,TrendExpansion,PullbackContinuation,fair_value_gap_retest,fvg_retest_continuation_long_v1,fvg_retest_continuation_long_v1,IBKR,IBKR SPY 1h,SPY,long,OB/FVG fvg_retest_continuation_long_v1 - IBKR SPY 1h,completed,93,25.8065,-7.09,-2.0305,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-fvg_retest_continuation_long_v1-ibkr-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ObFvgRetestContinuationLongV1.py,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T114741.288Z.json,branch_nursery_profitability_observation,nursery_only_cross_provider_density_not_promotional,,,,,,0_for_bbn_catboost_execution_tree_learning,"branch_nursery,provider_density_weighting,aq_rank_join_contract,branch_field_preservation",false,false,false,false,false,false
TrendExpansion -> PullbackContinuation -> fair_value_gap_retest -> fvg_retest_continuation_long_v1,TrendExpansion,PullbackContinuation,fair_value_gap_retest,fvg_retest_continuation_long_v1,fvg_retest_continuation_long_v1,Kraken,Kraken XBTUSD 1h,BTC,long,OB/FVG fvg_retest_continuation_long_v1 - Kraken XBTUSD 1h,completed,0,0.0,0.0,0.0,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-fvg_retest_continuation_long_v1-kraken-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ObFvgRetestContinuationLongV1.py,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T114741.288Z.json,provider_density_negative_sample,zero_trade_rank_row,,,,,,0_for_bbn_catboost_execution_tree_learning,"branch_nursery,provider_density_weighting,aq_rank_join_contract,branch_field_preservation",false,false,false,false,false,false
