branch_path,main_regime,sub_regime,sub_sub_regime_or_profit_factor,profit_factor,branch_id,provider,provider_label,symbol,timeframe,unit_label,status,trade_count,win_rate_pct,total_profit_pct,sharpe,join_status,rank_artifact,material_path,package_id
VolatilityCompression -> LiquidityExpansion -> displacement_fvg_retest -> fvg_displacement_retest_expansion_v1,VolatilityCompression,LiquidityExpansion,displacement_fvg_retest,fvg_displacement_retest_expansion_v1,fvg_displacement_retest_expansion_v1,Binance,Binance BTCUSDT 1h,BTC,1h,OB/FVG fvg_displacement_retest_expansion_v1 - Binance BTCUSDT 1h,completed,0,0.0,0.0,0.0,matched_material_title,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T113922.949Z.json,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-fvg_displacement_retest_expansion_v1-binance-1h-v1.material.json,ob-fvg-fvg_displacement_retest_expansion_v1-binance-1h-v1
VolatilityCompression -> LiquidityExpansion -> displacement_fvg_retest -> fvg_displacement_retest_expansion_v1,VolatilityCompression,LiquidityExpansion,displacement_fvg_retest,fvg_displacement_retest_expansion_v1,fvg_displacement_retest_expansion_v1,Bybit,Bybit BTCUSDT 1h,BTC,1h,OB/FVG fvg_displacement_retest_expansion_v1 - Bybit BTCUSDT 1h,completed,0,0.0,0.0,0.0,matched_material_title,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T113922.949Z.json,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-fvg_displacement_retest_expansion_v1-bybit-1h-v1.material.json,ob-fvg-fvg_displacement_retest_expansion_v1-bybit-1h-v1
VolatilityCompression -> LiquidityExpansion -> displacement_fvg_retest -> fvg_displacement_retest_expansion_v1,VolatilityCompression,LiquidityExpansion,displacement_fvg_retest,fvg_displacement_retest_expansion_v1,fvg_displacement_retest_expansion_v1,IBKR,IBKR SPY 1h,SPY,1h,OB/FVG fvg_displacement_retest_expansion_v1 - IBKR SPY 1h,completed,70,22.8571,-4.75,-1.2397,matched_material_title,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T114741.288Z.json,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-fvg_displacement_retest_expansion_v1-ibkr-1h-v1.material.json,ob-fvg-fvg_displacement_retest_expansion_v1-ibkr-1h-v1
VolatilityCompression -> LiquidityExpansion -> displacement_fvg_retest -> fvg_displacement_retest_expansion_v1,VolatilityCompression,LiquidityExpansion,displacement_fvg_retest,fvg_displacement_retest_expansion_v1,fvg_displacement_retest_expansion_v1,Kraken,Kraken XBTUSD 1h,BTC,1h,OB/FVG fvg_displacement_retest_expansion_v1 - Kraken XBTUSD 1h,completed,0,0.0,0.0,0.0,matched_material_title,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T114741.288Z.json,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-fvg_displacement_retest_expansion_v1-kraken-1h-v1.material.json,ob-fvg-fvg_displacement_retest_expansion_v1-kraken-1h-v1
VolatilityCompression -> LiquidityExpansion -> displacement_fvg_retest -> fvg_displacement_retest_expansion_v1,VolatilityCompression,LiquidityExpansion,displacement_fvg_retest,fvg_displacement_retest_expansion_v1,fvg_displacement_retest_expansion_v1,TradingViewRemix/TVR,TradingViewRemix/TVR BTC-USD 1h,BTC,1h,OB/FVG fvg_displacement_retest_expansion_v1 - TradingViewRemix/TVR BTC-USD 1h,completed,0,0.0,0.0,0.0,matched_material_title,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T114741.288Z.json,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-fvg_displacement_retest_expansion_v1-tradingviewremix-tvr-1h-v1.material.json,ob-fvg-fvg_displacement_retest_expansion_v1-tradingviewremix-tvr-1h-v1
VolatilityCompression -> LiquidityExpansion -> displacement_fvg_retest -> fvg_displacement_retest_expansion_v1,VolatilityCompression,LiquidityExpansion,displacement_fvg_retest,fvg_displacement_retest_expansion_v1,fvg_displacement_retest_expansion_v1,yfinance/YF,yfinance/YF SPY 1h,SPY,1h,OB/FVG fvg_displacement_retest_expansion_v1 - yfinance/YF SPY 1h,completed,115,31.3043,-4.81,-0.3006,matched_material_title,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T114741.288Z.json,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-fvg_displacement_retest_expansion_v1-yfinance-yf-1h-v1.material.json,ob-fvg-fvg_displacement_retest_expansion_v1-yfinance-yf-1h-v1
TrendExpansion -> PullbackContinuation -> fair_value_gap_retest -> fvg_retest_continuation_long_v1,TrendExpansion,PullbackContinuation,fair_value_gap_retest,fvg_retest_continuation_long_v1,fvg_retest_continuation_long_v1,Binance,Binance BTCUSDT 1h,BTC,1h,OB/FVG fvg_retest_continuation_long_v1 - Binance BTCUSDT 1h,completed,0,0.0,0.0,0.0,matched_material_title,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T114741.288Z.json,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-fvg_retest_continuation_long_v1-binance-1h-v1.material.json,ob-fvg-fvg_retest_continuation_long_v1-binance-1h-v1
TrendExpansion -> PullbackContinuation -> fair_value_gap_retest -> fvg_retest_continuation_long_v1,TrendExpansion,PullbackContinuation,fair_value_gap_retest,fvg_retest_continuation_long_v1,fvg_retest_continuation_long_v1,Bybit,Bybit BTCUSDT 1h,BTC,1h,OB/FVG fvg_retest_continuation_long_v1 - Bybit BTCUSDT 1h,completed,0,0.0,0.0,0.0,matched_material_title,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T114741.288Z.json,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-fvg_retest_continuation_long_v1-bybit-1h-v1.material.json,ob-fvg-fvg_retest_continuation_long_v1-bybit-1h-v1
TrendExpansion -> PullbackContinuation -> fair_value_gap_retest -> fvg_retest_continuation_long_v1,TrendExpansion,PullbackContinuation,fair_value_gap_retest,fvg_retest_continuation_long_v1,fvg_retest_continuation_long_v1,IBKR,IBKR SPY 1h,SPY,1h,OB/FVG fvg_retest_continuation_long_v1 - IBKR SPY 1h,completed,93,25.8065,-7.09,-2.0305,matched_material_title,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T114741.288Z.json,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-fvg_retest_continuation_long_v1-ibkr-1h-v1.material.json,ob-fvg-fvg_retest_continuation_long_v1-ibkr-1h-v1
TrendExpansion -> PullbackContinuation -> fair_value_gap_retest -> fvg_retest_continuation_long_v1,TrendExpansion,PullbackContinuation,fair_value_gap_retest,fvg_retest_continuation_long_v1,fvg_retest_continuation_long_v1,Kraken,Kraken XBTUSD 1h,BTC,1h,OB/FVG fvg_retest_continuation_long_v1 - Kraken XBTUSD 1h,completed,0,0.0,0.0,0.0,matched_material_title,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T114741.288Z.json,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-fvg_retest_continuation_long_v1-kraken-1h-v1.material.json,ob-fvg-fvg_retest_continuation_long_v1-kraken-1h-v1
