requirement,status,evidence,gap
Use the named Board A markdown as the authoritative shared board.,pass,docs/plans/2026-05-10-actionable-regime-confidence-todo.md sha256=89dadffe3d200ea5ad1136327ca894f4c0fa766a6c1e9d30f95e50a439a9712a cursor=20260512T004410+0800-codex-r6-official-route-date-fit-check-v1,
Every regime has a regime-specific 95% confidence packet.,blocked,board_state=blocked; full_objective_gate remains none in accepted_gate,Not every active regime/root has an accepted 95% packet.
Validate accepted confidence across other markets and periods/timeframes.,blocked,V71 R6 still lacks valid controls/canonical merge; R5/R3/source-label roots absent.,Cross-axis validation cannot close until source/control evidence and non-R6 roots are present.
R6 direct Manipulation has accepted positives plus source-owned normal controls.,blocked,SPOOF positives=5182; independent_normal_rows=0; valid_normal_controls_acquired=0; public_source_owned_controls=0; external_verifier_ready_controls=0; official_cells_controls_not_acquired=17,FLIP controls are not approved and independent source-owned normal controls are absent.
Owner-export/canonical intake root is ready before downstream rerun.,blocked,"{""exists"": false, ""path"": ""/tmp/ict-engine-board-a-r6-owner-export-v1"", ""required_files_present"": {""control_policy_approval.json"": false, ""matched_negative_normal_activity_rows.csv"": false, ""owner_approval_reference.md"": false, ""positive_spoofing_layering_rows.csv"": false, ""provenance_manifest.json"": false, ""source_policy_approval.json"": false}}",Target root lacks verifier-native files plus source/control approvals.
"Provider awareness includes IBKR, TradingViewRemix/MCP, yfinance, and Kraken.",partial,"provider-summary=entry_model:2/2 ready | live_runtime:1/3 ready | local_runtime:1/2 ready | market_data:1/7 ready; selected={'ibkr': [{'access_mode': 'operator_runtime_required', 'adopted_by_default': False, 'domain': 'market_data', 'fallback_priority': 30, 'install_prompts': ['Consumer agent follow-up: make sure the runtime that executes provider-status and provider fetches can import redis and ib_async. Low-pollution path: use uv run --with redis --with ib_async --with pandas for ad-hoc IBKR historical fetches.', 'Consumer agent follow-up: reuse the single reachable local IBKR API on port 4002 unless the user says otherwise.'], 'market_fit': ['tradfi'], 'provider_id': 'ibkr', 'ready': False, 'reason': 'ibkr_runtime_dependencies_missing_with_gateway_reachable', 'selectable_by_user': True, 'status': 'configured_runtime_unhealthy', 'summary': 'Setup-required IBKR market-data path for broker-linked futures and equities workflows.', 'user_access': 'login_and_local_runtime'}], 'ibkr_bridge': [{'access_mode': 'local_consent_runtime', 'adopted_by_default': False, 'domain': 'local_runtime', 'fallback_priority': 40, 'install_prompts': ['Make sure the runtime that executes provider-status and provider fetches can import redis and ib_async.', 'A local IBKR API is reachable on port 4002; reuse it unless the user says otherwise.'], 'market_fit': ['tradfi'], 'provider_id': 'ibkr_bridge', 'ready': False, 'reason': 'ibkr_bridge_runtime_dependencies_missing_with_gateway_reachable', 'selectable_by_user': False, 'status': 'configured_runtime_unhealthy', 'summary': 'Local IBKR bridge reused by broker-linked workflows after the user enables the local API.', 'user_access': 'login_and_local_runtime'}], 'kraken_cli': [{'access_mode': 'local_cli_runtime', 'adopted_by_default': False, 'domain': 'local_runtime', 'fallback_priority': 40, 'market_fit': ['crypto'], 'provider_id': 'kraken_cli', 'ready': True, 'reason': 'kraken_cli_config_detected', 'selectable_by_user': False, 'status': 'ready', 'summary': 'Credentialed local Kraken CLI/runtime path for wallet or execution-adjacent flows.', 'user_access': 'login_and_local_runtime'}], 'kraken_public': [{'access_mode': 'public_script_adapter', 'adopted_by_default': False, 'domain': 'market_data', 'fallback_priority': 3, 'install_prompts': ['System python3 is missing provider script modules: ccxt, ib_async, redis, sklearn, pyarrow, xgboost. Install with: python3 -m pip install --user --break-system-packages ccxt ib_async redis scikit-learn pyarrow xgboost'], 'market_fit': ['crypto', 'fx', 'tokenized_assets'], 'provider_id': 'kraken_public', 'ready': False, 'reason': 'python3_provider_dependencies_missing', 'selectable_by_user': True, 'status': 'configured_runtime_unhealthy', 'summary': 'Public no-login crypto, forex, and tokenized-asset data path; later wallet/runtime flows use kraken_cli separately.', 'user_access': 'public_no_login'}], 'tradingview_mcp': [{'access_mode': 'operator_runtime_required', 'adopted_by_default': False, 'domain': 'market_data', 'fallback_priority': 31, 'install_prompts': ['Consumer agent request: TradingViewRemix MCP credentials were present but the live probe failed. Ask the user to re-enter ICT_ENGINE_TVREMIX_MCP_API_KEY and verify the MCP endpoint at https://tvremix.xyz/api/mcp/v1.', 'Consumer agent follow-up: retry a lightweight MCP health check such as tools/list before treating TradingViewRemix as usable.'], 'market_fit': ['tradfi', 'crypto'], 'provider_id': 'tradingview_mcp', 'ready': False, 'reason': 'tradingview_mcp_connectivity_probe_failed', 'selectable_by_user': True, 'status': 'configured_runtime_unhealthy', 'summary': 'Hot-pluggable TradingView MCP path: zero-config local stdio for OHLCV, optional remote key for enriched lanes.', 'user_access': 'local_stdio_or_remote_api_key'}], 'yfinance': [{'access_mode': 'local_library', 'adopted_by_default': True, 'domain': 'live_runtime', 'fallback_priority': 1, 'market_fit': ['tradfi'], 'provider_id': 'yfinance', 'ready': True, 'reason': 'native_yfinance_runtime_available', 'selectable_by_user': True, 'status': 'ready', 'summary': 'Zero-config live runtime backed by yfinance-compatible fetches for observation and replay-adjacent workflows.', 'user_access': 'free_no_login'}, {'access_mode': 'public_or_env_ready', 'adopted_by_default': False, 'domain': 'market_data', 'fallback_priority': 1, 'market_fit': ['tradfi'], 'provider_id': 'yfinance', 'ready': True, 'reason': 'public_yahoo_http_endpoints', 'selectable_by_user': True, 'status': 'ready', 'summary': 'Free historical tradfi fallback for replay, factor research, and factor backtests.', 'user_access': 'free_no_login'}]}",Read-only readiness was refreshed; it is not a post-canonical-merge downstream rerun.
Auto-Quant is operated as part of the real chain.,partial,auto_quant_status=dependency_ready_seed_required; healthy=True; data_ready=True,Auto-Quant is ready/data-ready but no accepted canonical input exists for a fresh chain rerun.
Filter/pre-Bayes/BBN readback runs after accepted evidence.,deferred_blocked,No post-V71 canonical merge; downstream_chain_rerun=false in current artifacts.,No accepted input to justify a non-proxy BBN/pre-Bayes rerun.
CatBoost/path-ranking readback runs after accepted evidence.,deferred_blocked,No post-V71 canonical merge; downstream_chain_rerun=false in current artifacts.,No accepted input to justify a non-proxy CatBoost/path-ranking rerun.
Execution-tree readback runs after accepted evidence.,deferred_blocked,No post-V71 canonical merge; downstream_chain_rerun=false in current artifacts.,No accepted input to justify a non-proxy execution-tree rerun.
