candidate_status,source_report,source_url,block_id,trade_date,symbol,venue_or_market_center,market_family,aggregate_order_count_for_block,aggregate_flip_sequences_for_block,row_level_blocker
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_comex_copper_dec2011,2011-12-01,COMEX copper futures,COMEX / CME Globex,metals,1633,288,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_comex_copper_dec2011,2011-12-02,COMEX copper futures,COMEX / CME Globex,metals,1633,288,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_comex_copper_dec2011,2011-12-05,COMEX copper futures,COMEX / CME Globex,metals,1633,288,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_comex_copper_dec2011,2011-12-06,COMEX copper futures,COMEX / CME Globex,metals,1633,288,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_comex_copper_dec2011,2011-12-07,COMEX copper futures,COMEX / CME Globex,metals,1633,288,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_comex_copper_dec2011,2011-12-08,COMEX copper futures,COMEX / CME Globex,metals,1633,288,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_comex_copper_dec2011,2011-12-09,COMEX copper futures,COMEX / CME Globex,metals,1633,288,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_comex_copper_dec2011,2011-12-12,COMEX copper futures,COMEX / CME Globex,metals,1633,288,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_comex_copper_dec2011,2011-12-13,COMEX copper futures,COMEX / CME Globex,metals,1633,288,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_comex_copper_dec2011,2011-12-14,COMEX copper futures,COMEX / CME Globex,metals,1633,288,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
