requirement,status,evidence,notes
authoritative_board_updated,pass,"docs/plans/2026-05-10-regime-conditional-auto-quant-profitability-todo.md","Append-only rows through 052522 count-once reconciliation and this v17 audit; cursor unchanged."
regime_rooted_branch_path_preserved,partial,"052828 Regime Bundle BBN Assignment Integration Readback","Code-level Pre-Bayes/BBN assignment wiring passed, but not from selected-data profitability rows."
branch_path_shape,partial,"052828 assignment keys","The expected keys exist in adapter evidence, but no selected-data branch observations flowed through the full chain."
selected_historical_dataset,fail,"board blocker user_selected_historical_data_missing","No explicit user choice of exactly one HTF, MTF, or LTF is present."
selected_data_auto_quant_factor_research,fail,"no fresh selected-data packet after 034002","Cannot run without explicit user selection."
nonzero_mature_rooted_observations,fail,"no selected-data Auto-Quant/factor-research output","No selected-data mature rooted observations exist."
pre_bayes_filter_downstream,fail,"034002/050430 readbacks plus 052828 unit evidence","Existing chain stayed observe-only or diagnostic; no selected-data Pre-Bayes/filter rerun."
bbn_downstream,fail,"052828 unit/integration evidence","Assignment plumbing passed, but no selected-data BBN promotion packet exists."
catboost_path_ranker_downstream,fail,"034002/050430 readbacks","Candidate-set CatBoost evidence exists, but selected-data path-ranker validation remains absent or non-promotable."
execution_tree_downstream,fail,"034002/050430 readbacks","Execution candidate remains blocked; no trade-usable promotion packet."
provider_paths_checked,partial,"051153 and related provider/source-root readbacks","Provider reachability is diagnostic evidence only, not selected-data profitability evidence."
source_label_hgb_confidence,diagnostic_only,"051844/052911 HGB numeric screen","All four roots accepted at local HGB source-label gate; no accepted rows/canonical merge/downstream promotion rerun."
source_label_numeric_tree_confidence,diagnostic_only,"052522 numeric-tree screen","Bull/Crisis/Sideways accepted; Bear failed heldout-market Wilson95 gate; no promotion fields opened."
multi_agent_safety,pass,"append-only board rows and count-once reconciliations","No cursor overwrite; duplicate evidence families are counted once."
update_goal,fail,"this audit","Not complete; update_goal must not be called."
