provider,query,title,date,doi,html_url,url,raw_id,required_hits,broad_context_hits,disposition,accepted_for_board_a,summary
figshare,3 Red Trading matched controls,Exotic Reptiles in the Pet Trade: Are They a Threat to New Zealand?,2021-11-10T10:07:48Z,10.26686/wgtn.16973740.v1,https://api.figshare.com/v2/articles/16973740,https://api.figshare.com/v2/account/articles/16973740,16973740,,,unrelated_metadata,false,thesis
figshare,3 Red Trading matched controls,Additional file 1 of STARRPeaker: uniform processing and accurate identification of STARR-seq active regions,2020-12-09T07:29:20Z,10.6084/m9.figshare.13352102.v1,https://api.figshare.com/v2/articles/13352102,https://api.figshare.com/v2/account/articles/13352102,13352102,,,unrelated_metadata,false,journal contribution
figshare,direct manipulation matched controls,A simplified approach to direct SPE-MS,2026-04-09T02:49:40Z,,https://api.figshare.com/v2/articles/22893164,https://api.figshare.com/v2/account/articles/22893164,22893164,,,unrelated_metadata,false,journal contribution
figshare,direct manipulation matched controls,Dynamic Focal Spot Size Using a Static Phase Plate,2026-03-25T17:11:08Z,10.60593/ur.d.31852333.v1,https://api.figshare.com/v2/articles/31852333,https://api.figshare.com/v2/account/articles/31852333,31852333,,,unrelated_metadata,false,report
figshare,direct manipulation matched controls,The impact of transcranial direct current stimulation on inhibitory control in young adults,2026-03-16T18:20:08Z,,https://api.figshare.com/v2/articles/31760614,https://api.figshare.com/v2/account/articles/31760614,31760614,,,unrelated_metadata,false,journal contribution
figshare,direct manipulation matched controls,"Spin Polarization by
Magnetic Proximity Enhances Electron
Transport in Catalysts",2025-12-23T13:09:53Z,10.1021/jacs.5c16624.s001,https://api.figshare.com/v2/articles/30939998,https://api.figshare.com/v2/account/articles/30939998,30939998,,,unrelated_metadata,false,journal contribution
figshare,direct manipulation matched controls,"Configuration
Matching Strategy to Control Selectivity
in Heterogeneous Catalysis",2025-12-09T18:43:01Z,10.1021/acs.accounts.5c00671.s001,https://api.figshare.com/v2/articles/30840310,https://api.figshare.com/v2/account/articles/30840310,30840310,,,unrelated_metadata,false,journal contribution
figshare,direct manipulation matched controls,"Critical Current
Density of Skyrmions through a Voltage
Gate in a Synthetic Antiferromagnetic Nanotrack Manipulated by Local
Voltage-Controlled Magnetic Anisotropy",2025-08-25T17:03:24Z,10.1021/acs.jpclett.5c01463.s002,https://api.figshare.com/v2/articles/29980693,https://api.figshare.com/v2/account/articles/29980693,29980693,,,unrelated_metadata,false,journal contribution
figshare,direct manipulation matched controls,"Critical Current
Density of Skyrmions through a Voltage
Gate in a Synthetic Antiferromagnetic Nanotrack Manipulated by Local
Voltage-Controlled Magnetic Anisotropy",2025-08-25T17:03:23Z,10.1021/acs.jpclett.5c01463.s001,https://api.figshare.com/v2/articles/29980687,https://api.figshare.com/v2/account/articles/29980687,29980687,,,unrelated_metadata,false,journal contribution
figshare,direct manipulation matched controls,The role of pictorial cues and contrast for camouflage,2025-08-02T10:46:09Z,,https://api.figshare.com/v2/articles/29805305,https://api.figshare.com/v2/account/articles/29805305,29805305,,,unrelated_metadata,false,journal contribution
figshare,direct manipulation matched controls,"Bio-inspired Magnetic Systems: Controlled Swimming, Fluid Pumps, and Collective Behaviour",2025-08-01T00:43:23Z,,https://api.figshare.com/v2/articles/29754890,https://api.figshare.com/v2/account/articles/29754890,29754890,,,unrelated_metadata,false,thesis
figshare,direct manipulation matched controls,Advanced millimetre-wave antennas for future 5G communications,2025-07-31T10:14:57Z,10.26174/thesis.lboro.29665175.v1,https://api.figshare.com/v2/articles/29665175,https://api.figshare.com/v2/account/articles/29665175,29665175,,,unrelated_metadata,false,thesis
