path,reason
/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T041143+0800-codex-board-b-032157-agent-selected-mtf-factor-research-v1/selected_data_path.txt,recorded_path_artifact_not_explicit_user_selection
/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T032157-codex-board-b-nq-cost-crisis-repair-v3/downstream-agent-selected-ltf-factor-research-20260512T035344+0800/selected_data_path.txt,recorded_path_artifact_not_explicit_user_selection
/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T000604-codex-board-b-user-selected-historical-path-probe-v1,user_selected_name_in_prior_artifact_not_current_explicit_selection
/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T000604-codex-board-b-user-selected-historical-path-probe-v1/user-selected-historical-path-probe,user_selected_name_in_prior_artifact_not_current_explicit_selection
/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T032157-codex-board-b-nq-cost-crisis-repair-v3/downstream-combined-v1/user-selected-historical-data-gate-v2,user_selected_name_in_prior_artifact_not_current_explicit_selection
/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T032157-codex-board-b-nq-cost-crisis-repair-v3/downstream-combined-v1/user-selected-historical-data-gate-v1,user_selected_name_in_prior_artifact_not_current_explicit_selection
/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T000748-codex-board-b-agent-selected-historical-factor-research-v1,agent_side_hint_only
/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T000440-codex-board-b-agent-selected-historical-factor-research-v1,agent_side_hint_only
/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T000604-codex-board-b-user-selected-historical-path-probe-v1/state_user_selected_historical_path_probe_v1,user_selected_name_in_prior_artifact_not_current_explicit_selection
/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T000748-codex-board-b-agent-selected-historical-factor-research-v1/state_agent_selected_historical_factor_research_v1,agent_side_hint_only
/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T000748-codex-board-b-agent-selected-historical-factor-research-v1/agent_selected_historical_factor_research_v1_assertions.out,agent_side_hint_only
/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T000748-codex-board-b-agent-selected-historical-factor-research-v1/state_agent_selected_historical_factor_research_downstream_v1,agent_side_hint_only
/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T000748-codex-board-b-agent-selected-historical-factor-research-v1/agent_selected_historical_factor_research_v1.md,agent_side_hint_only
/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T000440-codex-board-b-agent-selected-historical-factor-research-v1/state_agent_selected_historical_factor_research_v1,agent_side_hint_only
/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T032157-codex-board-b-nq-cost-crisis-repair-v3/downstream-chain/selected_historical_factor_research_20260512T035427+0800,agent_side_hint_only
