event_id,instrument_or_asset,venue_or_chain,event_start,event_end,is_manipulation_positive,manipulation_type,negative_control_type,chronological_split,source_id,source_url_or_private_ref
IDEX:0x87bbc5fe23574dc757ab818a9011cf6c18bf5066f57788e6dd2bd1fc147eae25,0x0000000000000000000000000000000000000000/0x744d70fdbe2ba4cf95131626614a1763df805b9e,IDEX/Ethereum,2017-09-27T22:57:49Z,2017-09-27T22:57:50Z,true,wash_trade_self_trade,not_applicable_positive_self_trade,train,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; direct_signature=maker == taker
IDEX:0xbbe1a352d0edd1e9c9352c08887f5858571678ee978d9cd68cdb71751b2ae581,0x0000000000000000000000000000000000000000/0x744d70fdbe2ba4cf95131626614a1763df805b9e,IDEX/Ethereum,2017-09-27T23:04:43Z,2017-09-27T23:04:44Z,false,none_negative_control,same_venue_non_self_trade_control,train,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; direct_signature=maker == taker
IDEX:0xcf568721a37b63e5a09c378b88ae563e099144a16f46926b892533980f910c18,0x0000000000000000000000000000000000000000/0x744d70fdbe2ba4cf95131626614a1763df805b9e,IDEX/Ethereum,2017-09-27T23:13:43Z,2017-09-27T23:13:44Z,true,wash_trade_self_trade,not_applicable_positive_self_trade,train,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; direct_signature=maker == taker
IDEX:0xa77c2bc65be11c2df001355b2cd2f28cbb9c5c790f1072ace4c0ef75e8e6909a,0x0000000000000000000000000000000000000000/0x744d70fdbe2ba4cf95131626614a1763df805b9e,IDEX/Ethereum,2017-09-27T23:13:43Z,2017-09-27T23:13:44Z,true,wash_trade_self_trade,not_applicable_positive_self_trade,train,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; direct_signature=maker == taker
IDEX:0x241490f67b1c76fe86a61cc0725c012407ab51f12a3827acca1ac7296f7a4421,0x0000000000000000000000000000000000000000/0x744d70fdbe2ba4cf95131626614a1763df805b9e,IDEX/Ethereum,2017-09-27T23:13:43Z,2017-09-27T23:13:44Z,true,wash_trade_self_trade,not_applicable_positive_self_trade,train,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; direct_signature=maker == taker
IDEX:0x25470145081812ca6554a0af2621b5523e386e7befd3d1720d6e9ac7029702bf,0x0000000000000000000000000000000000000000/0x744d70fdbe2ba4cf95131626614a1763df805b9e,IDEX/Ethereum,2017-09-27T23:13:43Z,2017-09-27T23:13:44Z,true,wash_trade_self_trade,not_applicable_positive_self_trade,train,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; direct_signature=maker == taker
IDEX:0x978482e1e16ae7e30e25c51ee59b0f8259797c43b8fc8420efe09ff5c840434b,0x0000000000000000000000000000000000000000/0x744d70fdbe2ba4cf95131626614a1763df805b9e,IDEX/Ethereum,2017-09-28T00:16:26Z,2017-09-28T00:16:27Z,false,none_negative_control,same_venue_non_self_trade_control,train,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; direct_signature=maker == taker
IDEX:0xd6c136c71349c9b7cf8fd06407b60527216ceaaf6145177820fc1e503f190680,0x0000000000000000000000000000000000000000/0x744d70fdbe2ba4cf95131626614a1763df805b9e,IDEX/Ethereum,2017-09-28T03:18:47Z,2017-09-28T03:18:48Z,false,none_negative_control,same_venue_non_self_trade_control,train,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; direct_signature=maker == taker
IDEX:0x6f384b87bfa91c96c6d0478dce5d84cc4714dd561e444feda9a5b41837a141c2,0x0000000000000000000000000000000000000000/0x744d70fdbe2ba4cf95131626614a1763df805b9e,IDEX/Ethereum,2017-09-28T03:30:00Z,2017-09-28T03:30:01Z,false,none_negative_control,same_venue_non_self_trade_control,train,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; direct_signature=maker == taker
IDEX:0x549385fab0c1ff6f8080fd5b3ca5289e27903566bb4ca6f529c2b81be61cc94e,0x744d70fdbe2ba4cf95131626614a1763df805b9e/0x0000000000000000000000000000000000000000,IDEX/Ethereum,2017-09-28T03:51:54Z,2017-09-28T03:51:55Z,false,none_negative_control,same_venue_non_self_trade_control,train,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; direct_signature=maker == taker
IDEX:0x96a5ed0c3e8428fa1291e9cfec0a97a118bba2df3e50245bfc76e2875f2290d0,0x9002d4485b7594e3e850f0a206713b305113f69e/0x0000000000000000000000000000000000000000,IDEX/Ethereum,2018-01-18T16:39:31Z,2018-01-18T16:39:32Z,false,none_negative_control,same_venue_non_self_trade_control,calibration,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; direct_signature=maker == taker
IDEX:0xd4a32447b174a637239a455c41a0f3b3f4ed00d852220f5f455d840e4b5bc048,0x0000000000000000000000000000000000000000/0x107c4504cd79c5d2696ea0030a8dd4e92601b82e,IDEX/Ethereum,2018-01-18T16:39:31Z,2018-01-18T16:39:32Z,false,none_negative_control,same_venue_non_self_trade_control,calibration,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; direct_signature=maker == taker
IDEX:0xcc13af0ccd2e823f42ba1ed29919ef721bfd6fe5cdab9655bd883cf40e28c20d,0x0000000000000000000000000000000000000000/0xcc13fc627effd6e35d2d2706ea3c4d7396c610ea,IDEX/Ethereum,2018-01-18T16:39:31Z,2018-01-18T16:39:32Z,false,none_negative_control,same_venue_non_self_trade_control,calibration,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; direct_signature=maker == taker
