step,action,positive_rows,matched_negative_rows
docs/experiments/actionable-regime-confidence/runs/20260511T210150-codex-cftc-gandhi-source-row-uplift-v1/scripts/cftc_gandhi_source_row_uplift_v1.py,add_positive_and_negative_constants,2,2
docs/experiments/actionable-regime-confidence/runs/20260511T210744-codex-r6-mohan-additional-row-uplift-v1/scripts/r6_mohan_additional_row_uplift_v1.py,add_positive_and_negative_constants,6,6
docs/experiments/actionable-regime-confidence/runs/20260511T211201-codex-r6-mohan-shak-row-uplift-v1/scripts/r6_mohan_shak_row_uplift_v1.py,add_positive_and_negative_constants,17,17
docs/experiments/actionable-regime-confidence/runs/20260511T211606-codex-r6-shak-complaint-row-uplift-gate-v1/scripts/r6_shak_complaint_row_uplift_gate_v1.py,add_positive_and_negative_constants,25,25
docs/experiments/actionable-regime-confidence/runs/20260511T211628-codex-r6-shak-cftc-row-uplift-v1/scripts/r6_shak_cftc_row_uplift_v1.py,add_positive_and_negative_constants,30,30
docs/experiments/actionable-regime-confidence/runs/20260511T212137-codex-r6-geneva-cftc-row-uplift-v1/scripts/r6_geneva_cftc_row_uplift_v1.py,add_positive_and_negative_constants,33,33
docs/experiments/actionable-regime-confidence/runs/20260511T213113-codex-r6-zhao-skudder-cftc-row-uplift-v1/scripts/r6_zhao_skudder_cftc_row_uplift_v1.py,add_positive_and_negative_constants,40,40
docs/experiments/actionable-regime-confidence/runs/20260511T213312-codex-r6-flotron-cftc-row-uplift-v1/scripts/r6_flotron_cftc_row_uplift_v1.py,add_positive_and_negative_constants,50,50
docs/experiments/actionable-regime-confidence/runs/20260511T211208-codex-cftc-vorley-chanu-row-uplift-calibration-v1/scripts/cftc_vorley_chanu_row_uplift_calibration_v1.py,add_positive_and_negative_constants,54,54
docs/experiments/actionable-regime-confidence/runs/20260511T220410-codex-r6-vorley-franko-row-uplift-v1/scripts/r6_vorley_franko_row_uplift_v1.py,add_positive_and_negative_constants,61,61
docs/experiments/actionable-regime-confidence/runs/20260511T220755-codex-r6-official-rowlevel-support-extension-v1/scripts/r6_official_rowlevel_support_extension_v1.py,add_positive_and_negative_constants,70,70
docs/experiments/actionable-regime-confidence/runs/20260511T212004-codex-r6-shak-duplicate-row-cleanup-v1/scripts/r6_shak_duplicate_row_cleanup_v1.py,remove_shak_duplicate_ids,65,65
docs/experiments/actionable-regime-confidence/runs/20260511T211201-codex-r6-mohan-shak-row-uplift-v1/scripts/r6_mohan_shak_row_uplift_v1.py,remove_211201_semantic_duplicates,54,54
r6_logista_semantic_duplicate_cleanup_v1,remove_logista_serotta_prefix_duplicates,49,49
docs/experiments/actionable-regime-confidence/runs/20260511T220556-codex-r6-logista-cftc-row-repair-v1/scripts/r6_logista_cftc_row_repair_v1.py,add_repaired_logista_rows,54,54
docs/experiments/actionable-regime-confidence/runs/20260511T221034-codex-r6-logista-franko-row-uplift-v1/scripts/r6_logista_franko_row_uplift_v1.py,add_logista_franko_rows,57,57
