record,contract,trade_date_iso,time,order_id,order_at,side_type,buy_sell,price,qty,page,day,mon,yy
1,HGH2,2011-12-01,06:39:41.502,9837028,00001IVH,SPOOF,B,3.56,41,2,1,Dec,11
2,HGH2,2011-12-01,06:39:41.503,9837029,00001IVI,SPOOF,B,3.56,4,2,1,Dec,11
3,HGH2,2011-12-01,06:39:41.506,9837030,00001IVJ,SPOOF,B,3.56,6,2,1,Dec,11
4,HGH2,2011-12-01,06:39:42.146,9837052,00001IVO,FLIP,S,3.56,4,2,1,Dec,11
5,HGH2,2011-12-01,06:57:07.554,9853413,00001NGA,SPOOF,S,3.56,48,2,1,Dec,11
6,HGH2,2011-12-01,06:57:07.554,9853414,00001NGB,SPOOF,S,3.56,4,2,1,Dec,11
7,HGH2,2011-12-01,06:57:07.560,9853416,00001NGC,SPOOF,S,3.56,4,2,1,Dec,11
8,HGH2,2011-12-01,06:57:07.717,9853424,00001NGD,SPOOF,S,3.56,39,2,1,Dec,11
9,HGH2,2011-12-01,06:57:07.718,9853425,00001NGE,SPOOF,S,3.56,4,2,1,Dec,11
10,HGH2,2011-12-01,06:57:07.720,9853426,00001NGF,SPOOF,S,3.56,3,2,1,Dec,11
11,HGH2,2011-12-01,06:57:08.122,9853463,00001NGR,FLIP,B,3.56,36,2,1,Dec,11
12,HGH2,2011-12-01,07:03:47.708,9863141,00001Q43,SPOOF,S,3.57,35,2,1,Dec,11
13,HGH2,2011-12-01,07:03:47.709,9863142,00001Q44,SPOOF,S,3.57,4,2,1,Dec,11
14,HGH2,2011-12-01,07:03:47.710,9863143,00001Q45,SPOOF,S,3.57,7,2,1,Dec,11
15,HGH2,2011-12-01,07:03:47.836,9863145,00001Q48,SPOOF,S,3.57,4,2,1,Dec,11
16,HGH2,2011-12-01,07:03:47.903,9863146,00001Q4C,SPOOF,S,3.57,47,2,1,Dec,11
17,HGH2,2011-12-01,07:03:47.905,9863147,00001Q4D,SPOOF,S,3.57,5,2,1,Dec,11
18,HGH2,2011-12-01,07:03:48.307,9863151,00001Q4T,FLIP,B,3.57,47,2,1,Dec,11
19,HGH2,2011-12-01,07:03:52.661,9863270,00001Q74,SPOOF,B,3.57,32,2,1,Dec,11
20,HGH2,2011-12-01,07:03:52.661,9863271,00001Q75,SPOOF,B,3.57,4,2,1,Dec,11
21,HGH2,2011-12-01,07:03:52.663,9863272,00001Q76,SPOOF,B,3.57,4,2,1,Dec,11
22,HGH2,2011-12-01,07:03:52.762,9863276,00001Q78,SPOOF,B,3.57,34,2,1,Dec,11
23,HGH2,2011-12-01,07:03:52.764,9863277,00001Q79,SPOOF,B,3.57,3,2,1,Dec,11
24,HGH2,2011-12-01,07:03:52.794,9863284,00001Q7B,SPOOF,B,3.57,4,2,1,Dec,11
25,HGH2,2011-12-01,07:03:52.861,9863290,00001Q7E,SPOOF,B,3.57,41,2,1,Dec,11
26,HGH2,2011-12-01,07:03:52.866,9863291,00001Q7F,SPOOF,B,3.57,7,2,1,Dec,11
27,HGH2,2011-12-01,07:03:52.868,9863292,00001Q7G,SPOOF,B,3.57,4,2,1,Dec,11
28,HGH2,2011-12-01,07:03:53.528,9863302,00001Q7T,FLIP,S,3.57,34,2,1,Dec,11
29,HGH2,2011-12-01,07:03:59.255,9863482,00001QB5,SPOOF,B,3.58,38,2,1,Dec,11
30,HGH2,2011-12-01,07:03:59.256,9863483,00001QB6,SPOOF,B,3.58,4,2,1,Dec,11
31,HGH2,2011-12-01,07:03:59.262,9863484,00001QB7,SPOOF,B,3.58,4,2,1,Dec,11
32,HGH2,2011-12-01,07:03:59.354,9863487,00001QB8,SPOOF,B,3.58,37,2,1,Dec,11
33,HGH2,2011-12-01,07:03:59.356,9863488,00001QB9,SPOOF,B,3.58,3,2,1,Dec,11
34,HGH2,2011-12-01,07:03:59.376,9863489,00001QBA,SPOOF,B,3.58,4,2,1,Dec,11
35,HGH2,2011-12-01,07:03:59.466,9863492,00001QBC,SPOOF,B,3.58,4,2,1,Dec,11
36,HGH2,2011-12-01,07:03:59.475,9863493,00001QBD,SPOOF,B,3.58,34,2,1,Dec,11
37,HGH2,2011-12-01,07:03:59.476,9863494,00001QBE,SPOOF,B,3.58,3,2,1,Dec,11
38,HGH2,2011-12-01,07:04:00.252,9863509,00001QBY,FLIP,S,3.58,45,2,1,Dec,11
39,HGH2,2011-12-01,07:04:00.252,9863510,00001QBZ,FLIP,S,3.58,4,2,1,Dec,11
40,HGH2,2011-12-01,07:40:41.221,9916349,0000235K,SPOOF,B,3.55,36,2,1,Dec,11
41,HGH2,2011-12-01,07:40:41.221,9916350,0000235L,SPOOF,B,3.55,4,2,1,Dec,11
42,HGH2,2011-12-01,07:40:41.223,9916351,0000235M,SPOOF,B,3.55,5,2,1,Dec,11
43,HGH2,2011-12-01,07:40:41.361,9916356,0000235N,SPOOF,B,3.55,4,2,1,Dec,11
44,HGH2,2011-12-01,07:40:41.363,9916357,0000235O,SPOOF,B,3.55,47,2,1,Dec,11
45,HGH2,2011-12-01,07:40:41.365,9916358,0000235P,SPOOF,B,3.55,3,2,1,Dec,11
46,HGH2,2011-12-01,07:40:41.752,9916368,00002364,FLIP,S,3.55,33,2,1,Dec,11
47,HGH2,2011-12-01,08:23:43.058,9971658,00002LO7,SPOOF,B,3.55,46,2,1,Dec,11
48,HGH2,2011-12-01,08:23:43.080,9971671,00002LO8,SPOOF,B,3.55,4,2,1,Dec,11
49,HGH2,2011-12-01,08:23:43.126,9971685,00002LOG,SPOOF,B,3.55,3,2,1,Dec,11
50,HGH2,2011-12-01,08:23:43.187,9971687,00002LOJ,SPOOF,B,3.55,4,2,1,Dec,11
51,HGH2,2011-12-01,08:23:43.207,9971689,00002LOL,SPOOF,B,3.55,33,2,1,Dec,11
52,HGH2,2011-12-01,08:23:43.218,9971695,00002LOM,SPOOF,B,3.55,5,2,1,Dec,11
53,HGH2,2011-12-01,08:23:43.322,9971699,00002LOO,SPOOF,B,3.55,4,2,1,Dec,11
54,HGH2,2011-12-01,08:23:43.997,9971725,00002LPC,FLIP,S,3.55,47,2,1,Dec,11
55,HGH2,2011-12-01,08:23:43.997,9971726,00002LPD,FLIP,S,3.55,4,2,1,Dec,11
56,HGH2,2011-12-01,08:23:59.522,9972721,00002LW9,SPOOF,S,3.55,39,2,1,Dec,11
57,HGH2,2011-12-01,08:23:59.522,9972722,00002LWA,SPOOF,S,3.55,4,2,1,Dec,11
58,HGH2,2011-12-01,08:23:59.523,9972723,00002LWB,SPOOF,S,3.55,7,2,1,Dec,11
59,HGH2,2011-12-01,08:23:59.653,9972730,00002LWC,SPOOF,S,3.55,37,2,1,Dec,11
60,HGH2,2011-12-01,08:23:59.653,9972731,00002LWD,SPOOF,S,3.55,4,2,1,Dec,11
61,HGH2,2011-12-01,08:23:59.655,9972732,00002LWE,SPOOF,S,3.55,3,3,1,Dec,11
62,HGH2,2011-12-01,08:23:59.758,9972737,00002LWG,SPOOF,S,3.55,31,3,1,Dec,11
63,HGH2,2011-12-01,08:23:59.758,9972738,00002LWH,SPOOF,S,3.55,4,3,1,Dec,11
64,HGH2,2011-12-01,08:23:59.760,9972739,00002LWI,SPOOF,S,3.55,5,3,1,Dec,11
65,HGH2,2011-12-01,08:23:59.867,9972743,00002LWK,SPOOF,S,3.55,4,3,1,Dec,11
66,HGH2,2011-12-01,08:23:59.881,9972745,00002LWL,SPOOF,S,3.55,5,3,1,Dec,11
67,HGH2,2011-12-01,08:24:00.334,9972781,00002LWX,FLIP,B,3.55,33,3,1,Dec,11
68,HGH2,2011-12-01,08:26:08.829,9976543,00002MVG,SPOOF,S,3.55,44,3,1,Dec,11
69,HGH2,2011-12-01,08:26:08.831,9976544,00002MVH,SPOOF,S,3.55,8,3,1,Dec,11
70,HGH2,2011-12-01,08:26:08.997,9976546,00002MVK,SPOOF,S,3.55,43,3,1,Dec,11
71,HGH2,2011-12-01,08:26:08.999,9976547,00002MVL,SPOOF,S,3.55,3,3,1,Dec,11
72,HGH2,2011-12-01,08:26:09.018,9976551,00002MVM,SPOOF,S,3.55,4,3,1,Dec,11
73,HGH2,2011-12-01,08:26:09.368,9976573,00002MVU,FLIP,B,3.55,35,3,1,Dec,11
74,HGH2,2011-12-01,08:26:48.186,9977445,00002N3C,SPOOF,B,3.55,4,3,1,Dec,11
75,HGH2,2011-12-01,08:26:48.186,9977446,00002N3D,SPOOF,B,3.55,32,3,1,Dec,11
76,HGH2,2011-12-01,08:26:48.193,9977448,00002N3E,SPOOF,B,3.55,5,3,1,Dec,11
77,HGH2,2011-12-01,08:26:48.806,9977461,00002N3J,FLIP,S,3.55,46,3,1,Dec,11
78,HGH2,2011-12-01,08:27:04.712,9977962,00002N8P,SPOOF,S,3.55,41,3,1,Dec,11
79,HGH2,2011-12-01,08:27:04.712,9977963,00002N8Q,SPOOF,S,3.55,4,3,1,Dec,11
80,HGH2,2011-12-01,08:27:04.714,9977964,00002N8R,SPOOF,S,3.55,3,3,1,Dec,11
81,HGH2,2011-12-01,08:27:04.829,9977970,00002N8S,SPOOF,S,3.55,34,3,1,Dec,11
82,HGH2,2011-12-01,08:27:04.830,9977971,00002N8T,SPOOF,S,3.55,4,3,1,Dec,11
83,HGH2,2011-12-01,08:27:04.832,9977972,00002N8U,SPOOF,S,3.55,4,3,1,Dec,11
84,HGH2,2011-12-01,08:27:04.930,9977977,00002N8W,SPOOF,S,3.55,43,3,1,Dec,11
85,HGH2,2011-12-01,08:27:05.378,9977983,00002N96,FLIP,B,3.55,36,3,1,Dec,11
86,HGH2,2011-12-02,06:03:29.003,1048290,000ZY2HI,SPOOF,S,3.60,37,3,2,Dec,11
87,HGH2,2011-12-02,06:03:29.025,1048294,000ZY2HJ,SPOOF,S,3.60,6,3,2,Dec,11
88,HGH2,2011-12-02,06:03:29.025,1048295,000ZY2HK,SPOOF,S,3.60,4,3,2,Dec,11
89,HGH2,2011-12-02,06:03:29.539,1048296,000ZY2HT,FLIP,B,3.60,44,3,2,Dec,11
90,HGH2,2011-12-02,06:03:44.208,1048778,000ZY2LJ,SPOOF,S,3.60,47,3,2,Dec,11
91,HGH2,2011-12-02,06:03:44.209,1048779,000ZY2LK,SPOOF,S,3.60,6,3,2,Dec,11
92,HGH2,2011-12-02,06:03:44.432,1048796,000ZY2LL,SPOOF,S,3.60,46,3,2,Dec,11
93,HGH2,2011-12-02,06:03:44.434,1048797,000ZY2LM,SPOOF,S,3.60,4,3,2,Dec,11
94,HGH2,2011-12-02,06:03:44.459,1048798,000ZY2LN,SPOOF,S,3.60,4,3,2,Dec,11
95,HGH2,2011-12-02,06:03:44.932,1048824,000ZY2LT,FLIP,B,3.60,46,3,2,Dec,11
