provider,factor,walk_forward_fold,trades,win_rate,mean_net_return,profit_factor,max_drawdown_sum_return,folds_present
Binance,fair_value_gap_pullback_v1,test,712,0.373596,-0.0001939287214,0.940176,-0.3106642319,test
Binance,fair_value_gap_pullback_v1,train,1287,0.372960,8.244552693e-05,1.015076,-0.6037679832,train
Binance,fair_value_gap_pullback_v1,validation,634,0.353312,-0.0003415831269,0.907360,-0.3025700676,validation
Binance,order_block_pullback_v1,test,215,0.372093,-0.001424555107,0.705086,-0.3370191164,test
Binance,order_block_pullback_v1,train,363,0.374656,-0.0001656342393,0.977004,-0.3773045519,train
Binance,order_block_pullback_v1,validation,172,0.354651,-0.000897235862,0.810642,-0.2189759999,validation
Bybit,fair_value_gap_pullback_v1,test,10,0.300000,-0.001439490135,0.564937,-0.0312080083,test
Bybit,fair_value_gap_pullback_v1,train,19,0.578947,0.002090856799,2.582324,-0.01221395263,train
Bybit,fair_value_gap_pullback_v1,validation,10,0.300000,0.0006476810629,1.257333,-0.0251689924,validation
Bybit,order_block_pullback_v1,test,4,0.250000,0.001430684688,1.484164,-0.005912204299,test
Bybit,order_block_pullback_v1,train,1,1.000000,0.006330153137,999.000000,0,train
Bybit,order_block_pullback_v1,validation,3,0.000000,-0.006191028368,0.000000,-0.0185730851,validation
IBKR,fair_value_gap_pullback_v1,test,227,0.374449,-0.0007695386581,0.666491,-0.2172478208,test
IBKR,fair_value_gap_pullback_v1,train,463,0.354212,-0.0008717751215,0.661138,-0.4322502618,train
IBKR,fair_value_gap_pullback_v1,validation,231,0.380952,-0.0008591586296,0.564948,-0.2002240391,validation
IBKR,order_block_pullback_v1,test,55,0.290909,-0.0007871697135,0.709599,-0.1070797263,test
IBKR,order_block_pullback_v1,train,117,0.512821,0.0002804354721,1.106501,-0.04510284466,train
IBKR,order_block_pullback_v1,validation,51,0.313725,-0.001372240745,0.373542,-0.070434278,validation
Kraken,fair_value_gap_pullback_v1,test,19,0.315789,0.002464268518,1.954058,-0.03159602037,test
Kraken,fair_value_gap_pullback_v1,train,34,0.294118,-0.001065048348,0.647361,-0.05159204567,train
Kraken,fair_value_gap_pullback_v1,validation,23,0.217391,-0.004543628355,0.374472,-0.116463628,validation
Kraken,order_block_pullback_v1,test,6,0.000000,-0.01086383882,0.000000,-0.06518303293,test
Kraken,order_block_pullback_v1,train,13,0.230769,-0.002124188763,0.341244,-0.03258490822,train
Kraken,order_block_pullback_v1,validation,3,0.000000,-0.01065753194,0.000000,-0.03197259581,validation
yfinance/YF,fair_value_gap_pullback_v1,test,135,0.370370,-0.0001719726087,0.884281,-0.05825347756,test
yfinance/YF,fair_value_gap_pullback_v1,train,217,0.327189,-0.001030568697,0.428943,-0.2236334072,train
yfinance/YF,fair_value_gap_pullback_v1,validation,122,0.336066,-0.0005793029519,0.506272,-0.07884663569,validation
yfinance/YF,order_block_pullback_v1,test,30,0.200000,-0.00119119447,0.493971,-0.03774632149,test
yfinance/YF,order_block_pullback_v1,train,68,0.250000,-0.0008196904998,0.606216,-0.06798440144,train
yfinance/YF,order_block_pullback_v1,validation,32,0.218750,-0.001590848295,0.223197,-0.05090714545,validation
