target_file,required_for_verifier_compat,reason
direct_manipulation_positive_rows.csv,source_section,missing_or_not_directly_mappable_from_v62_positive_request
direct_manipulation_positive_rows.csv,participant_type_code,missing_or_not_directly_mappable_from_v62_positive_request
direct_manipulation_positive_rows.csv,participant_identifier,missing_or_not_directly_mappable_from_v62_positive_request
direct_manipulation_positive_rows.csv,side,missing_or_not_directly_mappable_from_v62_positive_request
direct_manipulation_positive_rows.csv,order_count,missing_or_not_directly_mappable_from_v62_positive_request
direct_manipulation_positive_rows.csv,total_order_quantity,missing_or_not_directly_mappable_from_v62_positive_request
direct_manipulation_matched_controls.csv,source_report,missing_or_not_directly_mappable_from_v62_control_request
direct_manipulation_matched_controls.csv,source_section,missing_or_not_directly_mappable_from_v62_control_request
direct_manipulation_matched_controls.csv,trade_date,missing_or_not_directly_mappable_from_v62_control_request
direct_manipulation_matched_controls.csv,symbol,missing_or_not_directly_mappable_from_v62_control_request
direct_manipulation_matched_controls.csv,venue_or_market_center,missing_or_not_directly_mappable_from_v62_control_request
direct_manipulation_matched_controls.csv,participant_type_code,missing_or_not_directly_mappable_from_v62_control_request
direct_manipulation_matched_controls.csv,participant_identifier,missing_or_not_directly_mappable_from_v62_control_request
direct_manipulation_matched_controls.csv,side,missing_or_not_directly_mappable_from_v62_control_request
direct_manipulation_matched_controls.csv,earliest_order_received_time,missing_or_not_directly_mappable_from_v62_control_request
direct_manipulation_matched_controls.csv,latest_order_received_time,missing_or_not_directly_mappable_from_v62_control_request
direct_manipulation_matched_controls.csv,order_count,missing_or_not_directly_mappable_from_v62_control_request
direct_manipulation_matched_controls.csv,total_order_quantity,missing_or_not_directly_mappable_from_v62_control_request
direct_manipulation_matched_controls.csv,session_bucket,missing_or_not_directly_mappable_from_v62_control_request
