root_label,split,time,instrument,timeframe,regime_label,log_return,price_norm,volume_norm,volatility,momentum_3,momentum_10,macd_norm,atr_norm,bb_pos,is_opening,is_closing,is_session_1,is_session_2,hour_sin,hour_cos,dow_sin,dow_cos
UnknownOrMixed,train,2009-02-16T02:00:00.000000000,IDX:IDX_DLY_ADHI_240,240m,4,0.0,1.0000000002403677,0.3260567273421831,0.020469686246891012,0.020000001544602908,-0.03773584713203626,,0.039177277631159795,0.48642186658844366,0,0,0,0,0.49999999999999994,0.8660254037844387,0.0,1.0
UnknownOrMixed,train,2009-02-17T02:00:00.000000000,IDX:IDX_DLY_ADHI_240,240m,1,0.05608946602096072,1.0738539908244757,9.171912887000866,0.024115564992959897,0.0784313734397939,0.05769230702587391,,0.04446915002863764,1.0,0,0,0,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
UnknownOrMixed,train,2009-02-17T06:00:00.000000000,IDX:IDX_DLY_ADHI_240,240m,1,0.0,1.0705596116687575,2.9258919891007906,0.024115564992959897,0.0784313734397939,0.05769230702587391,,0.040105103564888056,1.0,0,0,0,0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336
UnknownOrMixed,train,2009-02-18T02:00:00.000000000,IDX:IDX_DLY_ADHI_240,240m,2,-0.018349140055045222,1.0489510484614741,5.3536763546077415,0.02464953443082257,0.038461536367032645,0.05882352881791508,,0.04270560757329965,0.8774835420817328,0,0,0,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
UnknownOrMixed,train,2009-02-18T06:00:00.000000000,IDX:IDX_DLY_ADHI_240,240m,2,0.018349140055045215,1.0655737714320772,0.9792297132882326,0.02460211673378575,0.0,0.05769230702587391,0.018676738864061793,0.04254151337116611,0.971412042301725,0,0,0,0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434
UnknownOrMixed,train,2009-02-19T02:00:00.000000000,IDX:IDX_DLY_ADHI_240,240m,2,-0.018349140055045222,1.0444126069433948,0.30183529908600537,0.02453084532130343,-0.01818181954345144,0.08000000102973526,0.01882848432009961,0.04101162129091849,0.7831433403384925,0,0,0,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
UnknownOrMixed,train,2009-02-19T06:00:00.000000000,IDX:IDX_DLY_ADHI_240,240m,2,0.0,1.0427586202028267,0.4874931000265583,0.024251030203962867,0.0,0.08000000102973526,0.018735029428852214,0.04089422161287142,0.7560737506048231,0,0,0,0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419
UnknownOrMixed,train,2009-02-20T02:00:00.000000000,IDX:IDX_DLY_ADHI_240,240m,1,0.018349140055045215,1.0598006653911944,0.37030639756108163,0.024213761289027122,0.0,0.05769230702587391,0.019955775951199028,0.04077749215181861,0.8695194003024902,0,0,0,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
UnknownOrMixed,train,2009-02-20T06:00:00.000000000,IDX:IDX_DLY_ADHI_240,240m,2,-0.018349140055045222,1.0391276454248208,0.6990393372750328,0.024163254513317717,0.0,0.05882352881791508,0.019153987368093806,0.04201680814915961,0.6974234322593378,0,0,0,0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191
UnknownOrMixed,train,2009-02-23T02:00:00.000000000,IDX:IDX_DLY_ADHI_240,240m,2,0.0,1.037817730451508,0.760960394513004,0.022664166377193692,0.0,0.05882352881791508,0.018334632602105383,0.041976981787721475,0.687172725538018,0,0,0,0,0.49999999999999994,0.8660254037844387,0.0,1.0
