ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
chirin/africa-economic-banking-and-systemic-crisis-data,"Africa Economic, Banking and Systemic Crisis Data",14006,2019-07-21 02:00:17,20104,444,1.0
therohk/million-headlines,A Million News Headlines,22454888,2022-06-11 14:08:07.637000,47952,665,1.0
aryanmdev/tech-hiring-and-layoffs-workforce-data-20002025,Tech Hiring & Layoffs: Workforce Data (2000–2025),12877,2026-02-02 19:12:51.703000,844,46,1.0
ziya07/multi-market-financial-crisis-dataset,Multi-Market Financial Crisis Dataset,286760,2025-08-01 09:07:27.957000,121,4,0.8235294
taylorsamarel/financial-crisis-dataset,Financial Crisis Dataset,122726,2025-05-26 21:19:54.573000,27,11,0.11764706
rkiattisak/car-ownership-predictionbeginner-intermediate,Car Ownership prediction,4537,2023-03-08 04:27:00.993000,2369,42,1.0
aliafzal9323/us-domestic-airline-airfare-dataset-20082025,US Domestic Airline Airfare Dataset 2008–2025,2683781,2026-02-24 05:57:28,295,47,1.0
mafaqbhatti/stock-market-regimes-20002026,Stock Market Regimes (2000–2026),14239487,2026-02-01 02:25:29.437000,231,45,1.0
akshatsharma2/global-jobs-gdp-and-unemployment-data-19912022,"Global Jobs, GDP & Unemployment Data (1991–2022)",233398,2025-09-10 06:05:34,1678,55,1.0
ibrahimshahrukh/global-trade-growth-dynamics-dataset-1989-2023,Global Trade Growth Dynamics Dataset (1989-2023),23282,2026-02-15 01:09:50.493000,301,26,1.0
adamvakar/how-financial-crises-are-born-warning-indicators,How Financial Crises Are Born: Warning Indicators,96536,2026-02-01 22:43:56,110,20,1.0
omarshahrukh/stocks-traded-total-value-current-us,"Stocks Traded, Total Value (Current US$)",33649,2026-02-09 22:04:34.687000,361,47,1.0
hassanjameelahmed/lamborghini-stock-data,Lamborghini Stock Analysis (1980–2025),28636,2026-02-01 07:01:34.977000,184,45,1.0
pinuto/energy-crisis-and-stock-price-dataset-2021-2024,⚡ Energy Crisis and Stock Price Dataset: 2021-2024,81518,2024-11-20 14:51:59.743000,1578,42,1.0
belbino/us-recession-probability-tracker-2000-present,US Recession Probability Tracker (2000- Present),113435,2026-04-18 11:43:56,262,26,1.0
belbino/iran-war-and-global-fuel-crisis-impact-dataset,Iran War & Global Fuel Crisis Impact,4961,2026-04-08 04:06:32.353000,267,22,1.0
minahilfatima12328/a-data-driven-study-of-natural-disaster-events,A Data Driven Study of Natural Disaster Events,843089,2025-12-15 09:43:28.607000,509,17,1.0
aliafzal9323/smh-vaneck-semiconductor-daily-etf-2000-2026,SMH VanEck Semiconductor Daily ETF (2000-2026),119288,2026-02-26 10:14:00,29,40,1.0
kanchana1990/bis-global-debt-securities-intelligence-19622025,BIS Global Debt Securities Intelligence 1962–2025,28925723,2026-03-18 19:20:43.603000,182,31,1.0
abidhussai512/gdp-and-consumption-per-capita,GDP & Consumption per Capita,306421,2026-01-21 18:31:06.163000,443,41,1.0
