provider,symbol,timeframe,yf_interval,period,status,bars,first_ts,last_ts,reason
yfinance,CL=F,1m,1m,7d,ok,6898,2026-05-03 22:10:00+00:00,2026-05-10 22:57:00+00:00,
yfinance,DIA,1m,1m,7d,ok,2727,2026-04-30 13:30:00+00:00,2026-05-08 19:59:00+00:00,
yfinance,ES=F,1m,1m,7d,ok,6514,2026-05-04 04:32:00+00:00,2026-05-10 22:57:00+00:00,
yfinance,GC=F,1m,1m,7d,ok,6917,2026-05-03 22:10:00+00:00,2026-05-10 22:57:00+00:00,
yfinance,GLD,1m,1m,7d,ok,2730,2026-04-30 13:30:00+00:00,2026-05-08 19:59:00+00:00,
yfinance,NQ=F,1m,1m,7d,ok,6514,2026-05-04 04:32:00+00:00,2026-05-10 22:57:00+00:00,
yfinance,QQQ,1m,1m,7d,ok,2730,2026-04-30 13:30:00+00:00,2026-05-08 19:59:00+00:00,
yfinance,SPY,1m,1m,7d,ok,2730,2026-04-30 13:30:00+00:00,2026-05-08 19:59:00+00:00,
yfinance,USO,1m,1m,7d,ok,2730,2026-04-30 13:30:00+00:00,2026-05-08 19:59:00+00:00,
yfinance,YM=F,1m,1m,7d,ok,6486,2026-05-04 04:32:00+00:00,2026-05-10 22:57:00+00:00,
yfinance,^DJI,1m,1m,7d,ok,2730,2026-04-30 13:30:00+00:00,2026-05-08 19:59:00+00:00,
yfinance,^GSPC,1m,1m,7d,ok,2730,2026-04-30 13:30:00+00:00,2026-05-08 19:59:00+00:00,
yfinance,^NDX,1m,1m,7d,ok,2730,2026-04-30 13:30:00+00:00,2026-05-08 19:59:00+00:00,
yfinance,^VIX,1m,1m,7d,ok,5425,2026-04-30 07:15:00+00:00,2026-05-08 20:14:00+00:00,
yfinance,CL=F,5m,5m,60d,ok,13375,2026-03-01 23:10:00+00:00,2026-05-10 22:55:00+00:00,
yfinance,DIA,5m,5m,60d,ok,4680,2026-02-12 14:30:00+00:00,2026-05-08 19:55:00+00:00,
yfinance,ES=F,5m,5m,60d,ok,13430,2026-03-01 23:10:00+00:00,2026-05-10 22:55:00+00:00,
yfinance,GC=F,5m,5m,60d,ok,13430,2026-03-01 23:10:00+00:00,2026-05-10 22:55:00+00:00,
yfinance,GLD,5m,5m,60d,ok,4680,2026-02-12 14:30:00+00:00,2026-05-08 19:55:00+00:00,
yfinance,NQ=F,5m,5m,60d,ok,13429,2026-03-01 23:10:00+00:00,2026-05-10 22:55:00+00:00,
yfinance,QQQ,5m,5m,60d,ok,4680,2026-02-12 14:30:00+00:00,2026-05-08 19:55:00+00:00,
yfinance,SPY,5m,5m,60d,ok,4680,2026-02-12 14:30:00+00:00,2026-05-08 19:55:00+00:00,
yfinance,USO,5m,5m,60d,ok,4680,2026-02-12 14:30:00+00:00,2026-05-08 19:55:00+00:00,
yfinance,YM=F,5m,5m,60d,ok,13468,2026-03-01 23:10:00+00:00,2026-05-10 22:55:00+00:00,
yfinance,^DJI,5m,5m,60d,ok,4680,2026-02-12 14:30:00+00:00,2026-05-08 19:55:00+00:00,
yfinance,^GSPC,5m,5m,60d,ok,4680,2026-02-12 14:30:00+00:00,2026-05-08 19:55:00+00:00,
yfinance,^NDX,5m,5m,60d,ok,4680,2026-02-12 14:30:00+00:00,2026-05-08 19:55:00+00:00,
yfinance,^VIX,5m,5m,60d,ok,9114,2026-02-16 09:00:00+00:00,2026-05-08 20:10:00+00:00,
yfinance,CL=F,15m,15m,60d,ok,4466,2026-03-01 23:00:00+00:00,2026-05-10 22:45:00+00:00,
yfinance,DIA,15m,15m,60d,ok,1560,2026-02-12 14:30:00+00:00,2026-05-08 19:45:00+00:00,
yfinance,ES=F,15m,15m,60d,ok,4497,2026-03-01 23:00:00+00:00,2026-05-10 22:45:00+00:00,
yfinance,GC=F,15m,15m,60d,ok,4486,2026-03-01 23:00:00+00:00,2026-05-10 22:45:00+00:00,
yfinance,GLD,15m,15m,60d,ok,1560,2026-02-12 14:30:00+00:00,2026-05-08 19:45:00+00:00,
yfinance,NQ=F,15m,15m,60d,ok,4497,2026-03-01 23:00:00+00:00,2026-05-10 22:45:00+00:00,
yfinance,QQQ,15m,15m,60d,ok,1560,2026-02-12 14:30:00+00:00,2026-05-08 19:45:00+00:00,
yfinance,SPY,15m,15m,60d,ok,1560,2026-02-12 14:30:00+00:00,2026-05-08 19:45:00+00:00,
yfinance,USO,15m,15m,60d,ok,1560,2026-02-12 14:30:00+00:00,2026-05-08 19:45:00+00:00,
yfinance,YM=F,15m,15m,60d,ok,4497,2026-03-01 23:00:00+00:00,2026-05-10 22:45:00+00:00,
yfinance,^DJI,15m,15m,60d,ok,1560,2026-02-12 14:30:00+00:00,2026-05-08 19:45:00+00:00,
yfinance,^GSPC,15m,15m,60d,ok,1560,2026-02-12 14:30:00+00:00,2026-05-08 19:45:00+00:00,
yfinance,^NDX,15m,15m,60d,ok,1560,2026-02-12 14:30:00+00:00,2026-05-08 19:45:00+00:00,
yfinance,^VIX,15m,15m,60d,ok,3039,2026-02-16 09:00:00+00:00,2026-05-08 20:00:00+00:00,
yfinance,CL=F,30m,30m,60d,ok,2233,2026-03-01 23:00:00+00:00,2026-05-10 22:30:00+00:00,
yfinance,DIA,30m,30m,60d,ok,780,2026-02-12 14:30:00+00:00,2026-05-08 19:30:00+00:00,
yfinance,ES=F,30m,30m,60d,ok,2249,2026-03-01 23:00:00+00:00,2026-05-10 22:30:00+00:00,
yfinance,GC=F,30m,30m,60d,ok,2243,2026-03-01 23:00:00+00:00,2026-05-10 22:30:00+00:00,
yfinance,GLD,30m,30m,60d,ok,780,2026-02-12 14:30:00+00:00,2026-05-08 19:30:00+00:00,
yfinance,NQ=F,30m,30m,60d,ok,2249,2026-03-01 23:00:00+00:00,2026-05-10 22:30:00+00:00,
yfinance,QQQ,30m,30m,60d,ok,780,2026-02-12 14:30:00+00:00,2026-05-08 19:30:00+00:00,
yfinance,SPY,30m,30m,60d,ok,780,2026-02-12 14:30:00+00:00,2026-05-08 19:30:00+00:00,
yfinance,USO,30m,30m,60d,ok,780,2026-02-12 14:30:00+00:00,2026-05-08 19:30:00+00:00,
yfinance,YM=F,30m,30m,60d,ok,2249,2026-03-01 23:00:00+00:00,2026-05-10 22:30:00+00:00,
yfinance,^DJI,30m,30m,60d,ok,780,2026-02-12 14:30:00+00:00,2026-05-08 19:30:00+00:00,
yfinance,^GSPC,30m,30m,60d,ok,780,2026-02-12 14:30:00+00:00,2026-05-08 19:30:00+00:00,
yfinance,^NDX,30m,30m,60d,ok,780,2026-02-12 14:30:00+00:00,2026-05-08 19:30:00+00:00,
yfinance,^VIX,30m,30m,60d,ok,1578,2026-02-16 09:00:00+00:00,2026-05-08 20:00:00+00:00,
