base_symbol,comparison_symbol,relationship_type,relationship_confidence,timeframe,session,comparison_timeframe,comparison_session,timeframe_aligned,session_overlap,event_time,smt_signal,base_swing_type,regime_bucket,base_level,comparison_swing_type,comparison_level,swept_side,normalized_for_inverse_correlation,raw_comparison_swing_type,raw_comparison_level,same_event_window_confirmed,provider_provenance,evidence_source,forward_6h_return,forward_12h_return,directional_6h_return,directional_12h_return,favorable_6h,favorable_12h,mss_or_cisd_confirmed,displacement_confirmed,near_pd_array,pd_array_type,entry_context_complete,confirmation_role,actionable,confidence,fail_closed_reason
NQ,ES,positive,0.8692,5m,NY_AM,5m,NY_AM,True,True,2026-05-07T18:25:00+00:00,bullish_smt,LL,transition,28642.5,HL,7358.75,sell_side_liquidity,False,HL,7358.75,True,yfinance,provider_backed_same_timeframe_aligned_candles,0.00198053,0.00601138,0.00198053,0.00601138,True,True,False,False,False,none,False,confirmation_only,False,0.25,missing_mss_cisd_displacement_pda_entry_context
NQ,ES,positive,0.8692,5m,NY_AM,5m,NY_AM,True,True,2026-05-08T19:15:00+00:00,bearish_smt,HH,transition,29306.0,LH,7418.75,buy_side_liquidity,False,LH,7418.75,True,yfinance,provider_backed_same_timeframe_aligned_candles,,,,,,,False,False,False,none,False,confirmation_only,False,0.25,missing_mss_cisd_displacement_pda_entry_context
NQ,ES,positive,0.8692,5m,NY_AM,5m,NY_AM,True,True,2026-05-11T05:45:00+00:00,bullish_smt,LL,range,29317.5,HL,7410.25,sell_side_liquidity,False,HL,7410.25,True,yfinance,provider_backed_same_timeframe_aligned_candles,0.00050295,0.00451806,0.00050295,0.00451806,True,True,False,False,False,none,False,confirmation_only,False,0.25,missing_mss_cisd_displacement_pda_entry_context
NQ,ES,positive,0.8692,5m,NY_AM,5m,NY_AM,True,True,2026-05-11T14:30:00+00:00,bullish_smt,LL,range,29246.75,HL,7421.5,sell_side_liquidity,False,HL,7421.5,True,yfinance,provider_backed_same_timeframe_aligned_candles,0.00312977,9.381e-05,0.00312977,9.381e-05,True,True,False,False,False,none,False,confirmation_only,False,0.25,missing_mss_cisd_displacement_pda_entry_context
EURUSD,GBPUSD,positive,0.7889,15m,London_NY_overlap,15m,London_NY_overlap,True,True,2026-05-06T07:30:00+00:00,bullish_smt,LL,range,1.1728830337524414,HL,1.3584741353988647,sell_side_liquidity,False,HL,1.3584741353988647,True,yfinance,provider_backed_same_timeframe_aligned_candles,0.00211611,0.0017628,0.00211611,0.0017628,True,True,False,False,False,none,False,confirmation_only,False,0.25,missing_mss_cisd_displacement_pda_entry_context
EURUSD,GBPUSD,positive,0.7889,15m,London_NY_overlap,15m,London_NY_overlap,True,True,2026-05-11T21:15:00+00:00,bearish_smt,HH,range,1.1791062355041504,LH,1.3618041276931763,buy_side_liquidity,False,LH,1.3618041276931763,True,yfinance,provider_backed_same_timeframe_aligned_candles,-0.00258739,-0.00364187,0.00258739,0.00364187,True,True,False,False,False,none,False,confirmation_only,False,0.25,missing_mss_cisd_displacement_pda_entry_context
EURUSD,GBPUSD,positive,0.7889,15m,London_NY_overlap,15m,London_NY_overlap,True,True,2026-05-12T11:00:00+00:00,bullish_smt,LL,transition,1.17384672164917,HL,1.3523565530776978,sell_side_liquidity,False,HL,1.3523565530776978,True,yfinance,provider_backed_same_timeframe_aligned_candles,,,,,,,False,False,False,none,False,confirmation_only,False,0.25,missing_mss_cisd_displacement_pda_entry_context
XAUUSD,XAGUSD,positive,0.7749,15m,NY_AM,15m,NY_AM,True,True,2026-05-08T07:15:00+00:00,bullish_smt,LL,range,4706.2001953125,HL,79.86000061035156,sell_side_liquidity,False,HL,79.86000061035156,True,yfinance,provider_backed_same_timeframe_aligned_candles,0.00438945,0.0036685,0.00438945,0.0036685,True,True,False,False,False,none,False,confirmation_only,False,0.25,missing_mss_cisd_displacement_pda_entry_context
XAUUSD,XAGUSD,positive,0.7749,15m,NY_AM,15m,NY_AM,True,True,2026-05-08T12:30:00+00:00,bullish_smt,LL,transition,4709.60009765625,HL,80.90499877929688,sell_side_liquidity,False,HL,80.90499877929688,True,yfinance,provider_backed_same_timeframe_aligned_candles,0.00021126,,0.00021126,,True,,False,False,False,none,False,confirmation_only,False,0.25,missing_mss_cisd_displacement_pda_entry_context
XAUUSD,XAGUSD,positive,0.7749,15m,NY_AM,15m,NY_AM,True,True,2026-05-11T00:45:00+00:00,bullish_smt,LL,transition,4678.39990234375,HL,80.05500030517578,sell_side_liquidity,False,HL,80.05500030517578,True,yfinance,provider_backed_same_timeframe_aligned_candles,-0.00123597,0.00345236,-0.00123597,0.00345236,False,True,False,False,False,none,False,confirmation_only,False,0.25,missing_mss_cisd_displacement_pda_entry_context
XAUUSD,XAGUSD,positive,0.7749,15m,NY_AM,15m,NY_AM,True,True,2026-05-11T04:30:00+00:00,bullish_smt,LL,transition,4675.89990234375,HL,80.75,sell_side_liquidity,False,HL,80.75,True,yfinance,provider_backed_same_timeframe_aligned_candles,-0.00196556,0.0085884,-0.00196556,0.0085884,False,True,False,False,False,none,False,confirmation_only,False,0.25,missing_mss_cisd_displacement_pda_entry_context
XAUUSD,XAGUSD,positive,0.7749,15m,NY_AM,15m,NY_AM,True,True,2026-05-11T16:30:00+00:00,bullish_smt,LL,trend,4716.7998046875,HL,85.7300033569336,sell_side_liquidity,False,HL,85.7300033569336,True,yfinance,provider_backed_same_timeframe_aligned_candles,0.0070749,0.002669,0.0070749,0.002669,True,True,False,False,False,none,False,confirmation_only,False,0.25,missing_mss_cisd_displacement_pda_entry_context
XAUUSD,XAGUSD,positive,0.7749,15m,NY_AM,15m,NY_AM,True,True,2026-05-12T03:45:00+00:00,bullish_smt,LL,range,4726.7998046875,HL,86.56500244140625,sell_side_liquidity,False,HL,86.56500244140625,True,yfinance,provider_backed_same_timeframe_aligned_candles,-0.00452525,,-0.00452525,,False,,False,False,False,none,False,confirmation_only,False,0.25,missing_mss_cisd_displacement_pda_entry_context
XAUUSD,XAGUSD,positive,0.7749,15m,NY_AM,15m,NY_AM,True,True,2026-05-12T10:00:00+00:00,bearish_smt,HH,transition,4716.7001953125,LH,85.1449966430664,buy_side_liquidity,False,LH,85.1449966430664,True,yfinance,provider_backed_same_timeframe_aligned_candles,,,,,,,False,False,False,none,False,confirmation_only,False,0.25,missing_mss_cisd_displacement_pda_entry_context
