provider,provider_key,market,symbol,timeframe,requested_span,command_kind,exit,unsupported_reason,csv,provider_direct_native,derived_from_other_timeframe,stderr_tail,rows,actual_start,actual_end,gap_count_gt_expected,max_gap_hours
yfinance/YF,yfinance,equity,SPY,1h,2025-01-01..2026-05-12,yahoo,0,,docs/experiments/actionable-regime-confidence/runs/20260512T195604+0800-codex-native-provider-cross-timeframe-acquisition-preflight-v1/provider-csv/yfinance_spy_1h.csv,True,False,"  yahoo SPY: HTTP 429, retrying in 5s (attempt 1/5)
",2355,2025-01-02T14:30:00+00:00,2026-05-11T20:00:00+00:00,338,92.5
yfinance/YF,yfinance,equity,SPY,1d,2025-01-01..2026-05-12,yahoo,0,,docs/experiments/actionable-regime-confidence/runs/20260512T195604+0800-codex-native-provider-cross-timeframe-acquisition-preflight-v1/provider-csv/yfinance_spy_1d.csv,True,False,"  yahoo SPY: HTTP 429, retrying in 5s (attempt 1/5)
",339,2025-01-02T14:30:00+00:00,2026-05-11T13:30:00+00:00,76,96.0
yfinance/YF,yfinance,equity,SPY,4h,2025-01-01..2026-05-12,unsupported,,fetch_external_yahoo_supports_1h_and_1d_not_native_4h,,False,False,,0,,,,
IBKR,ibkr,equity,SPY,1h,2025-01-01..2026-05-12,ibkr,0,,docs/experiments/actionable-regime-confidence/runs/20260512T195604+0800-codex-native-provider-cross-timeframe-acquisition-preflight-v1/provider-csv/ibkr_spy_1h.csv,True,False,,3995,2025-05-13T08:00:00+00:00,2026-05-12T11:00:00+00:00,250,84.0
IBKR,ibkr,equity,SPY,1d,2025-01-01..2026-05-12,ibkr,0,,docs/experiments/actionable-regime-confidence/runs/20260512T195604+0800-codex-native-provider-cross-timeframe-acquisition-preflight-v1/provider-csv/ibkr_spy_1d.csv,True,False,,501,2024-05-13T00:00:00+00:00,2026-05-12T00:00:00+00:00,114,96.0
IBKR,ibkr,equity,SPY,4h,2025-01-01..2026-05-12,unsupported,,ibkr_fetch_external_declares_1_hour_and_1_day_bars_only_for_this_wrapper,,False,False,,0,,,,
Binance,binance,crypto,BTCUSDT,1h,2025-01-01..2026-05-12,binance,0,,docs/experiments/actionable-regime-confidence/runs/20260512T195604+0800-codex-native-provider-cross-timeframe-acquisition-preflight-v1/provider-csv/binance_btcusdt_1h.csv,True,False,,11905,2025-01-01T00:00:00+00:00,2026-05-12T00:00:00+00:00,0,1.0
Binance,binance,crypto,BTCUSDT,4h,2025-01-01..2026-05-12,binance,0,,docs/experiments/actionable-regime-confidence/runs/20260512T195604+0800-codex-native-provider-cross-timeframe-acquisition-preflight-v1/provider-csv/binance_btcusdt_4h.csv,True,False,,2977,2025-01-01T00:00:00+00:00,2026-05-12T00:00:00+00:00,0,4.0
Binance,binance,crypto,BTCUSDT,1d,2025-01-01..2026-05-12,binance,0,,docs/experiments/actionable-regime-confidence/runs/20260512T195604+0800-codex-native-provider-cross-timeframe-acquisition-preflight-v1/provider-csv/binance_btcusdt_1d.csv,True,False,,497,2025-01-01T00:00:00+00:00,2026-05-12T00:00:00+00:00,0,24.0
Bybit,bybit,crypto,BTCUSDT,1h,2025-01-01..2026-05-12,bybit,0,,docs/experiments/actionable-regime-confidence/runs/20260512T195604+0800-codex-native-provider-cross-timeframe-acquisition-preflight-v1/provider-csv/bybit_btcusdt_1h.csv,True,False,,1000,2026-03-31T09:00:00+00:00,2026-05-12T00:00:00+00:00,0,1.0
Bybit,bybit,crypto,BTCUSDT,4h,2025-01-01..2026-05-12,bybit,0,,docs/experiments/actionable-regime-confidence/runs/20260512T195604+0800-codex-native-provider-cross-timeframe-acquisition-preflight-v1/provider-csv/bybit_btcusdt_4h.csv,True,False,,1000,2025-11-26T12:00:00+00:00,2026-05-12T00:00:00+00:00,0,4.0
Bybit,bybit,crypto,BTCUSDT,1d,2025-01-01..2026-05-12,bybit,0,,docs/experiments/actionable-regime-confidence/runs/20260512T195604+0800-codex-native-provider-cross-timeframe-acquisition-preflight-v1/provider-csv/bybit_btcusdt_1d.csv,True,False,,497,2025-01-01T00:00:00+00:00,2026-05-12T00:00:00+00:00,0,24.0
Kraken,kraken,crypto,XBTUSD,1h,2025-01-01..2026-05-12,kraken,0,,docs/experiments/actionable-regime-confidence/runs/20260512T195604+0800-codex-native-provider-cross-timeframe-acquisition-preflight-v1/provider-csv/kraken_xbtusd_1h.csv,True,False,,721,2026-04-12T12:00:00+00:00,2026-05-12T12:00:00+00:00,0,1.0
Kraken,kraken,crypto,XBTUSD,4h,2025-01-01..2026-05-12,kraken,0,,docs/experiments/actionable-regime-confidence/runs/20260512T195604+0800-codex-native-provider-cross-timeframe-acquisition-preflight-v1/provider-csv/kraken_xbtusd_4h.csv,True,False,,721,2026-01-12T12:00:00+00:00,2026-05-12T12:00:00+00:00,0,4.0
Kraken,kraken,crypto,XBTUSD,1d,2025-01-01..2026-05-12,kraken,0,,docs/experiments/actionable-regime-confidence/runs/20260512T195604+0800-codex-native-provider-cross-timeframe-acquisition-preflight-v1/provider-csv/kraken_xbtusd_1d.csv,True,False,,721,2024-05-22T00:00:00+00:00,2026-05-12T00:00:00+00:00,0,24.0
TradingViewRemix/TVR,tvr,crypto,BINANCE:BTCUSDT,1h,2025-01-01..2026-05-12,tvr_harness,1,,,False,False,"ypto_reference provider=tradingview_mcp symbol=BINANCE:BTCUSDT fetch_failed:tradingview MCP call 'get_ohlcv' returned error | install_prompt=Consumer agent follow-up: retry a lightweight MCP health check such as tools/list before treating TradingViewRemix as usable. | install_prompt=Consumer agent request: TradingViewRemix MCP credentials were present but the live probe failed. Ask the user to re-enter ICT_ENGINE_TVREMIX_MCP_API_KEY and verify the MCP endpoint at https://tvremix.xyz/api/mcp/v1.
",0,,,,
