regime_id,passes_95,passes_99,rule,cal_support,cal_success,cal_wilson95,test_support,test_success,test_wilson95,test_ece,test_coverage,test_contexts,test_markets,test_timeframes,blocker
TrendExpansion,False,False,tv_atr_pct_14 <= 0.001082437454 AND tv_ma_spread_20_50 <= 0.001689815458,197,49,0.1935602018449258,119,53,0.3591798565575445,0.19664718679349916,0.039852645679839246,1,1,1,wilson95_below_0_95;ece_above_0_05;cross_market_context_support_below_3;cross_market_market_support_below_3;cross_market_timeframe_support_below_2
TrendExpansion,False,False,tv_volatility_pctile_63 >= 0.5741594022 AND tv_rsi_28 <= 51.11986487,642,186,0.25596244828238907,654,178,0.23946434964871718,0.01754837234559431,0.21902210314802412,4,4,2,wilson95_below_0_95
TrendExpansion,False,False,tv_ma_spread_20_50 <= -0.005608406554 AND tv_rsi_14 <= 42.46239826,128,46,0.2814673057552586,238,68,0.23208069043264629,0.0736607142857143,0.07970529135967849,3,3,1,wilson95_below_0_95;ece_above_0_05;cross_market_timeframe_support_below_2
TrendExpansion,False,False,tv_rsi_28 <= 51.11986487 AND tv_volatility_pctile_63 >= 0.5119047619,723,214,0.26386358821715933,698,186,0.23502005257748187,0.02951329029394395,0.23375753516409914,4,4,2,wilson95_below_0_95
TrendExpansion,False,False,tv_volatility_pctile_63 >= 0.5741594022 AND tv_rsi_28 <= 49.93779501,567,172,0.2669399275311631,571,162,0.24827815657100827,0.01963818542919532,0.1912257200267917,4,4,2,wilson95_below_0_95
ExtremeStress,False,False,tv_volatility_pctile_63 >= 0.9950653563 AND realized_vol_rank_252 >= 0.9126984127,136,23,0.11541666026262919,75,24,0.2254299503477284,0.15088235294117647,0.025117213663764234,4,4,2,wilson95_below_0_95;ece_above_0_05;coverage_below_0_03
ExtremeStress,False,False,condition_extreme_stress == true AND tv_volatility_pctile_63 >= 0.9950653563 AND realized_vol_rank_252 >= 0.9126984127,136,23,0.11541666026262919,75,24,0.2254299503477284,0.15088235294117647,0.025117213663764234,4,4,2,wilson95_below_0_95;ece_above_0_05;coverage_below_0_03
ExtremeStress,False,False,realized_vol_rank_252 >= 0.968537415 AND tv_volatility_pctile_63 >= 0.9495012208,118,24,0.1406599033932661,89,27,0.21764190852088772,0.09998095600837936,0.029805760214333555,4,4,2,calibration_support_below_120;wilson95_below_0_95;ece_above_0_05;coverage_below_0_03
ExtremeStress,False,False,condition_extreme_stress == true AND realized_vol_rank_252 >= 0.968537415 AND tv_volatility_pctile_63 >= 0.9495012208,118,24,0.1406599033932661,89,27,0.21764190852088772,0.09998095600837936,0.029805760214333555,4,4,2,calibration_support_below_120;wilson95_below_0_95;ece_above_0_05;coverage_below_0_03
ExtremeStress,False,False,realized_vol_rank_252 >= 0.968537415 AND tv_atr_rank_252 >= 0.8650793651,152,26,0.11948758336532712,114,33,0.21416645463441683,0.11842105263157895,0.038178164768921635,4,4,2,wilson95_below_0_95;ece_above_0_05
ReversalBrewing,False,False,tv_ma_slope_50 <= -0.005695598597 AND tv_rsi_14 <= 48.85302216,168,70,0.34479424061158126,285,114,0.3448174898534317,0.016666666666666663,0.09544541192230409,3,3,1,wilson95_below_0_95;cross_market_timeframe_support_below_2
ReversalBrewing,False,False,tv_ma_slope_50 <= -0.005695598597 AND tv_rsi_14 <= 46.89912131,150,58,0.31249116779192654,252,92,0.30807531866564686,0.0215873015873016,0.08439383791024782,3,3,1,wilson95_below_0_95;cross_market_timeframe_support_below_2
ReversalBrewing,False,False,tv_ma_slope_50 <= -0.005695598597 AND stretch_32 <= 0.0001806580288,198,82,0.3478020536848602,302,118,0.33740192735692354,0.023412937320222094,0.10113864701942397,3,3,1,wilson95_below_0_95;cross_market_timeframe_support_below_2
ReversalBrewing,False,False,tv_ma_slope_50 <= -0.005695598597 AND stretch_32 <= 0.0009591945383,203,83,0.34353997408974696,313,121,0.3343190458512774,0.0222855254253293,0.10482250502344273,3,3,1,wilson95_below_0_95;cross_market_timeframe_support_below_2
ReversalBrewing,False,False,tv_ma_slope_50 <= -0.005695598597 AND stretch_32 <= -0.0006349395216,184,76,0.3443862739670264,292,113,0.3329332880576838,0.02605717689100656,0.09778968519758875,3,3,1,wilson95_below_0_95;cross_market_timeframe_support_below_2
