source_run,row_id,root,provider,instrument,market_context,timeframe,source_id,evidence_type,materialization_status,date_granularity,crosswalk_layer,crosswalk_decision,confidence_gate_reference,quarantine_reason,native_subhour_eligible
20260511T124000-codex-unified-source-label-panel-v1,source-window-crosswalk-v1-0001-bull-2002-10-09-2007-10-09,Bull,yfinance,^GSPC,sp500_index,1m,yardeni_sp500_bull_bear_tables_2024,source_window_crosswalk,materialized_source_window_label,day,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,not_calibrated_source_label_slot_only,projected_day_or_month_source_window_to_subhour_target,False
20260511T124000-codex-unified-source-label-panel-v1,source-window-crosswalk-v1-0001-bull-2009-03-09-2020-02-19,Bull,yfinance,^GSPC,sp500_index,1m,yardeni_sp500_bull_bear_tables_2024,source_window_crosswalk,materialized_source_window_label,day,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,not_calibrated_source_label_slot_only,projected_day_or_month_source_window_to_subhour_target,False
20260511T124000-codex-unified-source-label-panel-v1,source-window-crosswalk-v1-0001-bull-2020-03-23-2022-01-03,Bull,yfinance,^GSPC,sp500_index,1m,yardeni_sp500_bull_bear_tables_2024,source_window_crosswalk,materialized_source_window_label,day,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,not_calibrated_source_label_slot_only,projected_day_or_month_source_window_to_subhour_target,False
20260511T124000-codex-unified-source-label-panel-v1,source-window-crosswalk-v1-0001-bull-2022-10-12-open,Bull,yfinance,^GSPC,sp500_index,1m,yardeni_sp500_bull_bear_tables_2024,source_window_crosswalk,materialized_source_window_label,day,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,not_calibrated_source_label_slot_only,projected_day_or_month_source_window_to_subhour_target,False
20260511T124000-codex-unified-source-label-panel-v1,source-window-crosswalk-v1-0002-bear-2000-03-24-2002-10-09,Bear,yfinance,^GSPC,sp500_index,1m,yardeni_sp500_bull_bear_tables_2024,source_window_crosswalk,materialized_source_window_label,day,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,not_calibrated_source_label_slot_only,projected_day_or_month_source_window_to_subhour_target,False
20260511T124000-codex-unified-source-label-panel-v1,source-window-crosswalk-v1-0002-bear-2007-10-09-2009-03-09,Bear,yfinance,^GSPC,sp500_index,1m,yardeni_sp500_bull_bear_tables_2024,source_window_crosswalk,materialized_source_window_label,day,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,not_calibrated_source_label_slot_only,projected_day_or_month_source_window_to_subhour_target,False
20260511T124000-codex-unified-source-label-panel-v1,source-window-crosswalk-v1-0002-bear-2020-02-19-2020-03-23,Bear,yfinance,^GSPC,sp500_index,1m,yardeni_sp500_bull_bear_tables_2024,source_window_crosswalk,materialized_source_window_label,day,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,not_calibrated_source_label_slot_only,projected_day_or_month_source_window_to_subhour_target,False
20260511T124000-codex-unified-source-label-panel-v1,source-window-crosswalk-v1-0002-bear-2022-01-03-2022-10-12,Bear,yfinance,^GSPC,sp500_index,1m,yardeni_sp500_bull_bear_tables_2024,source_window_crosswalk,materialized_source_window_label,day,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,not_calibrated_source_label_slot_only,projected_day_or_month_source_window_to_subhour_target,False
20260511T124000-codex-unified-source-label-panel-v1,source-window-crosswalk-v1-0003-crisis-2001-03-2001-11,Crisis,yfinance,^GSPC,sp500_index,1m,nber_business_cycle_dates,source_window_crosswalk,materialized_source_window_label,month,macro_crisis_to_gspc_time_projection,approved_low_risk_macro_stress_projection,not_calibrated_source_label_slot_only,projected_day_or_month_source_window_to_subhour_target,False
20260511T124000-codex-unified-source-label-panel-v1,source-window-crosswalk-v1-0003-crisis-2007-12-2009-06,Crisis,yfinance,^GSPC,sp500_index,1m,nber_business_cycle_dates,source_window_crosswalk,materialized_source_window_label,month,macro_crisis_to_gspc_time_projection,approved_low_risk_macro_stress_projection,not_calibrated_source_label_slot_only,projected_day_or_month_source_window_to_subhour_target,False
20260511T124000-codex-unified-source-label-panel-v1,source-window-crosswalk-v1-0003-crisis-2020-02-2020-04,Crisis,yfinance,^GSPC,sp500_index,1m,nber_business_cycle_dates,source_window_crosswalk,materialized_source_window_label,month,macro_crisis_to_gspc_time_projection,approved_low_risk_macro_stress_projection,not_calibrated_source_label_slot_only,projected_day_or_month_source_window_to_subhour_target,False
