path,size_bytes,sha256,suffix,columns_or_keys,archive_members_read,archive_header_hits,schema_class,order_lifecycle_hits,control_hits,ohlcv_hits,exact_required_name,verifier_native_hint
/Users/thrill3r/Downloads/Tomac/70wr2.49rrr5.84pf62.93e.csv,1233593,4d4c4dd6147255d267ede3869dc4d8344f7ba5e90daf200a24460ec63ffcebff,.csv,|entry|sl|tp1|tp2|dir|type|entry_time|tp1_hit|exit|reason|pnl,0,0,other,,,,False,False
/Users/thrill3r/Downloads/Tomac/77wr6.99pf2rrr.csv,1237914,7c7c707f249507f74ab83542864535dc2572ebb20d66b7a1908427107ef9dd50,.csv,|Entry|Exit|Type|Result|PnL,0,0,other,,,,False,False
/Users/thrill3r/Downloads/Tomac/80wr8pf1.97rrr.csv,504899,86da09f710054e76eb1a857c161a54d96fc5be1d05d55376b96f53c81f0bd7e3,.csv,|entry_time|exit_time|type|res|pnl,0,0,other,,,,False,False
/Users/thrill3r/Downloads/Tomac/82wr1.5rrr7.5pf.csv,156121,4df5c4c43a7b42760f751bd6b28a3b4625ecef6fe4acc918b8a0efcfa92b971d,.csv,Entry Time|Exit Time|Direction|Entry|Exit|Net PnL|Reason,0,0,other,,,,False,False
/Users/thrill3r/Downloads/Tomac/85wr12.9pf2.21rrr.csv,931679,03a51df7ff833ba5ce90c5191d0b1a3167a3d73e41239185c56291431aad5118,.csv,|Entry Time|Exit Time|Net PnL|Type|Reason,0,0,other,,,,False,False
/Users/thrill3r/Downloads/Tomac/90wr1.5rrr_ES_final.csv,10188,cb947075c22881616b7ffd8acbf780004b3583a17705fc7e93afead5fe77ab48,.csv,Net PnL|Result|Direction,0,0,other,,,,False,False
/Users/thrill3r/Downloads/Tomac/90wr1.5rrr_ES_results.csv,2801,40f95b97483a432b7b4064dccd95b54b7303c33cfc59e19307046db962e8d51f,.csv,Net PnL|Result,0,0,other,,,,False,False
/Users/thrill3r/Downloads/Tomac/90wr1.5rrr_ES_v2.csv,4586,3ff26839a54726852af21a85c3d4d69112096824a3b2ae19651ecf0ff23cb81f,.csv,Time|Direction|Net PnL|Result|Entry|Exit,0,0,other,,,,False,False
/Users/thrill3r/Downloads/Tomac/90wr1.5rrr_ES_v3.csv,57686,205494dcfcf1da3d49909ce1b226bc3619924edf1c6dc9e39fcef21100515f49,.csv,Time|Direction|Net PnL|Result|Entry|Exit,0,0,other,,,,False,False
/Users/thrill3r/Downloads/Tomac/90wr1.5rrr_EUR_final.csv,63283,55715f97121123a86f683175d01e1fabf8c2d1851e0d2874b8aaa00dc547b576,.csv,Net PnL|Result|Direction,0,0,other,,,,False,False
/Users/thrill3r/Downloads/Tomac/90wr1.5rrr_NQ_final.csv,3287,1ebbef2874649c3dc03a7c53185ad65e57d7eb85657631a785be84b2c8a63933,.csv,Net PnL|Result|Direction,0,0,other,,,,False,False
/Users/thrill3r/Downloads/Tomac/90wr1.5rrr_NQ_results.csv,1062,37bab1fc5017609e247b6133255e5ff5ae17e04b74e34fc0de427517cd296358,.csv,Net PnL|Result,0,0,other,,,,False,False
/Users/thrill3r/Downloads/Tomac/90wr1.5rrr_XAU_final.csv,4293,63a85353dc8df7b4f263435536c704f6738fedbb3c322c1dae4fc562b7f36761,.csv,Net PnL|Result|Direction,0,0,other,,,,False,False
/Users/thrill3r/Downloads/Tomac/90wr1.5rrr_YM_final.csv,32722,e14b6424ef49db464fa1be418caaab7d3c991f4bc5e66c19e8370721fe221e3d,.csv,Net PnL|Result|Direction,0,0,other,,,,False,False
/Users/thrill3r/Downloads/Tomac/90wr1.5rrr_all_contracts_summary.csv,113,0edbc39b83334055936918fbec5b46f3057f9edafa2865ace2ed2187d7608414,.csv,Contract|Trades|WinRate%|RRR|ProfitFactor|TotalPnL,0,0,other,,,,False,False
/Users/thrill3r/Downloads/Tomac/90wr1.5rrr_balanced.csv,20849,814d890861fabe469dd1df9824627d52561d7232435a6da44299dfb2e3742e2a,.csv,Time|Net PnL|Result|Direction,0,0,other,,,,False,False
/Users/thrill3r/Downloads/Tomac/90wr1.5rrr_final_summary.csv,216,d2fae95eb7322981cf0ccc947fcefc124cad840d47b10468647cf12f487095a0,.csv,Contract|Trades|WinRate%|RRR|ProfitFactor|TotalPnL,0,0,other,,,,False,False
/Users/thrill3r/Downloads/Tomac/90wr1.5rrr_pro_results.csv,501,64831aeb2f8cdf2ef29455016b3ee1235ee9306b18db918217a66149ed6f4c0c,.csv,Time|Net PnL|Result|Direction|Entry|Exit,0,0,other,,,,False,False
/Users/thrill3r/Downloads/Tomac/92w0.5rrrr5.54pf.csv,337152,1f19274f98eb32ec2b710609552d28c7f6bd60716b89158b3d57de39579a7cb7,.csv,|Entry Time|Exit Time|Net PnL|Type|Reason,0,0,other,,,,False,False
/Users/thrill3r/Downloads/Tomac/98wr0.8rrr41.07pf.csv,1272927,8abacd9762875bd45abf86f831d5678195074f28c931c8709d18df22de012c62,.csv,|Time|Net PnL|Result,0,0,other,,,,False,False
