instrument,root,calibration_2024_support,calibration_2024_wilson95_lcb,heldout_time_2025_support,heldout_time_2025_wilson95_lcb,support_gap_to_73,lcb_gap_to_095,one_split_passes,blocker
AAPL,Bear,50,0.9286524009,81,0.9547219146,23,0.021347599100,True,calibration_support_below_73|calibration_wilson95_below_0_95
AAPL,Sideways,68,0.9465286635,34,0.8984854458,39,0.051514554200,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
AAPL,Crisis,0,0.0,7,0.6456695649,73,0.950000000000,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
ABBV,Bear,34,0.8984854458,29,0.8830302015,44,0.066969798500,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
ABBV,Sideways,75,0.9512761575,67,0.9457738606,6,0.004226139400,True,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
ABBV,Crisis,0,0.0,2,0.3423802275,73,0.950000000000,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
AMD,Bull,76,0.9518864149,62,0.9416559279,11,0.008344072100,True,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
AMD,Bear,63,0.9425288004,76,0.9518864149,10,0.007471199600,True,calibration_support_below_73|calibration_wilson95_below_0_95
AMD,Sideways,10,0.7224672001,18,0.8241207764,63,0.227532799900,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
AMZN,Bear,15,0.796116699,44,0.9197043962,58,0.153883301000,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
AMZN,Sideways,49,0.9273021808,47,0.9244423958,26,0.025557604200,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
AMZN,Crisis,0,0.0,21,0.8453609811,73,0.950000000000,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
BA,Bull,20,0.8388748419,74,0.9506502206,53,0.111125158100,True,calibration_support_below_73|calibration_wilson95_below_0_95
BA,Bear,138,0.9729172355,40,0.9123783988,33,0.037621601200,True,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
BA,Sideways,45,0.9213484013,44,0.9197043962,29,0.030295603800,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
BA,Crisis,49,0.9273021808,92,0.9599186107,24,0.022697819200,True,calibration_support_below_73|calibration_wilson95_below_0_95
BAC,Bear,22,0.8513451254,30,0.8864866068,51,0.098654874600,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
BAC,Sideways,51,0.9299533801,51,0.9299533801,22,0.020046619900,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
BAC,Crisis,5,0.5655175352,8,0.6755924351,68,0.384482464800,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
CAT,Bear,32,0.8928208017,59,0.9388706295,41,0.057179198300,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
CAT,Sideways,53,0.9324180114,25,0.8668077491,48,0.083192250900,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
CAT,Crisis,0,0.0,4,0.5101091635,73,0.950000000000,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
COP,Bull,67,0.9457738606,27,0.8754449703,46,0.074555029700,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
COP,Sideways,62,0.9416559279,56,0.9358060633,17,0.014193936700,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
COP,Crisis,0,0.0,55,0.9347150989,73,0.950000000000,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
CSCO,Bear,92,0.9599186107,17,0.815681865,56,0.134318135000,True,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
CSCO,Sideways,59,0.9388706295,66,0.944997443,14,0.011129370500,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
CSCO,Crisis,1,0.2065493144,0,0.0,73,0.950000000000,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
CVX,Bear,56,0.9358060633,29,0.8830302015,44,0.066969798500,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
CVX,Crisis,0,0.0,13,0.7719046276,73,0.950000000000,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
DIS,Bull,88,0.9581729333,55,0.9347150989,18,0.015284901100,True,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
DIS,Bear,69,0.9472627418,54,0.9335864119,19,0.016413588100,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
DIS,Crisis,15,0.796116699,41,0.9143324298,58,0.153883301000,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
GE,Bear,26,0.8712710781,22,0.8513451254,51,0.098654874600,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
GE,Sideways,42,0.9162012091,29,0.8830302015,44,0.066969798500,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
GE,Crisis,0,0.0,3,0.4385029682,73,0.950000000000,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
GOOGL,Bear,37,0.9059421742,44,0.9197043962,36,0.044057825800,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
GOOGL,Sideways,33,0.8957300025,41,0.9143324298,40,0.054269997500,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
GOOGL,Crisis,0,0.0,15,0.796116699,73,0.950000000000,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
GS,Bear,0,0.0,22,0.8513451254,73,0.950000000000,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
GS,Sideways,46,0.9229264369,35,0.9010990077,38,0.048900992300,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
GS,Crisis,0,0.0,14,0.7846891973,73,0.950000000000,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
HD,Bull,162,0.9768365592,69,0.9472627418,4,0.002737258200,True,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
HD,Bear,28,0.8793566952,101,0.9633593536,45,0.070643304800,True,calibration_support_below_73|calibration_wilson95_below_0_95
HD,Sideways,62,0.9416559279,80,0.9541818705,11,0.008344072100,True,calibration_support_below_73|calibration_wilson95_below_0_95
HD,Crisis,0,0.0,0,0.0,73,0.950000000000,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
INTC,Bull,20,0.8388748419,23,0.8568833815,53,0.111125158100,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
INTC,Bear,89,0.9586234548,53,0.9324180114,20,0.017581988600,True,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
INTC,Sideways,16,0.8063923195,2,0.3423802275,71,0.607619772500,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
JNJ,Bear,73,0.950007992,34,0.8984854458,39,0.051514554200,True,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
JNJ,Sideways,99,0.9626467879,61,0.9407561321,12,0.009243867900,True,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
JNJ,Crisis,0,0.0,0,0.0,73,0.950000000000,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
JPM,Bear,12,0.7575059933,19,0.8318207759,61,0.192494006700,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
JPM,Sideways,32,0.8928208017,58,0.9378821442,41,0.057179198300,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
JPM,Crisis,0,0.0,3,0.4385029682,73,0.950000000000,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
MCD,Bear,62,0.9416559279,15,0.796116699,58,0.153883301000,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
MCD,Crisis,0,0.0,0,0.0,73,0.950000000000,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
META,Bear,29,0.8830302015,35,0.9010990077,44,0.066969798500,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
META,Sideways,33,0.8957300025,44,0.9197043962,40,0.054269997500,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
META,Crisis,0,0.0,38,0.9081901318,73,0.950000000000,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
MS,Bear,27,0.8754449703,19,0.8318207759,54,0.118179224100,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
MS,Sideways,56,0.9358060633,34,0.8984854458,39,0.051514554200,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
MS,Crisis,0,0.0,16,0.8063923195,73,0.950000000000,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
MSFT,Bear,20,0.8388748419,65,0.9441984687,53,0.111125158100,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
MSFT,Crisis,0,0.0,2,0.3423802275,73,0.950000000000,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
NFLX,Bear,21,0.8453609811,72,0.9493488274,52,0.104639018900,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
NFLX,Sideways,20,0.8388748419,58,0.9378821442,53,0.111125158100,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
NFLX,Crisis,9,0.7008549516,0,0.0,73,0.950000000000,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
NKE,Bull,25,0.8668077491,13,0.7719046276,60,0.178095372400,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
NKE,Sideways,55,0.9347150989,50,0.9286524009,23,0.021347599100,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
NKE,Crisis,29,0.8830302015,70,0.9479769376,44,0.066969798500,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
NVDA,Bear,32,0.8928208017,49,0.9273021808,41,0.057179198300,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
NVDA,Sideways,8,0.6755924351,25,0.8668077491,65,0.274407564900,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
NVDA,Crisis,13,0.7719046276,29,0.8830302015,60,0.178095372400,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
PFE,Bull,48,0.9258998703,48,0.9258998703,25,0.024100129700,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
PFE,Crisis,21,0.8453609811,36,0.9035813714,52,0.104639018900,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
SBUX,Bull,58,0.9378821442,49,0.9273021808,24,0.022697819200,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
SBUX,Sideways,32,0.8928208017,50,0.9286524009,41,0.057179198300,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
SBUX,Crisis,20,0.8388748419,58,0.9378821442,53,0.111125158100,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
T,Bear,3,0.4385029682,59,0.9388706295,70,0.511497031800,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
T,Sideways,36,0.9035813714,49,0.9273021808,37,0.046418628600,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
T,Crisis,9,0.7008549516,0,0.0,73,0.950000000000,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
TMO,Bull,118,0.968471661,67,0.9457738606,6,0.004226139400,True,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
TMO,Bear,59,0.9388706295,98,0.9622800099,14,0.011129370500,True,calibration_support_below_73|calibration_wilson95_below_0_95
TMO,Sideways,75,0.9512761575,43,0.9179901968,30,0.032009803200,True,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
TMO,Crisis,0,0.0,42,0.9162012091,73,0.950000000000,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
TSLA,Bull,42,0.9162012091,76,0.9518864149,31,0.033798790900,True,calibration_support_below_73|calibration_wilson95_below_0_95
TSLA,Bear,53,0.9324180114,24,0.8620237953,49,0.087976204700,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
TSLA,Sideways,11,0.741167033,4,0.5101091635,69,0.439890836500,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
UNH,Bull,93,0.9603324974,51,0.9299533801,22,0.020046619900,True,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
UNH,Bear,66,0.944997443,151,0.9751910189,7,0.005002557000,True,calibration_support_below_73|calibration_wilson95_below_0_95
UNH,Sideways,91,0.9594959961,14,0.7846891973,59,0.165310802700,True,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
UNH,Crisis,2,0.3423802275,34,0.8984854458,71,0.607619772500,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
VZ,Bear,30,0.8864866068,49,0.9273021808,43,0.063513393200,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
VZ,Crisis,9,0.7008549516,0,0.0,73,0.950000000000,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
WFC,Bear,27,0.8754449703,27,0.8754449703,46,0.074555029700,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
WFC,Sideways,60,0.9398281479,50,0.9286524009,23,0.021347599100,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
WFC,Crisis,0,0.0,10,0.7224672001,73,0.950000000000,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
WMT,Bear,0,0.0,23,0.8568833815,73,0.950000000000,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
