scenario,regime,trade_count,win_rate,expectancy,instrument_coverage
mss_only,all,7,0.7142857142857143,0.009075478382072809,"BTC,EURUSD,NQ,XAUUSD"
mss_only,trend,3,0.6666666666666666,0.013571650350457756,BTC
mss_only,range,2,1.0,0.0041525346561638015,"EURUSD,NQ"
mss_only,transition,2,0.5,0.007254164155404393,"BTC,XAUUSD"
mss_only,stress,0,,,
mss_only,other,0,,,
displacement_only,all,6,0.8333333333333334,0.005146969795146542,"BTC,EURUSD"
displacement_only,trend,4,0.75,0.006276745700654092,BTC
displacement_only,range,2,1.0,0.0028874179841314406,EURUSD
displacement_only,transition,0,,,
displacement_only,stress,0,,,
displacement_only,other,0,,,
pda_only,all,39,0.5128205128205128,-0.00029998561127524847,"BTC,EURUSD,NQ,XAUUSD"
pda_only,trend,19,0.5789473684210527,-0.000717410635114931,"BTC,XAUUSD"
pda_only,range,8,0.625,2.175754107108777e-05,"BTC,EURUSD,NQ,XAUUSD"
pda_only,transition,12,0.3333333333333333,0.00014644190824002456,"BTC,EURUSD,NQ,XAUUSD"
pda_only,stress,0,,,
pda_only,other,0,,,
mss_plus_pda,all,7,0.7142857142857143,0.009075478382072809,"BTC,EURUSD,NQ,XAUUSD"
mss_plus_pda,trend,3,0.6666666666666666,0.013571650350457756,BTC
mss_plus_pda,range,2,1.0,0.0041525346561638015,"EURUSD,NQ"
mss_plus_pda,transition,2,0.5,0.007254164155404393,"BTC,XAUUSD"
mss_plus_pda,stress,0,,,
mss_plus_pda,other,0,,,
mss_plus_displacement,all,3,1.0,0.019891945830043948,"BTC,EURUSD"
mss_plus_displacement,trend,2,1.0,0.027480524843287633,BTC
mss_plus_displacement,range,1,1.0,0.004714787803556571,EURUSD
mss_plus_displacement,transition,0,,,
mss_plus_displacement,stress,0,,,
mss_plus_displacement,other,0,,,
displacement_plus_pda,all,6,0.8333333333333334,0.005146969795146542,"BTC,EURUSD"
displacement_plus_pda,trend,4,0.75,0.006276745700654092,BTC
displacement_plus_pda,range,2,1.0,0.0028874179841314406,EURUSD
displacement_plus_pda,transition,0,,,
displacement_plus_pda,stress,0,,,
displacement_plus_pda,other,0,,,
strict_mss_displacement_pda,all,3,1.0,0.019891945830043948,"BTC,EURUSD"
strict_mss_displacement_pda,trend,2,1.0,0.027480524843287633,BTC
strict_mss_displacement_pda,range,1,1.0,0.004714787803556571,EURUSD
strict_mss_displacement_pda,transition,0,,,
strict_mss_displacement_pda,stress,0,,,
strict_mss_displacement_pda,other,0,,,
