family,branch_path,main_regime,volatility_bucket,momentum_bucket,provider_count,providers,symbol_count,symbols,trade_count,win_rate,avg_net_return,total_net_return,profit_factor
fvg_retrace_continuation_v1,trend_expansion->normal_volatility->up_momentum->fvg_retrace_continuation,trend_expansion,normal_volatility,up_momentum,3,binance|ibkr|yahoo,3,BTCUSDT|ES|SPY,3416,0.4879976580796253,2.297416528385972e-05,0.0784797486096648,1.004204580777191
fvg_retrace_continuation_v1,trend_expansion->normal_volatility->down_or_flat_momentum->fvg_retrace_continuation,trend_expansion,normal_volatility,down_or_flat_momentum,3,binance|ibkr|yahoo,3,BTCUSDT|ES|SPY,2310,0.454978354978355,-0.000572662189521916,-1.322849657795626,0.9178062687516398
fvg_retrace_continuation_v1,range_or_de_risk->normal_volatility->up_momentum->fvg_retrace_continuation,range_or_de_risk,normal_volatility,up_momentum,3,binance|ibkr|yahoo,3,BTCUSDT|ES|SPY,1780,0.47921348314606743,-0.00038250901723142094,-0.6808660506719293,0.9331722509431271
fvg_retrace_continuation_v1,range_or_de_risk->normal_volatility->down_or_flat_momentum->fvg_retrace_continuation,range_or_de_risk,normal_volatility,down_or_flat_momentum,3,binance|ibkr|yahoo,3,BTCUSDT|ES|SPY,1654,0.4848851269649335,-0.0006568851585311664,-1.0864880522105493,0.9016958363360142
fvg_retrace_continuation_v1,trend_expansion->high_volatility->down_or_flat_momentum->fvg_retrace_continuation,trend_expansion,high_volatility,down_or_flat_momentum,3,binance|ibkr|yahoo,3,BTCUSDT|ES|SPY,1256,0.43471337579617836,-0.0014516600632274522,-1.82328503941368,0.8284899201161221
fvg_ob_pullback_resume_v1,trend_expansion->normal_volatility->up_momentum->fvg_ob_pullback_resume,trend_expansion,normal_volatility,up_momentum,3,binance|ibkr|yahoo,3,BTCUSDT|ES|SPY,1190,0.48487394957983193,-0.00021390692095275571,-0.2545492359337793,0.9634261862312391
fvg_retrace_continuation_v1,trend_expansion->high_volatility->up_momentum->fvg_retrace_continuation,trend_expansion,high_volatility,up_momentum,3,binance|ibkr|yahoo,3,BTCUSDT|ES|SPY,1005,0.48955223880597015,0.0001638424410643795,0.1646616532697014,1.025677500219765
order_block_retest_continuation_v1,trend_expansion->normal_volatility->up_momentum->order_block_retest_continuation,trend_expansion,normal_volatility,up_momentum,3,binance|ibkr|yahoo,3,BTCUSDT|ES|SPY,975,0.49948717948717947,0.00023749529372818688,0.23155791138498222,1.0372441497131704
ob_fvg_confluence_continuation_v1,trend_expansion->normal_volatility->up_momentum->ob_fvg_confluence_continuation,trend_expansion,normal_volatility,up_momentum,3,binance|ibkr|yahoo,3,BTCUSDT|ES|SPY,899,0.4783092324805339,0.0001049773107527282,0.09437460236670266,1.016477028449524
fvg_ob_pullback_resume_v1,trend_expansion->normal_volatility->down_or_flat_momentum->fvg_ob_pullback_resume,trend_expansion,normal_volatility,down_or_flat_momentum,3,binance|ibkr|yahoo,3,BTCUSDT|ES|SPY,812,0.43842364532019706,-0.0012631478599736256,-1.025676062298584,0.8374404986893339
fvg_ob_pullback_resume_v1,range_or_de_risk->normal_volatility->up_momentum->fvg_ob_pullback_resume,range_or_de_risk,normal_volatility,up_momentum,3,binance|ibkr|yahoo,3,BTCUSDT|ES|SPY,709,0.4936530324400564,-0.00043323982582516,-0.30716703651003846,0.925811731865935
order_block_retest_continuation_v1,range_or_de_risk->normal_volatility->up_momentum->order_block_retest_continuation,range_or_de_risk,normal_volatility,up_momentum,3,binance|ibkr|yahoo,3,BTCUSDT|ES|SPY,681,0.48604992657856094,-0.000630875157638515,-0.42962598235182875,0.9070733449975092
order_block_retest_continuation_v1,trend_expansion->normal_volatility->down_or_flat_momentum->order_block_retest_continuation,trend_expansion,normal_volatility,down_or_flat_momentum,3,binance|ibkr|yahoo,3,BTCUSDT|ES|SPY,669,0.4648729446935725,-0.002255098625540363,-1.508660980486503,0.7189493130408087
ob_fvg_confluence_continuation_v1,range_or_de_risk->normal_volatility->up_momentum->ob_fvg_confluence_continuation,range_or_de_risk,normal_volatility,up_momentum,3,binance|ibkr|yahoo,3,BTCUSDT|ES|SPY,668,0.45209580838323354,-0.002276934901075919,-1.5209925139187142,0.6864419358044717
order_block_retest_continuation_v1,range_or_de_risk->normal_volatility->down_or_flat_momentum->order_block_retest_continuation,range_or_de_risk,normal_volatility,down_or_flat_momentum,3,binance|ibkr|yahoo,3,BTCUSDT|ES|SPY,663,0.4917043740573152,0.0002867689494130998,0.19012781346088514,1.0469587922598738
fvg_ob_pullback_resume_v1,range_or_de_risk->normal_volatility->down_or_flat_momentum->fvg_ob_pullback_resume,range_or_de_risk,normal_volatility,down_or_flat_momentum,3,binance|ibkr|yahoo,3,BTCUSDT|ES|SPY,646,0.48297213622291024,-0.0002777343721040382,-0.17941640437920867,0.9597753447223628
ob_fvg_confluence_continuation_v1,range_or_de_risk->normal_volatility->down_or_flat_momentum->ob_fvg_confluence_continuation,range_or_de_risk,normal_volatility,down_or_flat_momentum,3,binance|ibkr|yahoo,3,BTCUSDT|ES|SPY,612,0.4493464052287582,-0.0008122390289718933,-0.4970902857307987,0.8851449233712885
ob_fvg_confluence_continuation_v1,trend_expansion->normal_volatility->down_or_flat_momentum->ob_fvg_confluence_continuation,trend_expansion,normal_volatility,down_or_flat_momentum,3,binance|ibkr|yahoo,3,BTCUSDT|ES|SPY,603,0.42122719734660036,-0.0028895020748464996,-1.7423697511324392,0.6616993334298622
fvg_retrace_continuation_v1,range_or_de_risk->high_volatility->down_or_flat_momentum->fvg_retrace_continuation,range_or_de_risk,high_volatility,down_or_flat_momentum,3,binance|ibkr|yahoo,3,BTCUSDT|ES|SPY,502,0.4342629482071713,-0.001214464199834334,-0.6096610283168357,0.8190423583704032
fvg_ob_pullback_resume_v1,trend_expansion->high_volatility->down_or_flat_momentum->fvg_ob_pullback_resume,trend_expansion,high_volatility,down_or_flat_momentum,3,binance|ibkr|yahoo,3,BTCUSDT|ES|SPY,455,0.4087912087912088,-0.00283529032252424,-1.2900570967485292,0.7063008545409882
fvg_retrace_continuation_v1,range_or_de_risk->high_volatility->up_momentum->fvg_retrace_continuation,range_or_de_risk,high_volatility,up_momentum,3,binance|ibkr|yahoo,3,BTCUSDT|ES|SPY,440,0.4727272727272727,-0.001372102309776303,-0.6037250163015733,0.7910101782236908
fvg_ob_pullback_resume_v1,trend_expansion->high_volatility->up_momentum->fvg_ob_pullback_resume,trend_expansion,high_volatility,up_momentum,3,binance|ibkr|yahoo,3,BTCUSDT|ES|SPY,372,0.5161290322580645,0.0003999645119644587,0.14878679845077863,1.0535093862147138
ob_fvg_confluence_continuation_v1,trend_expansion->high_volatility->down_or_flat_momentum->ob_fvg_confluence_continuation,trend_expansion,high_volatility,down_or_flat_momentum,3,binance|ibkr|yahoo,3,BTCUSDT|ES|SPY,296,0.43243243243243246,-0.00441452070490169,-1.3066981286509,0.608898745358333
order_block_retest_continuation_v1,trend_expansion->high_volatility->down_or_flat_momentum->order_block_retest_continuation,trend_expansion,high_volatility,down_or_flat_momentum,3,binance|ibkr|yahoo,3,BTCUSDT|ES|SPY,282,0.4645390070921986,-0.0019980710594577336,-0.563456038767081,0.8032628943061607
order_block_retest_continuation_v1,trend_expansion->high_volatility->up_momentum->order_block_retest_continuation,trend_expansion,high_volatility,up_momentum,3,binance|ibkr|yahoo,3,BTCUSDT|ES|SPY,230,0.47391304347826085,-0.00023471718284250978,-0.05398495205377725,0.9670669694433318
ob_fvg_confluence_continuation_v1,trend_expansion->high_volatility->up_momentum->ob_fvg_confluence_continuation,trend_expansion,high_volatility,up_momentum,3,binance|ibkr|yahoo,3,BTCUSDT|ES|SPY,228,0.47368421052631576,-0.000919412217256245,-0.20962598553442385,0.8827820518222076
fvg_ob_pullback_resume_v1,range_or_de_risk->high_volatility->down_or_flat_momentum->fvg_ob_pullback_resume,range_or_de_risk,high_volatility,down_or_flat_momentum,3,binance|ibkr|yahoo,3,BTCUSDT|ES|SPY,203,0.5024630541871922,0.0011302708449779037,0.22944498153051446,1.205430742367261
fvg_ob_pullback_resume_v1,range_or_de_risk->high_volatility->up_momentum->fvg_ob_pullback_resume,range_or_de_risk,high_volatility,up_momentum,3,binance|ibkr|yahoo,3,BTCUSDT|ES|SPY,199,0.5025125628140703,-0.0018544463107346132,-0.369034815836188,0.7179558341693415
ob_fvg_confluence_continuation_v1,range_or_de_risk->high_volatility->up_momentum->ob_fvg_confluence_continuation,range_or_de_risk,high_volatility,up_momentum,3,binance|ibkr|yahoo,3,BTCUSDT|ES|SPY,179,0.5027932960893855,0.000502725707511768,0.08998790164460649,1.0936274909992427
ob_fvg_confluence_continuation_v1,range_or_de_risk->high_volatility->down_or_flat_momentum->ob_fvg_confluence_continuation,range_or_de_risk,high_volatility,down_or_flat_momentum,3,binance|ibkr|yahoo,3,BTCUSDT|ES|SPY,169,0.378698224852071,-0.0012078375796593594,-0.20412455096243176,0.8188480499448008
order_block_retest_continuation_v1,range_or_de_risk->high_volatility->down_or_flat_momentum->order_block_retest_continuation,range_or_de_risk,high_volatility,down_or_flat_momentum,3,binance|ibkr|yahoo,3,BTCUSDT|ES|SPY,166,0.4036144578313253,-0.0002013588676817468,-0.03342557203516997,0.9711433679304845
order_block_retest_continuation_v1,range_or_de_risk->high_volatility->up_momentum->order_block_retest_continuation,range_or_de_risk,high_volatility,up_momentum,3,binance|ibkr|yahoo,3,BTCUSDT|ES|SPY,163,0.5214723926380368,0.0009397775306330013,0.1531837374931792,1.1730883568687538
fvg_retrace_continuation_v1,insufficient_context->unknown_volatility->unknown_momentum->fvg_retrace_continuation,insufficient_context,unknown_volatility,unknown_momentum,3,binance|ibkr|yahoo,3,BTCUSDT|ES|SPY,37,0.5675675675675675,0.001480270332005451,0.05477000228420169,1.4011069349364362
fvg_ob_pullback_resume_v1,insufficient_context->unknown_volatility->unknown_momentum->fvg_ob_pullback_resume,insufficient_context,unknown_volatility,unknown_momentum,3,binance|ibkr|yahoo,3,BTCUSDT|ES|SPY,15,0.6,0.0027321845995505736,0.0409827689932586,1.5594189160452272
