family,provider,symbol,branch_path,fold,trade_count,win_rate,avg_net_return,profit_factor,start_time,end_time
fvg_ob_pullback_resume_v1,binance,BTCUSDT,insufficient_context->unknown_volatility->unknown_momentum->fvg_ob_pullback_resume,1,2,1.0,0.017238615381838265,inf,2017-08-19 20:00:00+00:00,2017-08-20 04:00:00+00:00
fvg_ob_pullback_resume_v1,binance,BTCUSDT,insufficient_context->unknown_volatility->unknown_momentum->fvg_ob_pullback_resume,2,2,0.5,-0.00856178469545502,0.1040996851704923,2017-08-20 21:00:00+00:00,2017-08-21 08:00:00+00:00
fvg_ob_pullback_resume_v1,binance,BTCUSDT,insufficient_context->unknown_volatility->unknown_momentum->fvg_ob_pullback_resume,3,1,1.0,0.06284434681601117,inf,2017-08-21 13:00:00+00:00,2017-08-21 13:00:00+00:00
fvg_ob_pullback_resume_v1,binance,BTCUSDT,range_or_de_risk->high_volatility->down_or_flat_momentum->fvg_ob_pullback_resume,1,31,0.45161290322580644,0.0007240298541616106,1.0844165819664424,2017-08-22 09:00:00+00:00,2020-08-02 04:00:00+00:00
fvg_ob_pullback_resume_v1,binance,BTCUSDT,range_or_de_risk->high_volatility->down_or_flat_momentum->fvg_ob_pullback_resume,2,31,0.6129032258064516,0.0038975977323761316,1.457989433090452,2020-11-19 03:00:00+00:00,2023-02-20 03:00:00+00:00
fvg_ob_pullback_resume_v1,binance,BTCUSDT,range_or_de_risk->high_volatility->down_or_flat_momentum->fvg_ob_pullback_resume,3,31,0.5483870967741935,0.0028185879182355787,1.7418799079208231,2023-02-28 01:00:00+00:00,2025-01-20 17:00:00+00:00
fvg_ob_pullback_resume_v1,binance,BTCUSDT,range_or_de_risk->high_volatility->down_or_flat_momentum->fvg_ob_pullback_resume,4,29,0.5172413793103449,0.002133287259681507,1.4562483331229468,2025-02-19 00:00:00+00:00,2026-05-11 03:00:00+00:00
fvg_ob_pullback_resume_v1,binance,BTCUSDT,range_or_de_risk->high_volatility->up_momentum->fvg_ob_pullback_resume,1,31,0.41935483870967744,-0.007083443230777581,0.4795604468496023,2017-09-28 14:00:00+00:00,2021-01-05 09:00:00+00:00
fvg_ob_pullback_resume_v1,binance,BTCUSDT,range_or_de_risk->high_volatility->up_momentum->fvg_ob_pullback_resume,2,31,0.5483870967741935,-0.00018490654272715118,0.9814038058586915,2021-01-08 21:00:00+00:00,2023-08-01 20:00:00+00:00
fvg_ob_pullback_resume_v1,binance,BTCUSDT,range_or_de_risk->high_volatility->up_momentum->fvg_ob_pullback_resume,3,31,0.45161290322580644,-0.0030318834538593203,0.5682297149615072,2023-10-13 22:00:00+00:00,2025-01-20 12:00:00+00:00
fvg_ob_pullback_resume_v1,binance,BTCUSDT,range_or_de_risk->high_volatility->up_momentum->fvg_ob_pullback_resume,4,31,0.5161290322580645,0.0003359390252127098,1.1032331493202383,2025-01-20 15:00:00+00:00,2026-05-11 11:00:00+00:00
fvg_ob_pullback_resume_v1,binance,BTCUSDT,range_or_de_risk->normal_volatility->down_or_flat_momentum->fvg_ob_pullback_resume,1,110,0.5272727272727272,0.004714481562995708,1.5896321713738149,2017-09-11 21:00:00+00:00,2020-03-03 13:00:00+00:00
fvg_ob_pullback_resume_v1,binance,BTCUSDT,range_or_de_risk->normal_volatility->down_or_flat_momentum->fvg_ob_pullback_resume,2,110,0.4727272727272727,-0.001282077482493652,0.8830142804430264,2020-03-03 15:00:00+00:00,2022-03-06 13:00:00+00:00
fvg_ob_pullback_resume_v1,binance,BTCUSDT,range_or_de_risk->normal_volatility->down_or_flat_momentum->fvg_ob_pullback_resume,3,110,0.5636363636363636,0.0012989288559393586,1.2067814764265596,2022-03-06 16:00:00+00:00,2024-03-29 13:00:00+00:00
fvg_ob_pullback_resume_v1,binance,BTCUSDT,range_or_de_risk->normal_volatility->down_or_flat_momentum->fvg_ob_pullback_resume,4,107,0.3925233644859813,-0.004565695715915215,0.5033783224126429,2024-04-19 03:00:00+00:00,2026-05-08 14:00:00+00:00
fvg_ob_pullback_resume_v1,binance,BTCUSDT,range_or_de_risk->normal_volatility->up_momentum->fvg_ob_pullback_resume,1,111,0.4774774774774775,0.001572916620282471,1.1547861188855995,2017-09-08 00:00:00+00:00,2020-01-02 00:00:00+00:00
fvg_ob_pullback_resume_v1,binance,BTCUSDT,range_or_de_risk->normal_volatility->up_momentum->fvg_ob_pullback_resume,2,111,0.4774774774774775,-0.0014408220296808732,0.8384647696312733,2020-01-13 04:00:00+00:00,2022-04-15 14:00:00+00:00
fvg_ob_pullback_resume_v1,binance,BTCUSDT,range_or_de_risk->normal_volatility->up_momentum->fvg_ob_pullback_resume,3,111,0.45045045045045046,-0.0007433575112427996,0.8533540212770432,2022-05-02 18:00:00+00:00,2024-07-11 18:00:00+00:00
fvg_ob_pullback_resume_v1,binance,BTCUSDT,range_or_de_risk->normal_volatility->up_momentum->fvg_ob_pullback_resume,4,109,0.5045871559633027,-0.002018307231563916,0.7311963047679916,2024-07-21 08:00:00+00:00,2026-05-03 09:00:00+00:00
fvg_ob_pullback_resume_v1,binance,BTCUSDT,trend_expansion->high_volatility->down_or_flat_momentum->fvg_ob_pullback_resume,1,68,0.4411764705882353,-0.008168589055151032,0.6328759920097302,2017-09-02 16:00:00+00:00,2019-11-25 09:00:00+00:00
fvg_ob_pullback_resume_v1,binance,BTCUSDT,trend_expansion->high_volatility->down_or_flat_momentum->fvg_ob_pullback_resume,2,68,0.4117647058823529,-0.005655879682533312,0.5808165439889357,2019-12-05 17:00:00+00:00,2022-05-27 22:00:00+00:00
fvg_ob_pullback_resume_v1,binance,BTCUSDT,trend_expansion->high_volatility->down_or_flat_momentum->fvg_ob_pullback_resume,3,68,0.35294117647058826,-0.00016875179846808201,0.978376648286233,2022-06-15 12:00:00+00:00,2024-12-02 18:00:00+00:00
fvg_ob_pullback_resume_v1,binance,BTCUSDT,trend_expansion->high_volatility->down_or_flat_momentum->fvg_ob_pullback_resume,4,68,0.47058823529411764,-5.634850741754117e-05,0.9925533747775134,2024-12-03 02:00:00+00:00,2026-04-30 07:00:00+00:00
fvg_ob_pullback_resume_v1,binance,BTCUSDT,trend_expansion->high_volatility->up_momentum->fvg_ob_pullback_resume,1,70,0.5714285714285714,0.002983431437045921,1.2154089956772625,2017-09-30 09:00:00+00:00,2020-01-27 23:00:00+00:00
