split_key,split_value,rows,start_trade_date,end_trade_date,wilson95_lcb,support_gate,confidence_gate
chronological,train,37,2008-08-29,2013-12-10,0.9059390425448562,False,False
chronological,calibration,18,2013-12-16,2017-09-18,0.8241154494176252,False,False
chronological,test,18,2017-10-05,2020-03-11,0.8241154494176252,False,False
symbol,E-mini S&P 500 futures,9,,,0.7008472464490406,False,False
symbol,December-delivery Gold Futures,7,,,0.6456611570247934,False,False
symbol,COMEX Gold Futures,6,,,0.6096569663469354,False,False
symbol,CBOT soybean futures,4,,,0.5100999795960008,False,False
symbol,March 2018 Crude Oil futures,4,,,0.5100999795960008,False,False
symbol,March 2018 Silver futures,4,,,0.5100999795960008,False,False
symbol,August-delivery Gold Futures,3,,,0.4384939195509822,False,False
symbol,NGH0-NGJ0 natural gas March-April 2020 calendar spread,3,,,0.4384939195509822,False,False
symbol,April 2017 Gold futures,2,,,0.3423719528896193,False,False
symbol,CLM0-CLU0 crude oil June-September 2020 calendar spread,2,,,0.3423719528896193,False,False
symbol,CLM0-CLZ0 crude oil June-December 2020 calendar spread,2,,,0.3423719528896193,False,False
symbol,December 2013 E-mini Dow futures,2,,,0.3423719528896193,False,False
symbol,December 2013 E-mini NASDAQ futures,2,,,0.3423719528896193,False,False
symbol,"Gold Futures contract, June 2013 expiry",2,,,0.3423719528896193,False,False
symbol,LME copper futures / COMEX copper futures cross-market example,2,,,0.3423719528896193,False,False
symbol,COMEX Gold Futures June delivery,1,,,0.20654329147389294,False,False
symbol,COMEX Silver Futures,1,,,0.20654329147389294,False,False
symbol,December 2014 E-mini S&P 500 futures,1,,,0.20654329147389294,False,False
symbol,December 2017 Gold futures,1,,,0.20654329147389294,False,False
symbol,December 2017 Silver futures,1,,,0.20654329147389294,False,False
symbol,"Gold Futures contract, April 2014 expiry",1,,,0.20654329147389294,False,False
symbol,"Gold Futures contract, August 2015 expiry",1,,,0.20654329147389294,False,False
symbol,"Gold Futures contract, December 2013 expiry",1,,,0.20654329147389294,False,False
symbol,ICE Brent/WTI crude spread April 2020,1,,,0.20654329147389294,False,False
symbol,March 2014 E-mini S&P 500 futures,1,,,0.20654329147389294,False,False
symbol,March-delivery Silver Futures,1,,,0.20654329147389294,False,False
symbol,"Platinum Futures contract, July 2016 expiry",1,,,0.20654329147389294,False,False
symbol,RBOB gasoline futures,1,,,0.20654329147389294,False,False
symbol,"Silver Futures contract, March 2012 expiry",1,,,0.20654329147389294,False,False
symbol,"Silver Futures contract, March 2013 expiry",1,,,0.20654329147389294,False,False
symbol,"Silver Futures contract, March 2014 expiry",1,,,0.20654329147389294,False,False
symbol,"Silver Futures contract, May 2014 expiry",1,,,0.20654329147389294,False,False
symbol,Soft Red Winter wheat futures,1,,,0.20654329147389294,False,False
symbol,light sweet crude oil futures,1,,,0.20654329147389294,False,False
venue_or_market_center,COMEX/CME Globex,29,,,0.8830264055344442,False,False
venue_or_market_center,CME Globex,9,,,0.7008472464490406,False,False
venue_or_market_center,COMEX,8,,,0.6755843804891231,False,False
venue_or_market_center,NYMEX/CME Globex,8,,,0.6755843804891231,False,False
venue_or_market_center,CBOT/CME Globex,4,,,0.5100999795960008,False,False
venue_or_market_center,CME,4,,,0.5100999795960008,False,False
venue_or_market_center,CME Group registered futures market (source order),3,,,0.4384939195509822,False,False
venue_or_market_center,US futures exchange / CFTC complaint,3,,,0.4384939195509822,False,False
venue_or_market_center,CBOT,2,,,0.3423719528896193,False,False
venue_or_market_center,LME and COMEX,2,,,0.3423719528896193,False,False
venue_or_market_center,IFEU electronic market,1,,,0.20654329147389294,False,False
