provider,symbol,period_bucket,trades,wins,losses,win_rate,win_rate_wilson95_lcb,mean_net_return,sum_net_return,return_profit_factor,max_drawdown_compounded
binance_public,BTCUSDT,2018_2020,1783,1003,780,0.5625350532809871,0.5393985385190463,0.0027279046792003376,4.863854043014202,1.2596586520921105,-0.877048883771207
binance_public,BTCUSDT,2021_2022,1455,790,665,0.5429553264604811,0.5172788693484955,0.0018087097063558997,2.631672622747834,1.1794697194872132,-0.67222279835401
binance_public,BTCUSDT,2023_2024,248,132,116,0.532258064516129,0.47013907934857485,0.0012201059912963648,0.3025862858414985,1.1865811868047567,-0.2792442045110707
binance_public,BTCUSDT,2025_plus,201,105,96,0.5223880597014925,0.4535629523394575,-0.0006997849915076524,-0.14065678329303813,0.9183764240342227,-0.4427630877045976
binance_public,BTCUSDT,pre_2018,577,335,242,0.5805892547660312,0.5399215707934997,0.007462151084978632,4.305661176032671,1.5687829976572114,-0.555478782208648
bybit_public,BTCUSDT_LINEAR,2025_plus,13,8,5,0.6153846153846154,0.3552248097226855,0.0034124760111827698,0.04436218814537601,3.2159072736286163,-0.015498207903022365
ibkr,SPY,2021_2022,708,352,356,0.4971751412429379,0.46045983042168415,0.0006713108103204109,0.4752880537068509,1.1817916376949862,-0.26896650958490065
ibkr,SPY,2023_2024,133,73,60,0.5488721804511278,0.46411454637824046,0.002173470518336148,0.2890715789387077,2.078972105760044,-0.07202400684286514
ibkr,SPY,2025_plus,305,152,153,0.49836065573770494,0.4426167960821532,-0.000874303649226226,-0.26666261301399896,0.8423451009782331,-0.49015144451732784
kraken_public,PF_SPXUSD,2025_plus,92,42,50,0.45652173913043476,0.35852497382933834,-0.004099030761855856,-0.37711083009073876,0.890053675127482,-0.6975074463066813
kraken_public,PF_XBTUSD,2021_2022,115,55,60,0.4782608695652174,0.3891495516207793,-0.0026905619906547685,-0.30941462892529836,0.8049314650875383,-0.5257719442722704
yfinance,ES=F,2023_2024,120,60,60,0.5,0.411937137430229,-0.0004046316775620568,-0.048555801307446814,0.8700426222679376,-0.19620613667754017
yfinance,ES=F,2025_plus,506,260,246,0.5138339920948617,0.4703443749283543,-0.0003991515974686925,-0.20197070831915842,0.8934152427798664,-0.4759196704510472
