strategy,provider,symbol,branch_path,trades,win_rate,avg_return,total_return_units,profit_factor
trend_pullback_resume_v1,ALL,ALL,ALL,2924,0.5082079343365253,-0.0001741135801513302,-0.5091081083624895,0.9723047030453227
trend_pullback_resume_v1,binance,BTCUSDT,ALL,2087,0.505510301868711,-9.057440739443612e-05,-0.18902878823218816,0.9880160867260985
trend_pullback_resume_v1,ibkr,SPY,ALL,531,0.512241054613936,-0.000500513482113139,-0.2657726590020768,0.8508697152787493
trend_pullback_resume_v1,yahoo,ES,ALL,306,0.5196078431372549,-0.00017747274878504764,-0.054306661128224576,0.9343154581187841
trend_pullback_resume_v1,ALL,ALL,range_or_de_risk->high_volatility->down_or_flat_momentum->trend_pullback_resume,430,0.4325581395348837,-0.002576286091782037,-1.1078030194662758,0.7483677936757183
trend_pullback_resume_v1,ALL,ALL,range_or_de_risk->high_volatility->up_momentum->trend_pullback_resume,135,0.4740740740740741,0.0010148986421866383,0.13701131669519617,1.1533099005823206
trend_pullback_resume_v1,ALL,ALL,range_or_de_risk->normal_volatility->down_or_flat_momentum->trend_pullback_resume,480,0.4666666666666667,-0.0018931553885033982,-0.9087145864816312,0.7294779146567505
trend_pullback_resume_v1,ALL,ALL,range_or_de_risk->normal_volatility->up_momentum->trend_pullback_resume,247,0.5182186234817814,0.001107187442131466,0.2734752982064721,1.2224027915509197
trend_pullback_resume_v1,ALL,ALL,trend_expansion->high_volatility->down_or_flat_momentum->trend_pullback_resume,83,0.5542168674698795,0.0006525745816194328,0.05416369027441292,1.0763331284100892
trend_pullback_resume_v1,ALL,ALL,trend_expansion->high_volatility->up_momentum->trend_pullback_resume,268,0.5373134328358209,0.0007580460768701013,0.20315634860118714,1.1025017291059611
trend_pullback_resume_v1,ALL,ALL,trend_expansion->normal_volatility->down_or_flat_momentum->trend_pullback_resume,384,0.6041666666666666,0.0015056034211132481,0.5781517137074873,1.3558460293603907
trend_pullback_resume_v1,ALL,ALL,trend_expansion->normal_volatility->up_momentum->trend_pullback_resume,897,0.5150501672240803,0.0002914728317733132,0.2614511301006619,1.0625288276333087
volatility_breakout_follow_v1,ALL,ALL,ALL,1452,0.4903581267217631,0.0002503541902716253,0.3635142842743999,1.0292096526141392
volatility_breakout_follow_v1,binance,BTCUSDT,ALL,956,0.4905857740585774,0.0006846128131301132,0.6544898493523882,1.0634088972019695
volatility_breakout_follow_v1,ibkr,SPY,ALL,318,0.48742138364779874,-0.0007291748517395428,-0.2318776028531746,0.8408979246214972
volatility_breakout_follow_v1,yahoo,ES,ALL,178,0.4943820224719101,-0.00033201102373490825,-0.05909796222481367,0.9112451407444884
volatility_breakout_follow_v1,ALL,ALL,range_or_de_risk->high_volatility->down_or_flat_momentum->volatility_breakout_follow,411,0.4793187347931874,6.513748374178594e-05,0.02677150581787402,1.0063606190920025
volatility_breakout_follow_v1,ALL,ALL,range_or_de_risk->high_volatility->up_momentum->volatility_breakout_follow,389,0.506426735218509,7.296469668006395e-05,0.028383267008544877,1.0089783291406804
volatility_breakout_follow_v1,ALL,ALL,trend_expansion->high_volatility->down_or_flat_momentum->volatility_breakout_follow,304,0.4473684210526316,-0.0017931139982780397,-0.545106655476524,0.7788628139199945
volatility_breakout_follow_v1,ALL,ALL,trend_expansion->high_volatility->up_momentum->volatility_breakout_follow,348,0.5229885057471264,0.0024524889854152443,0.853466166924505,1.3270317756098415
range_z_reversion_v1,ALL,ALL,ALL,5012,0.5195530726256983,-0.0007798151274537474,-3.908433418798182,0.8889209386828987
range_z_reversion_v1,binance,BTCUSDT,ALL,3419,0.5255922784439895,-0.0012900371389185888,-4.410636977962655,0.8562848419140385
range_z_reversion_v1,ibkr,SPY,ALL,1036,0.4942084942084942,0.00023435514039460266,0.24279192544880834,1.0764237647054764
range_z_reversion_v1,yahoo,ES,ALL,557,0.5296229802513465,0.00046573004257749413,0.2594116337156642,1.1966725290698719
range_z_reversion_v1,ALL,ALL,range_or_de_risk->high_volatility->down_or_flat_momentum->range_z_reversion,503,0.5228628230616302,-0.000797486055734903,-0.4011354860346562,0.9164185741543925
range_z_reversion_v1,ALL,ALL,range_or_de_risk->high_volatility->up_momentum->range_z_reversion,331,0.5015105740181269,-0.0004352505972413552,-0.14406794768688858,0.9393745156191993
range_z_reversion_v1,ALL,ALL,range_or_de_risk->normal_volatility->down_or_flat_momentum->range_z_reversion,645,0.524031007751938,-0.0006723848521622081,-0.4336882296446243,0.915406459309189
range_z_reversion_v1,ALL,ALL,range_or_de_risk->normal_volatility->up_momentum->range_z_reversion,702,0.5,-0.0010678274248669404,-0.7496148522565921,0.8417971959593045
range_z_reversion_v1,ALL,ALL,trend_expansion->high_volatility->down_or_flat_momentum->range_z_reversion,312,0.5352564102564102,0.0012842697686540445,0.4006921678200619,1.185872296987743
range_z_reversion_v1,ALL,ALL,trend_expansion->high_volatility->up_momentum->range_z_reversion,379,0.525065963060686,-0.001199487956323419,-0.4546059354465758,0.8530272036843005
range_z_reversion_v1,ALL,ALL,trend_expansion->normal_volatility->down_or_flat_momentum->range_z_reversion,825,0.5527272727272727,4.656170993595068e-05,0.03841341069715931,1.0082081290213414
range_z_reversion_v1,ALL,ALL,trend_expansion->normal_volatility->up_momentum->range_z_reversion,1315,0.5049429657794677,-0.0016459517461947272,-2.1644265462460663,0.7365761021032619
