label,rule_id,rule,calibration_support,calibration_label_hits,calibration_precision,calibration_wilson95_lcb,heldout_market_support,heldout_market_label_hits,heldout_market_precision,heldout_market_wilson95_lcb,heldout_time_support,heldout_time_label_hits,heldout_time_precision,heldout_time_wilson95_lcb,test_support,test_label_hits,test_precision,test_wilson95_lcb,accepted_single_atom_confidence_95,blockers,min_split_support,min_split_wilson95_lcb
Bear,vix_ge_29.98999977,vix >= 29.98999977,14935,6657,0.4457315032,0.4377749307,2496,1477,0.5917467949,0.5723378268,4900,2184,0.4457142857,0.4318452125,455,214,0.4703296703,0.4249084736,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,455,0.4249084736
Bear,vix_ge_26.60000038,vix >= 26.60000038,22354,9240,0.4133488414,0.4069089318,3924,2174,0.5540265036,0.5384285688,8855,3736,0.4219085263,0.4116582151,700,345,0.4928571429,0.4559612558,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,700,0.4069089318
Bear,vix_ge_44.52999878,vix >= 44.52999878,3008,1800,0.5984042553,0.580770804,480,326,0.6791666667,0.6361264506,805,373,0.4633540373,0.4291626049,105,52,0.4952380952,0.4014766826,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,105,0.4014766826
Bear,vix_ge_24.78000069,vix >= 24.78000069,29814,11790,0.3954518012,0.389915519,5224,2759,0.5281393568,0.5145864758,11620,4682,0.4029259897,0.3940413989,1050,514,0.4895238095,0.4593808702,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,1050,0.389915519
Bear,vix_ge_23.25,vix >= 23.25,37253,13958,0.3746812337,0.3697791012,6516,3199,0.4909453653,0.4788160183,14035,5307,0.3781261133,0.3701379596,1680,757,0.4505952381,0.4269427259,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,1680,0.3697791012
Bear,returns_le_-0.06284239557,returns <= -0.06284239557,1490,744,0.4993288591,0.4739754777,52,33,0.6346153846,0.4987167813,446,198,0.4439461883,0.3985087079,177,77,0.4350282486,0.3641396618,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,52,0.3641396618
Bear,returns_le_-0.03190357354,returns <= -0.03190357354,7449,3433,0.4608672305,0.4495706015,463,279,0.6025917927,0.5573487337,2375,1142,0.4808421053,0.4607952095,949,367,0.3867228662,0.3562542865,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,463,0.3562542865
Bear,vix_ge_35.54000092,vix >= 35.54000092,7468,3804,0.5093733262,0.4980333386,1168,713,0.6104452055,0.5821604262,1820,688,0.378021978,0.3560237946,210,102,0.4857142857,0.4189827637,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,210,0.3560237946
Bear,returns_le_-0.04801132328,returns <= -0.04801132328,2980,1435,0.4815436242,0.4636392744,128,84,0.65625,0.5704962778,927,443,0.4778856526,0.4458878702,353,143,0.4050991501,0.3551758708,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,128,0.3551758708
Bear,returns_le_-0.02126173967,returns <= -0.02126173967,14898,6228,0.4180426903,0.4101445403,1329,736,0.5537998495,0.5269573172,4764,2127,0.4464735516,0.4324057273,2160,810,0.375,0.354822544,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,1329,0.354822544
