requirement,status,evidence,blocker
Board B markdown is the active contract,covered,docs/plans/2026-05-10-regime-conditional-auto-quant-profitability-todo.md,
Profitability factors must be rooted in accepted regime-identification roots,blocked,081025/081149/081152/081155/081227/081323/081522/081705 assertion files all remain no-unlock or not-complete,valid_required_root_unlock=false; source_control_evidence_acquired=false
Preserve branch path main_regime -> sub_regime -> sub_sub_regime_or_profit_factor -> profit_factor through filter/Pre-Bayes/BBN/CatBoost/execution tree,partial_fail_closed,"Prior branch artifacts exist, but latest source/control gates forbid canonical merge and downstream rerun",canonical_merge=false; downstream_promotion_rerun=false
"Operate AutoQuant and ict-engine through filter/Pre-Bayes, BBN, CatBoost/path-ranking, and execution tree on real artifacts",partial_fail_closed,Prior real-chain readbacks exist; selected-data AutoQuant promotion remains false in latest gates,selected_data_autoquant_promotion=false and downstream_promotion_rerun=false
"Use IBKR, TradingViewRemix, yfinance, and Kraken visibly",partial_non_promoting,Prior provider/runtime readbacks cover provider surfaces diagnostically,provider diagnostics are not accepted source/control evidence
Continue source/control acquisition without promoting proxies,covered_fail_closed,"Latest CourtListener/RECAP probes 081323, 081522, 081705 are counted as fail-closed",
Do not disturb concurrent multi-agent board work,covered,Audit is an additive run root; board markers are checked before mirroring,
Require exactly one explicit user-selected historical path HTF/MTF/LTF before selected-data factor research,blocked,No explicit user-selected history marker found in current Board B text,user_selected_historical_data_missing
Do not run selected-data AutoQuant or downstream promotion before both gates pass,blocked,Latest assertion files report selected_data_autoquant_promotion=false and downstream_promotion_rerun=false,source/control unlock and selected-history gates are both unsatisfied
Do not call update_goal before the objective is actually complete,blocked,Latest assertion files report strict_full_objective=false and update_goal=false,objective incomplete
