search_term,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
stock market regimes,mafaqbhatti/stock-market-regimes-20002026,Stock Market Regimes (2000–2026),14239487,2026-02-01 02:25:29.437000,223,45,1.0
stock market regimes,bsthere/volkswagen-stock-data-1995-2026,Volkswagen Stock Data (1995-2026),552824,2026-02-27 13:09:55.527000,211,28,1.0
stock market regimes,ibrahimshahrukh/nvidia-daily-stock-prices-20162026-dataset,NVIDIA Daily Stock Prices (2016–2026) Dataset,104879,2026-02-01 01:44:02,749,53,1.0
stock market regimes,kanchana1990/tech-giants-and-global-macroeconomic-indicators,Tech Giants & Global Macroeconomic Indicators,878030,2026-03-12 05:32:05.367000,182,32,1.0
stock market regimes,kanchana1990/algorithmic-trading-macro-stress-and-asset-regimes,Algorithmic Trading: Macro Stress & Asset Regimes,382546,2026-02-25 04:11:37.147000,356,35,1.0
stock market regimes,hassanjameelahmed/aramco-stock-2019-2025,Aramco-Stock-2019-2025,33045,2026-02-14 05:38:30.307000,49,11,1.0
stock market regimes,baidalinadilzhan/advanced-stock-dataset,Advanced-stock-dataset,170020797,2025-12-26 15:02:45,178,24,0.7647059
stock market regimes,yanmaksi/btcbusd-1m-2023-09-csv,💹 NEW BITCOIN DataSet for the 2023!,30635117,2023-10-03 09:10:56.837000,505,10,1.0
market regime labels,kanchana1990/world-bank-commodity-price-intelligence-19602026,World Bank Commodity Price Intelligence 1960–2026,2231883,2026-03-16 11:22:36.463000,552,44,1.0
market regime labels,kanchana1990/bis-global-debt-securities-intelligence-19622025,BIS Global Debt Securities Intelligence 1962–2025,28925723,2026-03-18 19:20:43.603000,182,31,1.0
market regime labels,ahaanverma00/nifty-500-market-and-behavior-regime-dataset,NIFTY 500 Market & Behavior Regime Dataset,1655332,2026-04-15 15:25:28.867000,10,1,0.7647059
market regime labels,sergionefedov/crypto-microstructure,"Crypto Microstructure 10 assets, 3 years ",973212,2026-03-17 15:13:07,30,3,0.9411765
market regime labels,nickdatak/us-market-regimes-dataset-1995-2024,US Market Regimes Dataset (1995-2024),163252,2026-01-23 12:42:22,29,1,1.0
market regime labels,vnthanhphm/14-year-bitcoin-alpha-microstructure-teaser,14-Year Bitcoin Alpha: Microstructure Teaser,55122,2026-01-30 09:17:34.477000,0,1,0.88235295
market regime labels,marketsignal/marketsignal-ai-feature-feed-mag-7-stocks,MarketSignal AI Feature Feed - Mag 7 Stocks,66237,2026-03-15 18:27:31,7,1,0.8235294
market regime labels,sergionefedov/global-stock-market-returns-by-sector-20002024,Global Stock Market Returns by Sector (2000–2024),1596338,2026-03-15 21:28:53.857000,33,1,0.9411765
stock market manipulation,swaptr/adani-stocks,Adani Stocks Dataset,876538,2026-05-10 02:52:23.647000,2419,45,0.88235295
stock market manipulation,adilshamim8/amazon-stock-price-history,AMAZON STOCK PRICE HISTORY,162705,2026-01-29 14:02:36.323000,1722,33,1.0
stock market manipulation,pinuto/energy-crisis-and-stock-price-dataset-2021-2024,⚡ Energy Crisis and Stock Price Dataset: 2021-2024,81518,2024-11-20 14:51:59.743000,1578,42,1.0
stock market manipulation,muhammadroshaanriaz/e-commerce-trends-a-guide-to-leveraging-dataset,Exploring E-commerce Trends⭐️⭐️⭐️,51169,2024-07-08 17:19:42.197000,4600,70,1.0
stock market manipulation,ahsanneural/pakistan-stock-exchange-complete-database-2020-26,Pakistan Stock Exchange Complete Database 2020-26,24438137,2026-02-14 00:16:00,215,18,1.0
stock market manipulation,thedevastator/high-tech-companies-on-nasdaq,High-Tech Companies on NASDAQ,392448,2023-02-11 12:09:00,889,33,0.9411765
stock market manipulation,sarthak108/hdfc-data-2016-2023,HDFC stock data from 2016 till 2023 Feb,56714,2023-08-08 09:54:13.813000,206,6,0.9411765
stock market manipulation,harigoshika/google-stock-price-prediction-2024-to-2030,Google stock price prediction (2024 to 2030),118590,2024-08-24 09:37:20,133,3,0.625
