requirement,evidence,status
named_board_live_contract,board_hash_0936e81615ef4d540737d1f07167dd59c7c32c34b4d24f576125941378390fb2,pass
concurrent_board_safe,current_cursor_not_edited_additive_packet_only,pass
owner_export_root_present,direct_verifier_exit_2_missing_required_files,blocked
required_source_roots_present,r6_owner_export_r3_native_subhour_r5_recency_extension_missing,blocked
local_triplets_promoted,local_triplets_remain_non_promoting_diagnostics,pass
provider_layer_operated,provider_status_exit_0_partial_readiness_non_promoting,partial
autoquant_layer_operated,auto_quant_status_missing_dependency_bootstrap_needed,blocked
pre_bayes_layer_operated,pre_bayes_exit_0_empty_latest_artifacts,blocked
bbn_policy_training_operated,policy_training_exit_0_matched_rows_0,blocked
catboost_path_ranking_operated,path_ranking_target_export_missing_runtime_disabled,blocked
execution_tree_workflow_operated,workflow_execution_candidate_ready_false_actionable_false_observe,blocked
completion_allowed,strict_full_objective_false_trade_usable_false_update_goal_false,blocked
