requirement,evidence,status
Named board remains authoritative and append-only,board=docs/plans/2026-05-10-actionable-regime-confidence-todo.md sha256=9f912bff1d92fd1dc37dab11ad86d09705518a6d4df1d2c9e58977a1f411cde1; this audit writes a separate run root and does not edit Current Cursor,satisfied
Every active regime has calibrated confidence >=95%,"041410 source labels=[]; 041656 predictive labels=[]; 042448 HistGB labels=[]; per-label HistGB={'Bear': False, 'Bull': False, 'Crisis': False, 'Sideways': False}",blocked
Each accepted regime has its own qualifying condition,"No accepted all-regime confidence packet exists under strict split gates, so no qualifying condition can be accepted.",blocked
Validate accepted regimes on other markets and other periods/timeframes,"R6/R3/R5 target roots present=False; roots={'r6_owner_export': {'path': '/tmp/ict-engine-board-a-r6-owner-export-v1', 'present': False}, 'r3_native_subhour': {'path': '/tmp/ict-engine-native-subhour-source-label-intake', 'present': False}, 'r5_recency_extension': {'path': '/tmp/ict-engine-source-panel-recency-extension', 'present': False}}; HistGB split counts={'calibration': 148976, 'heldout_market': 26236, 'heldout_time': 45384, 'test': 27844}",blocked
"Use provider surfaces including IBKR, TradingViewRemix, yfinance, and Kraken where available",042857 provider_covered=True; provider signals remain diagnostic only.,partial
Operate AutoQuant on real/local artifacts,043027 successful_backtests=None; 043222 success_count=3 failure_count=0; runtime success remains non-promoting without source/control unlock.,partial
Run filter/Pre-Bayes and BBN after source unlock,042857 commands_zero=True; Pre-Bayes latest bridge/policy/soft evidence remains empty in command outputs; source/control roots absent.,blocked
Run CatBoost/path-ranking after source unlock,"042857 policy/CatBoost matched_rows=0 and structural path-ranking export rows=1, mature_rows=0, calibrated_rows=0.",blocked
Run execution-tree/workflow readback after source unlock,"042857 workflow/actionable artifacts remained 0; structural recommendation was observe/bootstrap, not promotion.",blocked
Do not promote proxy/schema/provider/runtime signals,"043436, 043314, 043222, 043027, 042857, and 042448 are all classified as non-promoting diagnostics/readbacks.",satisfied
Only call update_goal when objective is complete,strict_full_objective=false; update_goal=false; missing roots and failed confidence gates remain.,not_complete
