step,owner,artifact_or_field,required,current_status,next_allowed_action
1,CME Group,cme_group_owner_export_request_v4.md,true,ready_not_submitted,operator_submits_request_and_records_ticket_or_export_id
2,Cboe/CFE,cboe_cfe_owner_export_request_v4.md,true,ready_not_submitted,operator_submits_request_and_records_ticket_or_export_id
3,CME Group or Cboe/CFE,licensed_export_reference,true,missing,record_invoice_order_ticket_export_id_or_owner_approval_reference
4,CME Group or Cboe/CFE,raw_file_sha256,true,missing,hash_raw_export_kept_outside_repo
5,CME Group or Cboe/CFE,field_mapping,true,missing,map_owner_columns_to_verifier_native_schema
6,CME Group or Cboe/CFE,normal_control_basis,true,missing,document_why_rows_are_normal_non_manipulation_controls_not_same_exhibit_flip
7,CME Group or Cboe/CFE,license_constraints,true,missing,state_raw_data_commit_policy_default_false
8,R6 owner-export root,positive_spoofing_layering_rows.csv,true,not_allowed_yet,copy_under_shared_lock_only_after_source_control_policy_approval
9,R6 owner-export root,matched_negative_normal_activity_rows.csv,true,missing,place_verifier_native_controls_after_owner_export_arrives
10,R6 owner-export root,provenance_manifest.json,true,missing,write_manifest_after_export_metadata_arrives
11,R6 verifier,direct_manipulation_row_intake_verifier_v1.py,true,blocked_until_files_arrive,run_after_required_files_present
12,downstream chain,split_calibration_provider_autoquant_prebayes_bbn_catboost_execution_tree,true,blocked_until_verifier_passes,rerun_after_canonical_merge_allowed
