candidate_species,label,source_report,source_url,source_section,trade_date,symbol,venue_or_market_center,participant_type_code,participant_identifier,side,earliest_order_received_time,latest_order_received_time,order_count,total_order_quantity,activity_description,matched_negative_group_id,session_bucket,source_row_id,control_status,promotion_status
marking_close_gravy,positive_marking_close_price_impact,"SEC Release No. 34-73369 / IA-3950: Athena Capital Research, LLC",https://www.sec.gov/files/litigation/admin/2014/34-73369.pdf,"Findings paragraphs 29-30, EBAY November 25 2009 example",2009-11-25,EBAY,NASDAQ closing cross,SEC respondent investment adviser / HFT firm,"Athena Capital Research, LLC",sell imbalance-only order,15:50:00.578 America/New_York,15:50:00.578 America/New_York,1,224638 shares,"Sell imbalance-only order placed after first NASDAQ imbalance message; candidate marking-close setup row, not a spoofing row.",sec_athena_20091125_ebay_marking_close,us_equity_closing_auction,sec_athena_20091125_ebay_sell_imbalance_only_155000578,missing_matched_normal_control,candidate_only_not_live_intake
marking_close_gravy,positive_marking_close_price_impact,"SEC Release No. 34-73369 / IA-3950: Athena Capital Research, LLC",https://www.sec.gov/files/litigation/admin/2014/34-73369.pdf,"Findings paragraphs 29-30, EBAY November 25 2009 example",2009-11-25,EBAY,NASDAQ / lit market,SEC respondent investment adviser / HFT firm,"Athena Capital Research, LLC",buy accumulation order,15:50:00.578 America/New_York,15:50:00.578 America/New_York,1,85300 shares; 16000 shares filled almost instantly,Initial accumulation buy order simultaneous with imbalance-only order; part of official EBAY marking-close sequence.,sec_athena_20091125_ebay_marking_close,us_equity_closing_auction,sec_athena_20091125_ebay_initial_buy_accumulation_155000578,missing_matched_normal_control,candidate_only_not_live_intake
marking_close_gravy,positive_marking_close_price_impact,"SEC Release No. 34-73369 / IA-3950: Athena Capital Research, LLC",https://www.sec.gov/files/litigation/admin/2014/34-73369.pdf,"Findings paragraphs 29-30, EBAY November 25 2009 example",2009-11-25,EBAY,NASDAQ / lit markets,SEC respondent investment adviser / HFT firm,"Athena Capital Research, LLC",buy limit-order accumulation,15:50:07.004 America/New_York,15:59:58.112 America/New_York,over 140,64000 shares purchased; source states individual orders between 100 and 5800 shares,"Pre-close limit-order accumulation interval preceding Gravy; aggregate official row, not individual order-level rows.",sec_athena_20091125_ebay_marking_close,us_equity_closing_auction,sec_athena_20091125_ebay_accumulation_interval_155007004_155958112,missing_matched_normal_control,candidate_only_not_live_intake
marking_close_gravy,positive_marking_close_price_impact,"SEC Release No. 34-73369 / IA-3950: Athena Capital Research, LLC",https://www.sec.gov/files/litigation/admin/2014/34-73369.pdf,"Findings paragraphs 29-30, EBAY November 25 2009 example",2009-11-25,EBAY,BATS,SEC respondent investment adviser / HFT firm,"Athena Capital Research, LLC",last-second buy order,15:59:58.355 America/New_York,15:59:58.355 America/New_York,1,11200 shares,Official SEC EBAY Gravy buy-order row in the final two seconds; non-spoofing marking-close candidate.,sec_athena_20091125_ebay_marking_close,us_equity_closing_auction,sec_athena_20091125_ebay_gravy_buy_1_155958355,missing_matched_normal_control,candidate_only_not_live_intake
marking_close_gravy,positive_marking_close_price_impact,"SEC Release No. 34-73369 / IA-3950: Athena Capital Research, LLC",https://www.sec.gov/files/litigation/admin/2014/34-73369.pdf,"Findings paragraphs 29-30, EBAY November 25 2009 example",2009-11-25,EBAY,BATS,SEC respondent investment adviser / HFT firm,"Athena Capital Research, LLC",last-second buy order,15:59:58.503 America/New_York,15:59:58.503 America/New_York,1,22400 shares,Official SEC EBAY Gravy buy-order row in the final two seconds; non-spoofing marking-close candidate.,sec_athena_20091125_ebay_marking_close,us_equity_closing_auction,sec_athena_20091125_ebay_gravy_buy_2_155958503,missing_matched_normal_control,candidate_only_not_live_intake
marking_close_gravy,positive_marking_close_price_impact,"SEC Release No. 34-73369 / IA-3950: Athena Capital Research, LLC",https://www.sec.gov/files/litigation/admin/2014/34-73369.pdf,"Findings paragraphs 29-30, EBAY November 25 2009 example",2009-11-25,EBAY,BATS,SEC respondent investment adviser / HFT firm,"Athena Capital Research, LLC",last-second buy order,15:59:59.403 America/New_York,15:59:59.403 America/New_York,1,33600 shares,Official SEC EBAY Gravy buy-order row in the final two seconds; non-spoofing marking-close candidate.,sec_athena_20091125_ebay_marking_close,us_equity_closing_auction,sec_athena_20091125_ebay_gravy_buy_3_155959403,missing_matched_normal_control,candidate_only_not_live_intake
marking_close_gravy,positive_marking_close_price_impact,"SEC Release No. 34-73369 / IA-3950: Athena Capital Research, LLC",https://www.sec.gov/files/litigation/admin/2014/34-73369.pdf,"Findings paragraphs 29-30, EBAY November 25 2009 example",2009-11-25,EBAY,NASDAQ,SEC respondent investment adviser / HFT firm,"Athena Capital Research, LLC",last-second buy order,15:59:59.705 America/New_York,15:59:59.705 America/New_York,1,5600 shares,Official SEC EBAY Gravy buy-order row in the final two seconds; non-spoofing marking-close candidate.,sec_athena_20091125_ebay_marking_close,us_equity_closing_auction,sec_athena_20091125_ebay_gravy_buy_4_155959705,missing_matched_normal_control,candidate_only_not_live_intake
marking_close_gravy,positive_marking_close_price_impact,"SEC Release No. 34-73369 / IA-3950: Athena Capital Research, LLC",https://www.sec.gov/files/litigation/admin/2014/34-73369.pdf,"Findings paragraphs 29-30, EBAY November 25 2009 example",2009-11-25,EBAY,BATS,SEC respondent investment adviser / HFT firm,"Athena Capital Research, LLC",last-second buy order,15:59:59.870 America/New_York,15:59:59.870 America/New_York,1,28000 shares,Official SEC EBAY Gravy buy-order row in the final two seconds; non-spoofing marking-close candidate.,sec_athena_20091125_ebay_marking_close,us_equity_closing_auction,sec_athena_20091125_ebay_gravy_buy_5_155959870,missing_matched_normal_control,candidate_only_not_live_intake
marking_close_gravy,positive_marking_close_price_impact,"SEC Release No. 34-73369 / IA-3950: Athena Capital Research, LLC",https://www.sec.gov/files/litigation/admin/2014/34-73369.pdf,"Findings paragraphs 29-30, EBAY November 25 2009 example",2009-11-25,EBAY,NASDAQ,SEC respondent investment adviser / HFT firm,"Athena Capital Research, LLC",last-second buy order,15:59:59.950 America/New_York,15:59:59.950 America/New_York,1,11200 shares,Official SEC EBAY Gravy buy-order row in the final two seconds; non-spoofing marking-close candidate.,sec_athena_20091125_ebay_marking_close,us_equity_closing_auction,sec_athena_20091125_ebay_gravy_buy_6_155959950,missing_matched_normal_control,candidate_only_not_live_intake
marking_close_gravy,positive_marking_close_price_impact,"SEC Release No. 34-73369 / IA-3950: Athena Capital Research, LLC",https://www.sec.gov/files/litigation/admin/2014/34-73369.pdf,"Findings paragraphs 29-30, EBAY November 25 2009 example",2009-11-25,EBAY,NASDAQ closing cross,SEC respondent investment adviser / HFT firm,"Athena Capital Research, LLC",closing cross sell fill,16:00:03.348 America/New_York,16:00:03.348 America/New_York,closing auction outcome,233979 shares,"Closing cross outcome row for the EBAY sequence; candidate effect row, not an accepted control or classifier row.",sec_athena_20091125_ebay_marking_close,us_equity_closing_auction,sec_athena_20091125_ebay_closing_cross_fill_160003348,missing_matched_normal_control,candidate_only_not_live_intake
