source_symbol_role,symbol,candidate_id,branch_path,period_bucket,trades,wins,losses,win_rate,win_rate_wilson95_lcb,mean_net_return,sum_net_return,return_profit_factor,max_drawdown_compounded
primary_esnq,ES,HourlyTrendPullbackContinuationV1,Bear -> TrendContinuation -> HourlyPullbackReentry -> HourlyTrendPullbackContinuationV1,2018_2020,119,9,110,0.07563025210084033,0.04029678443426153,-0.00026255630964843314,-0.031244200848163546,0.5039108943432282,-0.05636396085181672
primary_esnq,ES,HourlyTrendPullbackContinuationV1,Bear -> TrendContinuation -> HourlyPullbackReentry -> HourlyTrendPullbackContinuationV1,2021_2022,25,13,12,0.52,0.3349821795314731,0.000853871485845881,0.021346787146147024,1.5726573283190493,-0.02353816351879834
primary_esnq,ES,HourlyTrendPullbackContinuationV1,Bear -> TrendContinuation -> HourlyPullbackReentry -> HourlyTrendPullbackContinuationV1,2023_2024,115,52,63,0.45217391304347826,0.36422244366457945,0.00012231051628683643,0.014065709372986188,1.0433567986702543,-0.152151098141739
primary_esnq,ES,HourlyTrendPullbackContinuationV1,Bear -> TrendContinuation -> HourlyPullbackReentry -> HourlyTrendPullbackContinuationV1,pre_2018,540,217,323,0.40185185185185185,0.3613336273052525,-0.0003979736652130004,-0.21490577921502022,0.727781742637354,-0.22285118685634586
primary_esnq,ES,HourlyTrendPullbackContinuationV1,Bull -> TrendContinuation -> HourlyPullbackReentry -> HourlyTrendPullbackContinuationV1,2018_2020,203,33,170,0.1625615763546798,0.11815650006559465,-0.00023519987217997772,-0.047745574052535475,0.5514918520359532,-0.04671163528313038
primary_esnq,ES,HourlyTrendPullbackContinuationV1,Bull -> TrendContinuation -> HourlyPullbackReentry -> HourlyTrendPullbackContinuationV1,2021_2022,187,100,87,0.5347593582887701,0.463288095965915,-3.405319303757458e-05,-0.006367947098026447,0.9786218286305804,-0.08933830148260036
primary_esnq,ES,HourlyTrendPullbackContinuationV1,Bull -> TrendContinuation -> HourlyPullbackReentry -> HourlyTrendPullbackContinuationV1,2023_2024,610,302,308,0.49508196721311476,0.4555599633933868,7.099203574479313e-05,0.04330514180432381,1.0504782687858008,-0.14148105673866462
primary_esnq,ES,HourlyTrendPullbackContinuationV1,Bull -> TrendContinuation -> HourlyPullbackReentry -> HourlyTrendPullbackContinuationV1,pre_2018,1142,496,646,0.4343257443082312,0.40584489216868586,-8.263884722249725e-05,-0.09437356352809187,0.8964330041806798,-0.11231343813230044
primary_esnq,ES,RangeBandMeanReversionV1,Sideways -> RangeMeanReversion -> BandStretchFade -> RangeBandMeanReversionV1,2018_2020,148,17,131,0.11486486486486487,0.0729636304472414,-0.00032843092637864567,-0.04860777710403956,0.22005520214017849,-0.048884288849290414
primary_esnq,ES,RangeBandMeanReversionV1,Sideways -> RangeMeanReversion -> BandStretchFade -> RangeBandMeanReversionV1,2021_2022,57,31,26,0.543859649122807,0.4159046083127224,-0.0006114329838813643,-0.03485168008123776,0.7559680884695915,-0.08512119226676362
primary_esnq,ES,RangeBandMeanReversionV1,Sideways -> RangeMeanReversion -> BandStretchFade -> RangeBandMeanReversionV1,2023_2024,216,87,129,0.4027777777777778,0.33962056495310106,-0.0012556076222354088,-0.27121124640284827,0.5048423267834151,-0.25584938185921
primary_esnq,ES,RangeBandMeanReversionV1,Sideways -> RangeMeanReversion -> BandStretchFade -> RangeBandMeanReversionV1,pre_2018,567,238,329,0.41975308641975306,0.3798038253405134,-0.00022504509560896337,-0.12760056921028223,0.803686631393242,-0.18764588723369746
primary_esnq,ES,TwentyHourBreakoutContinuationV1,Bear -> BreakoutContinuation -> TwentyHourRangeExpansion -> TwentyHourBreakoutContinuationV1,2018_2020,35,6,29,0.17142857142857143,0.08102529944856719,0.0006815387272671886,0.0238538554543516,2.220535224622911,-0.006435679689085982
primary_esnq,ES,TwentyHourBreakoutContinuationV1,Bear -> BreakoutContinuation -> TwentyHourRangeExpansion -> TwentyHourBreakoutContinuationV1,2021_2022,6,3,3,0.5,0.1876128068994087,0.005514279136354564,0.03308567481812739,4.699305569619802,-0.008291026712149208
primary_esnq,ES,TwentyHourBreakoutContinuationV1,Bear -> BreakoutContinuation -> TwentyHourRangeExpansion -> TwentyHourBreakoutContinuationV1,2023_2024,26,15,11,0.5769230769230769,0.3894829692111983,0.0006032011792572642,0.01568323066068887,1.3530576430387242,-0.020434480275375533
primary_esnq,ES,TwentyHourBreakoutContinuationV1,Bear -> BreakoutContinuation -> TwentyHourRangeExpansion -> TwentyHourBreakoutContinuationV1,pre_2018,139,53,86,0.381294964028777,0.3047706753963945,-0.0005950547209840084,-0.08271260621677717,0.7027054054347595,-0.1149657296764548
primary_esnq,ES,TwentyHourBreakoutContinuationV1,Bull -> BreakoutContinuation -> TwentyHourRangeExpansion -> TwentyHourBreakoutContinuationV1,2018_2020,87,20,67,0.22988505747126436,0.1540311569251148,-0.0002345675428788824,-0.02040737623046277,0.7352962825250052,-0.03949353310804893
primary_esnq,ES,TwentyHourBreakoutContinuationV1,Bull -> BreakoutContinuation -> TwentyHourRangeExpansion -> TwentyHourBreakoutContinuationV1,2021_2022,57,24,33,0.42105263157894735,0.3018739975305185,-0.0012393645291561748,-0.07064377816190197,0.5726730739999997,-0.08866613312364635
primary_esnq,ES,TwentyHourBreakoutContinuationV1,Bull -> BreakoutContinuation -> TwentyHourRangeExpansion -> TwentyHourBreakoutContinuationV1,2023_2024,260,145,115,0.5576923076923077,0.4969164435293556,0.0004130232234972494,0.10738603810928485,1.2349586395430392,-0.07520078062281266
primary_esnq,ES,TwentyHourBreakoutContinuationV1,Bull -> BreakoutContinuation -> TwentyHourRangeExpansion -> TwentyHourBreakoutContinuationV1,pre_2018,400,170,230,0.425,0.3774935293944863,-0.0004292554257384529,-0.17170217029538118,0.6584456123946395,-0.1622319601129497
primary_esnq,ES,TwentyHourBreakoutContinuationV1,Crisis -> BreakoutContinuation -> TwentyHourRangeExpansion -> TwentyHourBreakoutContinuationV1,2018_2020,1,0,1,0.0,0.0,-0.0002,-0.0002,0.0,0.0
primary_esnq,ES,TwentyHourBreakoutContinuationV1,Crisis -> BreakoutContinuation -> TwentyHourRangeExpansion -> TwentyHourBreakoutContinuationV1,2021_2022,30,15,15,0.5,0.3315385122717376,-0.0004740366436087847,-0.01422109930826354,0.8753081998444662,-0.040882506799274854
primary_esnq,ES,TwentyHourBreakoutContinuationV1,Crisis -> BreakoutContinuation -> TwentyHourRangeExpansion -> TwentyHourBreakoutContinuationV1,2023_2024,84,31,53,0.36904761904761907,0.2736996045974371,-0.0027545201265332018,-0.23137969062878894,0.43196689218729356,-0.22553454063932432
primary_esnq,ES,TwentyHourBreakoutContinuationV1,Crisis -> BreakoutContinuation -> TwentyHourRangeExpansion -> TwentyHourBreakoutContinuationV1,pre_2018,37,16,21,0.43243243243243246,0.2867148684035132,-0.0006785352454963447,-0.02510580408336475,0.659909523472478,-0.030323784805316056
primary_esnq,ES,TwentyHourBreakoutContinuationV1,Sideways -> BreakoutContinuation -> TwentyHourRangeExpansion -> TwentyHourBreakoutContinuationV1,2018_2020,27,6,21,0.2222222222222222,0.10607095489408955,-3.154426631984893e-05,-0.0008516951906359211,0.9109924423680589,-0.003841186487438586
primary_esnq,ES,TwentyHourBreakoutContinuationV1,Sideways -> BreakoutContinuation -> TwentyHourRangeExpansion -> TwentyHourBreakoutContinuationV1,2021_2022,22,16,6,0.7272727272727273,0.5184787630099803,0.00521515543977194,0.11473341967498268,7.3615000635878864,-0.009353767727227291
primary_esnq,ES,TwentyHourBreakoutContinuationV1,Sideways -> BreakoutContinuation -> TwentyHourRangeExpansion -> TwentyHourBreakoutContinuationV1,2023_2024,55,34,21,0.6181818181818182,0.48608979282392384,0.0017197373274912137,0.09458555301201675,1.8211667509681062,-0.02985297346665916
primary_esnq,ES,TwentyHourBreakoutContinuationV1,Sideways -> BreakoutContinuation -> TwentyHourRangeExpansion -> TwentyHourBreakoutContinuationV1,pre_2018,139,62,77,0.4460431654676259,0.36596307047230264,5.639820215130417e-05,0.00783935009903128,1.0500817938287246,-0.054053377438508465
