source_symbol_role,symbol,candidate_id,main_regime,sub_regime,sub_sub_regime_or_profit_factor,profit_factor,branch_path,trades,wins,losses,win_rate,win_rate_wilson95_lcb,mean_net_return,sum_net_return,return_profit_factor,max_drawdown_compounded
primary_esnq,ES,HourlyTrendPullbackContinuationV1,Bear,TrendContinuation,HourlyPullbackReentry,HourlyTrendPullbackContinuationV1,Bear -> TrendContinuation -> HourlyPullbackReentry -> HourlyTrendPullbackContinuationV1,799,291,508,0.3642052565707134,0.3315618427445971,-0.000263751543859888,-0.21073748354405053,0.8264301789896928,-0.2668229491794065
primary_esnq,ES,HourlyTrendPullbackContinuationV1,Bull,TrendContinuation,HourlyPullbackReentry,HourlyTrendPullbackContinuationV1,Bull -> TrendContinuation -> HourlyPullbackReentry -> HourlyTrendPullbackContinuationV1,2142,931,1211,0.434640522875817,0.4137830411971281,-4.9104548494084966e-05,-0.10518194287433,0.951606096615829,-0.19669862146879613
primary_esnq,ES,RangeBandMeanReversionV1,Sideways,RangeMeanReversion,BandStretchFade,RangeBandMeanReversionV1,Sideways -> RangeMeanReversion -> BandStretchFade -> RangeBandMeanReversionV1,988,373,615,0.3775303643724696,0.3478313578557502,-0.0004881288186218703,-0.48227127279840787,0.6562201836392144,-0.43055891415803393
primary_esnq,ES,TwentyHourBreakoutContinuationV1,Bear,BreakoutContinuation,TwentyHourRangeExpansion,TwentyHourBreakoutContinuationV1,Bear -> BreakoutContinuation -> TwentyHourRangeExpansion -> TwentyHourBreakoutContinuationV1,206,77,129,0.3737864077669903,0.31059515501858037,-4.8979831473831565e-05,-0.010089845283609303,0.9712643452719234,-0.1149657296764548
primary_esnq,ES,TwentyHourBreakoutContinuationV1,Bull,BreakoutContinuation,TwentyHourRangeExpansion,TwentyHourBreakoutContinuationV1,Bull -> BreakoutContinuation -> TwentyHourRangeExpansion -> TwentyHourBreakoutContinuationV1,804,359,445,0.4465174129353234,0.41248895823458254,-0.00019324289375430477,-0.15536728657846102,0.8707600157102097,-0.25524396338419564
primary_esnq,ES,TwentyHourBreakoutContinuationV1,Crisis,BreakoutContinuation,TwentyHourRangeExpansion,TwentyHourBreakoutContinuationV1,Crisis -> BreakoutContinuation -> TwentyHourRangeExpansion -> TwentyHourBreakoutContinuationV1,152,62,90,0.40789473684210525,0.33297256606751885,-0.001782280223818534,-0.27090659402041717,0.5450051288715521,-0.2460545336911344
primary_esnq,ES,TwentyHourBreakoutContinuationV1,Sideways,BreakoutContinuation,TwentyHourRangeExpansion,TwentyHourBreakoutContinuationV1,Sideways -> BreakoutContinuation -> TwentyHourRangeExpansion -> TwentyHourBreakoutContinuationV1,243,118,125,0.48559670781893005,0.42347043861896416,0.0008901507308452464,0.21630662759539487,1.722660922202113,-0.054053377438508465
primary_esnq,ES,VolatilityExpansionFadeV1,Bear,VolatilityShock,SixHourExhaustionFade,VolatilityExpansionFadeV1,Bear -> VolatilityShock -> SixHourExhaustionFade -> VolatilityExpansionFadeV1,41,16,25,0.3902439024390244,0.2565593521532712,0.0005934424249907059,0.024331139424618946,1.262485054900245,-0.04847434967891573
primary_esnq,ES,VolatilityExpansionFadeV1,Bull,VolatilityShock,SixHourExhaustionFade,VolatilityExpansionFadeV1,Bull -> VolatilityShock -> SixHourExhaustionFade -> VolatilityExpansionFadeV1,459,195,264,0.42483660130718953,0.3804215232210186,-0.0011038675583233781,-0.5066752092704305,0.5483759434693207,-0.4168491246920383
primary_esnq,ES,VolatilityExpansionFadeV1,Crisis,VolatilityShock,SixHourExhaustionFade,VolatilityExpansionFadeV1,Crisis -> VolatilityShock -> SixHourExhaustionFade -> VolatilityExpansionFadeV1,657,362,295,0.5509893455098934,0.5127683726239168,0.001247508575209764,0.819613133912815,1.4639311213639374,-0.19433412743440082
primary_esnq,ES,VolatilityExpansionFadeV1,Sideways,VolatilityShock,SixHourExhaustionFade,VolatilityExpansionFadeV1,Sideways -> VolatilityShock -> SixHourExhaustionFade -> VolatilityExpansionFadeV1,379,153,226,0.40369393139841686,0.35550265201404235,-0.0017150234577542533,-0.649993890488862,0.44793063588315757,-0.51896734375668
primary_esnq,NQ,HourlyTrendPullbackContinuationV1,Bear,TrendContinuation,HourlyPullbackReentry,HourlyTrendPullbackContinuationV1,Bear -> TrendContinuation -> HourlyPullbackReentry -> HourlyTrendPullbackContinuationV1,803,370,433,0.46077210460772106,0.4265636987083859,-0.00017198546447245904,-0.1381043279713846,0.9730556486672916,-0.5952998813649251
primary_esnq,NQ,HourlyTrendPullbackContinuationV1,Bull,TrendContinuation,HourlyPullbackReentry,HourlyTrendPullbackContinuationV1,Bull -> TrendContinuation -> HourlyPullbackReentry -> HourlyTrendPullbackContinuationV1,1280,602,678,0.4703125,0.4430986220632161,-7.402567964776264e-05,-0.09475286994913618,0.9856752381488232,-0.5820220392701368
primary_esnq,NQ,RangeBandMeanReversionV1,Sideways,RangeMeanReversion,BandStretchFade,RangeBandMeanReversionV1,Sideways -> RangeMeanReversion -> BandStretchFade -> RangeBandMeanReversionV1,600,278,322,0.4633333333333333,0.42379243570223857,-0.0017658029338123763,-1.0594817602874258,0.7402755058448086,-0.7304538053344241
primary_esnq,NQ,TwentyHourBreakoutContinuationV1,Bear,BreakoutContinuation,TwentyHourRangeExpansion,TwentyHourBreakoutContinuationV1,Bear -> BreakoutContinuation -> TwentyHourRangeExpansion -> TwentyHourBreakoutContinuationV1,207,105,102,0.5072463768115942,0.43962998441412354,0.0030913623979865294,0.6399120163832116,1.5143516733531843,-0.19555512472359882
primary_esnq,NQ,TwentyHourBreakoutContinuationV1,Bull,BreakoutContinuation,TwentyHourRangeExpansion,TwentyHourBreakoutContinuationV1,Bull -> BreakoutContinuation -> TwentyHourRangeExpansion -> TwentyHourBreakoutContinuationV1,488,249,239,0.5102459016393442,0.46598615479906585,-0.00011212839056612588,-0.05471865459626943,0.9836776237797737,-0.550211742721106
primary_esnq,NQ,TwentyHourBreakoutContinuationV1,Crisis,BreakoutContinuation,TwentyHourRangeExpansion,TwentyHourBreakoutContinuationV1,Crisis -> BreakoutContinuation -> TwentyHourRangeExpansion -> TwentyHourBreakoutContinuationV1,132,57,75,0.4318181818181818,0.3504261969873424,-0.009687945464468417,-1.278808801309831,0.44757293506586815,-0.7499844227560412
primary_esnq,NQ,TwentyHourBreakoutContinuationV1,Sideways,BreakoutContinuation,TwentyHourRangeExpansion,TwentyHourBreakoutContinuationV1,Sideways -> BreakoutContinuation -> TwentyHourRangeExpansion -> TwentyHourBreakoutContinuationV1,222,127,95,0.5720720720720721,0.50630400659589,0.0023257704679407127,0.5163210438828382,1.3642473240712865,-0.34069041080796814
primary_esnq,NQ,VolatilityExpansionFadeV1,Bear,VolatilityShock,SixHourExhaustionFade,VolatilityExpansionFadeV1,Bear -> VolatilityShock -> SixHourExhaustionFade -> VolatilityExpansionFadeV1,63,31,32,0.49206349206349204,0.3726660281435346,-0.0030183337994672374,-0.19015502936643597,0.8040365618507915,-0.4798690974389408
primary_esnq,NQ,VolatilityExpansionFadeV1,Bull,VolatilityShock,SixHourExhaustionFade,VolatilityExpansionFadeV1,Bull -> VolatilityShock -> SixHourExhaustionFade -> VolatilityExpansionFadeV1,257,116,141,0.45136186770428016,0.3916828296847658,-0.0026646021912094396,-0.684802763140826,0.8032773602838131,-0.8344095996543974
primary_esnq,NQ,VolatilityExpansionFadeV1,Crisis,VolatilityShock,SixHourExhaustionFade,VolatilityExpansionFadeV1,Crisis -> VolatilityShock -> SixHourExhaustionFade -> VolatilityExpansionFadeV1,425,204,221,0.48,0.43289311300453687,0.0018157083836010202,0.7716760630304336,1.1501156862532156,-0.5601684692841536
primary_esnq,NQ,VolatilityExpansionFadeV1,Sideways,VolatilityShock,SixHourExhaustionFade,VolatilityExpansionFadeV1,Sideways -> VolatilityShock -> SixHourExhaustionFade -> VolatilityExpansionFadeV1,242,101,141,0.41735537190082644,0.3569903487303071,-0.008926797730214289,-2.160285050711858,0.5043163034024998,-0.9264783096829448
support_cross_market,EUR,HourlyTrendPullbackContinuationV1,Bear,TrendContinuation,HourlyPullbackReentry,HourlyTrendPullbackContinuationV1,Bear -> TrendContinuation -> HourlyPullbackReentry -> HourlyTrendPullbackContinuationV1,841,320,521,0.380499405469679,0.3482992148033648,-0.00025865123631445096,-0.21752568974045325,0.6434224630412925,-0.2033343788574351
support_cross_market,EUR,HourlyTrendPullbackContinuationV1,Bull,TrendContinuation,HourlyPullbackReentry,HourlyTrendPullbackContinuationV1,Bull -> TrendContinuation -> HourlyPullbackReentry -> HourlyTrendPullbackContinuationV1,732,282,450,0.38524590163934425,0.3506770790415115,-0.00043167731903752865,-0.31598779753547096,0.564332517477551,-0.2768259780860425
support_cross_market,EUR,RangeBandMeanReversionV1,Sideways,RangeMeanReversion,BandStretchFade,RangeBandMeanReversionV1,Sideways -> RangeMeanReversion -> BandStretchFade -> RangeBandMeanReversionV1,489,176,313,0.35991820040899797,0.3186198417168145,-0.0003691849004501689,-0.1805314163201326,0.5960280598105704,-0.1856317463868996
support_cross_market,EUR,TwentyHourBreakoutContinuationV1,Bear,BreakoutContinuation,TwentyHourRangeExpansion,TwentyHourBreakoutContinuationV1,Bear -> BreakoutContinuation -> TwentyHourRangeExpansion -> TwentyHourBreakoutContinuationV1,284,123,161,0.43309859154929575,0.37674097497941994,-0.00022163067263324712,-0.06294311102784218,0.742107330130656,-0.08024154157809649
