source_symbol_role,symbol,candidate_id,period_bucket,trades,wins,losses,win_rate,win_rate_wilson95_lcb,mean_net_return,sum_net_return,return_profit_factor,max_drawdown_compounded
primary_esnq,ES,HourlyTrendPullbackContinuationV1,2018_2020,322,42,280,0.13043478260869565,0.09796526574637238,-0.0002453098599400591,-0.07898977490069903,0.5338054612916626,-0.09505209718458141
primary_esnq,ES,HourlyTrendPullbackContinuationV1,2021_2022,212,113,99,0.5330188679245284,0.46586918744870714,7.065490588736125e-05,0.014978840048120584,1.0446931863669013,-0.09288544188158898
primary_esnq,ES,HourlyTrendPullbackContinuationV1,2023_2024,725,354,371,0.4882758620689655,0.45204734585094836,7.913220852042752e-05,0.057370851177309945,1.0485241942409325,-0.22324619267843515
primary_esnq,ES,HourlyTrendPullbackContinuationV1,pre_2018,1682,713,969,0.4239001189060642,0.4004828713825319,-0.00018387594693407378,-0.3092793427431121,0.8181451423828111,-0.28497824680548844
primary_esnq,ES,RangeBandMeanReversionV1,2018_2020,148,17,131,0.11486486486486487,0.0729636304472414,-0.00032843092637864567,-0.04860777710403956,0.22005520214017849,-0.048884288849290414
primary_esnq,ES,RangeBandMeanReversionV1,2021_2022,57,31,26,0.543859649122807,0.4159046083127224,-0.0006114329838813643,-0.03485168008123776,0.7559680884695915,-0.08512119226676362
primary_esnq,ES,RangeBandMeanReversionV1,2023_2024,216,87,129,0.4027777777777778,0.33962056495310106,-0.0012556076222354088,-0.27121124640284827,0.5048423267834151,-0.25584938185921
primary_esnq,ES,RangeBandMeanReversionV1,pre_2018,567,238,329,0.41975308641975306,0.3798038253405134,-0.00022504509560896337,-0.12760056921028223,0.803686631393242,-0.18764588723369746
primary_esnq,ES,TwentyHourBreakoutContinuationV1,2018_2020,150,32,118,0.21333333333333335,0.1553614367018253,1.596522688835279e-05,0.0023947840332529183,1.0225057345745805,-0.03954198873547232
primary_esnq,ES,TwentyHourBreakoutContinuationV1,2021_2022,115,58,57,0.5043478260869565,0.41431426709691954,0.0005474279741125617,0.0629542170229446,1.205501128214795,-0.0962486335058671
primary_esnq,ES,TwentyHourBreakoutContinuationV1,2023_2024,425,225,200,0.5294117647058824,0.48190591920922604,-3.229380905129005e-05,-0.013724868846798272,0.986596581022517,-0.13657381917065758
primary_esnq,ES,TwentyHourBreakoutContinuationV1,pre_2018,715,301,414,0.42097902097902096,0.3853063605918556,-0.00037997374894614244,-0.27168123049649184,0.7313485374519323,-0.2537644257028673
primary_esnq,ES,VolatilityExpansionFadeV1,2018_2020,12,5,7,0.4166666666666667,0.19325746190524654,0.00047065686232597106,0.0056478823479116525,1.2691648150562014,-0.013795976367563134
primary_esnq,ES,VolatilityExpansionFadeV1,2021_2022,282,139,143,0.4929078014184397,0.4350442021054147,0.00032530394449998125,0.0917357123489947,1.1092522124401407,-0.2156192539232552
primary_esnq,ES,VolatilityExpansionFadeV1,2023_2024,936,440,496,0.4700854700854701,0.43829800638372396,-0.0002667378945002109,-0.24966666925219738,0.9085095932933309,-0.520444780290354
primary_esnq,ES,VolatilityExpansionFadeV1,pre_2018,306,142,164,0.46405228758169936,0.408965790313351,-0.0005243194505443387,-0.16044175186656764,0.7180794212809283,-0.21856383935978851
primary_esnq,NQ,HourlyTrendPullbackContinuationV1,2018_2020,848,369,479,0.43514150943396224,0.40213904571977527,-0.0013271357250384554,-1.1254110948326101,0.7682721853483405,-0.7372483966959602
primary_esnq,NQ,HourlyTrendPullbackContinuationV1,2021_2022,387,199,188,0.5142118863049095,0.46452125633314034,0.0027494609220137184,1.064041376819309,1.3146260070113926,-0.28561104041373764
primary_esnq,NQ,HourlyTrendPullbackContinuationV1,2023_2024,380,178,202,0.46842105263157896,0.41881523420541744,-0.0003353568264792161,-0.12743559406210211,0.9563781700356756,-0.4680469720533773
primary_esnq,NQ,HourlyTrendPullbackContinuationV1,pre_2018,468,226,242,0.4829059829059829,0.4379555893874863,-9.412796120751736e-05,-0.04405188584511813,0.9240819735369216,-0.1914640833300154
primary_esnq,NQ,RangeBandMeanReversionV1,2018_2020,163,74,89,0.4539877300613497,0.3794910261736095,-0.0012035359808791769,-0.19617636488330584,0.8459603371343477,-0.38075710889865677
