source_index,trade_id,root,realized_outcome,pnl,regime_profit_branch_path,feedback_path
37,SourceRootStopCarryLongHorizonV1:crisis_carry_h8_sl048_tp12:DIA/USD:1d:329,Crisis,win,0.04711060946682559,Crisis -> CrisisReliefCarry -> StopManagedPanicRecovery -> SourceRootStopCarryLongHorizonV1:crisis_carry_h8_sl048_tp12,docs/experiments/actionable-regime-confidence/runs/20260511T220646-codex-board-b-source-root-stop-carry-longhorizon-v1/b5-branch-feedback-calibration-v1/feedback/feedback_037_crisis.json
38,SourceRootStopCarryLongHorizonV1:crisis_carry_h8_sl048_tp12:EEM/USD:1d:1509,Crisis,loss,-0.048600000000000046,Crisis -> CrisisReliefCarry -> StopManagedPanicRecovery -> SourceRootStopCarryLongHorizonV1:crisis_carry_h8_sl048_tp12,docs/experiments/actionable-regime-confidence/runs/20260511T220646-codex-board-b-source-root-stop-carry-longhorizon-v1/b5-branch-feedback-calibration-v1/feedback/feedback_038_crisis.json
39,SourceRootStopCarryLongHorizonV1:crisis_carry_h8_sl048_tp12:EFA/USD:1d:4680,Crisis,win,0.03932559193419431,Crisis -> CrisisReliefCarry -> StopManagedPanicRecovery -> SourceRootStopCarryLongHorizonV1:crisis_carry_h8_sl048_tp12,docs/experiments/actionable-regime-confidence/runs/20260511T220646-codex-board-b-source-root-stop-carry-longhorizon-v1/b5-branch-feedback-calibration-v1/feedback/feedback_039_crisis.json
40,SourceRootStopCarryLongHorizonV1:crisis_carry_h8_sl048_tp12:IEF/USD:1d:1,Crisis,win,0.01733385046324225,Crisis -> CrisisReliefCarry -> StopManagedPanicRecovery -> SourceRootStopCarryLongHorizonV1:crisis_carry_h8_sl048_tp12,docs/experiments/actionable-regime-confidence/runs/20260511T220646-codex-board-b-source-root-stop-carry-longhorizon-v1/b5-branch-feedback-calibration-v1/feedback/feedback_040_crisis.json
41,SourceRootStopCarryLongHorizonV1:crisis_carry_h8_sl048_tp12:IWM/USD:1d:1114,Crisis,win,0.05018882655920891,Crisis -> CrisisReliefCarry -> StopManagedPanicRecovery -> SourceRootStopCarryLongHorizonV1:crisis_carry_h8_sl048_tp12,docs/experiments/actionable-regime-confidence/runs/20260511T220646-codex-board-b-source-root-stop-carry-longhorizon-v1/b5-branch-feedback-calibration-v1/feedback/feedback_041_crisis.json
42,SourceRootStopCarryLongHorizonV1:crisis_carry_h8_sl048_tp12:QQQ/USD:1d:2351,Crisis,loss,-0.020978074815276315,Crisis -> CrisisReliefCarry -> StopManagedPanicRecovery -> SourceRootStopCarryLongHorizonV1:crisis_carry_h8_sl048_tp12,docs/experiments/actionable-regime-confidence/runs/20260511T220646-codex-board-b-source-root-stop-carry-longhorizon-v1/b5-branch-feedback-calibration-v1/feedback/feedback_042_crisis.json
43,SourceRootStopCarryLongHorizonV1:crisis_carry_h8_sl048_tp12:SPY/USD:1d:502,Crisis,loss,-0.04140871478017134,Crisis -> CrisisReliefCarry -> StopManagedPanicRecovery -> SourceRootStopCarryLongHorizonV1:crisis_carry_h8_sl048_tp12,docs/experiments/actionable-regime-confidence/runs/20260511T220646-codex-board-b-source-root-stop-carry-longhorizon-v1/b5-branch-feedback-calibration-v1/feedback/feedback_043_crisis.json
44,SourceRootStopCarryLongHorizonV1:crisis_carry_h8_sl048_tp12:TLT/USD:1d:1593,Crisis,win,0.09358848009713065,Crisis -> CrisisReliefCarry -> StopManagedPanicRecovery -> SourceRootStopCarryLongHorizonV1:crisis_carry_h8_sl048_tp12,docs/experiments/actionable-regime-confidence/runs/20260511T220646-codex-board-b-source-root-stop-carry-longhorizon-v1/b5-branch-feedback-calibration-v1/feedback/feedback_044_crisis.json
45,SourceRootStopCarryLongHorizonV1:crisis_carry_h8_sl048_tp12:UUP/USD:1d:466,Crisis,win,0.016470273210839426,Crisis -> CrisisReliefCarry -> StopManagedPanicRecovery -> SourceRootStopCarryLongHorizonV1:crisis_carry_h8_sl048_tp12,docs/experiments/actionable-regime-confidence/runs/20260511T220646-codex-board-b-source-root-stop-carry-longhorizon-v1/b5-branch-feedback-calibration-v1/feedback/feedback_045_crisis.json
46,SourceRootStopCarryLongHorizonV1:crisis_carry_h8_sl048_tp12:XLP/USD:1d:2690,Crisis,win,0.0225873203930979,Crisis -> CrisisReliefCarry -> StopManagedPanicRecovery -> SourceRootStopCarryLongHorizonV1:crisis_carry_h8_sl048_tp12,docs/experiments/actionable-regime-confidence/runs/20260511T220646-codex-board-b-source-root-stop-carry-longhorizon-v1/b5-branch-feedback-calibration-v1/feedback/feedback_046_crisis.json
47,SourceRootStopCarryLongHorizonV1:crisis_carry_h8_sl048_tp12:XLV/USD:1d:502,Crisis,loss,-0.022684735064514915,Crisis -> CrisisReliefCarry -> StopManagedPanicRecovery -> SourceRootStopCarryLongHorizonV1:crisis_carry_h8_sl048_tp12,docs/experiments/actionable-regime-confidence/runs/20260511T220646-codex-board-b-source-root-stop-carry-longhorizon-v1/b5-branch-feedback-calibration-v1/feedback/feedback_047_crisis.json
48,SourceRootStopCarryLongHorizonV1:crisis_carry_h8_sl048_tp12:NQ/USD:4h:18840,Crisis,loss,-0.0025396877718262038,Crisis -> CrisisReliefCarry -> StopManagedPanicRecovery -> SourceRootStopCarryLongHorizonV1:crisis_carry_h8_sl048_tp12,docs/experiments/actionable-regime-confidence/runs/20260511T220646-codex-board-b-source-root-stop-carry-longhorizon-v1/b5-branch-feedback-calibration-v1/feedback/feedback_048_crisis.json
