requirement,evidence,status,notes
"regime-rooted profitable factor training","104703 positive BTC EMA/RSI; 104902/105014 BTC pullback positive sleeve; 105637 provider-linked momentum negative/low-support","partial_fail_closed","Positive branches exist, but no branch is provider-matrix-backed and promotable."
"branch path main_regime -> sub_regime -> sub_sub_regime_or_profit_factor -> profit_factor","111403 preserved Range -> ProviderCryptoPullback -> MeanRevertBounce -> ProviderCryptoPullbackRevertV1 into structural target and execution candidate","partial","Bridge blocker improved for 105014, but this is not a new standalone AQ recipe and still fail-closes downstream."
"Auto-Quant -> filter/Pre-Bayes -> BBN -> CatBoost/path-ranker -> execution tree","111403 chain ran after ingest bridge fix; 111309/110913 provider-linked momentum downstream; 110224 exact 104902 downstream","partial_fail_closed","Chains ran, but Pre-Bayes policy absent/empty, CatBoost/path-ranker not trained/registered, and execution tree fail-closed."
"provider matrix includes IBKR, TradingViewRemix/TVR, yfinance/YF, Kraken, Binance, Bybit","111602 TVR ready + 21 QQQ rows; 111538 direct IBKR SPY rows; 105637 yfinance/Kraken/Binance/Bybit BTC rows","partial_fail_closed","Provider reachability improved, but no same-root AQ workflow used all required providers with comparable rows and real trades."
"cross-provider positive profitability","105637 provider-linked public BTC momentum negative/zero; 104703/105014/104902 positive evidence not six-provider-backed","not_achieved","No positive rooted branch survived the provider matrix."
"branch-preserving structural/path-ranking maturity","111403 observation validation 146/30 ready and exact branch selected; mature_rows=1, history_rows=2; raw_scored_mature=0/30 and production_validation=0/30","partial_fail_closed","Observation validation improved, but CatBoost/path-ranker production validation remains absent."
"CatBoost/path-ranker trainer/runtime","111403 trainer artifact missing, runtime selection disabled, raw scored mature 0/30, production validation 0/30","not_achieved","No trained/registered path-ranker artifact."
"execution tree non-observe release","111403 execution candidate selected exact branch but ready=false/actionable=false; full workflow fail_closed","not_achieved","No actionable execution-tree release."
"selected-history and source/control unlock","latest board duplicate guards keep selected_history=false and source/control evidence absent","not_achieved","Required promotion guard remains closed."
"multi-agent safety","current board tail and active runs read; stale local audit removed; new audit is append-only","achieved_for_this_slice","No existing board sections or other run roots overwritten."
"completion/update_goal","latest effective gates retain promotion_allowed=false, trade_usable=false, update_goal=false","not_complete","Do not call update_goal."
