channel_id,message_id,Date,Time,coin,dt,source,label_source,target,classified_telegram_coin_pump_event_present,split
1103022245,23,2017-05-18,11:16:01,CTO,2017-05-18 11:16:01,Mehrnoom_Mirtaheri_Telegram_coin_pump_csv,classified_telegram_pump_attempt,1,1,train
1103022245,23,2017-05-18,11:16:01,POLL,2017-05-18 11:16:01,Mehrnoom_Mirtaheri_Telegram_coin_pump_csv,classified_telegram_pump_attempt,1,1,train
1321570188,negative_control_for_1286_56994,2017-05-18,11:34:02,BTC,2017-05-18 11:34:02,synthetic_same_coin_non_event_control,no_classified_telegram_pump_attempt_within_24h,0,0,train
1137853181,negative_control_for_9879_33415,2017-05-18,11:47:39,BTC,2017-05-18 11:47:39,synthetic_same_coin_non_event_control,no_classified_telegram_pump_attempt_within_24h,0,0,train
1129197833,negative_control_for_1248_40656,2017-05-18,11:53:45,RCN,2017-05-18 11:53:45,synthetic_same_coin_non_event_control,no_classified_telegram_pump_attempt_within_24h,0,0,train
1129226192,negative_control_for_5853_2567,2017-05-18,12:00:34,HOLD,2017-05-18 12:00:34,synthetic_same_coin_non_event_control,no_classified_telegram_pump_attempt_within_24h,0,0,train
1138714324,negative_control_for_46_56388,2017-05-18,12:38:50,HOLD,2017-05-18 12:38:50,synthetic_same_coin_non_event_control,no_classified_telegram_pump_attempt_within_24h,0,0,train
1144675996,negative_control_for_6300_43821,2017-05-18,12:40:45,HOLD,2017-05-18 12:40:45,synthetic_same_coin_non_event_control,no_classified_telegram_pump_attempt_within_24h,0,0,train
1142644156,negative_control_for_2840_25295,2017-05-18,12:57:26,BTC,2017-05-18 12:57:26,synthetic_same_coin_non_event_control,no_classified_telegram_pump_attempt_within_24h,0,0,train
1228043983,negative_control_for_7535_1739,2017-05-18,13:13:55,ADA,2017-05-18 13:13:55,synthetic_same_coin_non_event_control,no_classified_telegram_pump_attempt_within_24h,0,0,train
1128135714,negative_control_for_3597_52892,2017-05-18,13:16:43,BTC,2017-05-18 13:16:43,synthetic_same_coin_non_event_control,no_classified_telegram_pump_attempt_within_24h,0,0,train
1137853181,negative_control_for_4176_35266,2017-05-18,13:21:04,BTC,2017-05-18 13:21:04,synthetic_same_coin_non_event_control,no_classified_telegram_pump_attempt_within_24h,0,0,train
1332660440,negative_control_for_105_9473,2017-05-18,13:29:28,BTC,2017-05-18 13:29:28,synthetic_same_coin_non_event_control,no_classified_telegram_pump_attempt_within_24h,0,0,train
1268278510,negative_control_for_8302_50628,2017-05-18,13:32:11,HOLD,2017-05-18 13:32:11,synthetic_same_coin_non_event_control,no_classified_telegram_pump_attempt_within_24h,0,0,train
1168808502,negative_control_for_162_27258,2017-05-18,13:33:17,BTC,2017-05-18 13:33:17,synthetic_same_coin_non_event_control,no_classified_telegram_pump_attempt_within_24h,0,0,train
1258098667,negative_control_for_557_28066,2017-05-18,13:40:25,BTC,2017-05-18 13:40:25,synthetic_same_coin_non_event_control,no_classified_telegram_pump_attempt_within_24h,0,0,train
1170225132,negative_control_for_2879_53450,2017-05-18,13:46:11,CAN,2017-05-18 13:46:11,synthetic_same_coin_non_event_control,no_classified_telegram_pump_attempt_within_24h,0,0,train
1149375708,negative_control_for_930_30465,2017-05-18,13:57:53,BTC,2017-05-18 13:57:53,synthetic_same_coin_non_event_control,no_classified_telegram_pump_attempt_within_24h,0,0,train
1286919325,negative_control_for_5439_54310,2017-05-18,14:13:25,BTC,2017-05-18 14:13:25,synthetic_same_coin_non_event_control,no_classified_telegram_pump_attempt_within_24h,0,0,train
