regime,taxonomy_role,evidence_layer,scope,gate_or_variety,rule_or_signal,calibration_support,calibration_wilson95_lcb,heldout_time_support,heldout_time_wilson95_lcb,heldout_context_support,heldout_context_wilson95_lcb,min_split_wilson95_lcb,accepted_95,limitations,artifact
Bull,MainRegimeV2_price_root,daily_parent_root_factor,daily_us_equity_index_source_panel_after_252d_warmup,bull_252d_upper_range_abstain_v1,range_pos_252 >= 0.97,6313.0,0.9809455855,3465.0,0.9797225384,10183.0,0.9836934737,0.9797225384,True,"Scoped parent-root factor, not full-universe/full-timeframe completion.",docs/experiments/actionable-regime-confidence/runs/20260511T125122-codex-stock-market-regimes-parent-root-abstain/parent-root-abstain/stock_market_regimes_parent_root_abstain.json
Bear,MainRegimeV2_price_root,daily_parent_root_factor,daily_us_equity_index_source_panel_after_252d_warmup,bear_20d_selloff_cross_section_bottom_abstain_v1,ret_sum_20 <= -0.0477408661 AND range_pos_252_date_rank <= 0.05555555556 AND range_pos_252 <= 0.102802065,568.0,0.9747822597,816.0,0.963920242,471.0,0.9814427175,0.963920242,True,"Scoped parent-root factor, not full-universe/full-timeframe completion.",docs/experiments/actionable-regime-confidence/runs/20260511T125122-codex-stock-market-regimes-parent-root-abstain/parent-root-abstain/stock_market_regimes_parent_root_abstain.json
Sideways,MainRegimeV2_price_root,daily_parent_root_factor,daily_us_equity_index_source_panel_after_252d_warmup,sideways_source_confidence_low_range_abstain_v1,regime_confidence >= 0.857 AND volatility <= 0.25 AND range_width_60 <= 0.25 AND abs(ret_sum_20) <= 0.05,1223.0,0.9968688221,607.0,0.9937112015,2994.0,0.9987185917,0.9937112015,True,"Scoped parent-root factor, not full-universe/full-timeframe completion.",docs/experiments/actionable-regime-confidence/runs/20260511T125122-codex-stock-market-regimes-parent-root-abstain/parent-root-abstain/stock_market_regimes_parent_root_abstain.json
Crisis,MainRegimeV2_price_root,daily_parent_root_factor,daily_us_equity_index_source_panel_after_252d_warmup,crisis_deep_drawdown_rebound_high_vol_abstain_v1,drawdown_252 <= -0.4112279736 AND ret_sum_20 >= 0.1485748712 AND volatility >= 0.443713301,97.0,0.9619059575,148.0,0.9747008567,226.0,0.9753663436,0.9619059575,True,"Scoped parent-root factor, not full-universe/full-timeframe completion.",docs/experiments/actionable-regime-confidence/runs/20260511T125122-codex-stock-market-regimes-parent-root-abstain/parent-root-abstain/stock_market_regimes_parent_root_abstain.json
Bull,MainRegimeV2_price_root,1w_source_consensus_context,same_source_weekly_monthly_axiswise_context,1w:Bull,emit only when label_share >= 0.95; validate daily source-label agreement in emitted window,13506.0,0.9997156548,12181.0,0.9996847346,21516.0,0.9998214922,0.9996847346,True,Same-source timeframe context; not an intraday micro-regime.,docs/experiments/actionable-regime-confidence/runs/20260511T131922-codex-source-consensus-axiswise-timeframe-gate-v1/source-consensus-axiswise/source_consensus_axiswise_timeframe_gate_v1_summary.csv
Bear,MainRegimeV2_price_root,1w_source_consensus_context,same_source_weekly_monthly_axiswise_context,1w:Bear,emit only when label_share >= 0.95; validate daily source-label agreement in emitted window,4419.0,0.99913145,7293.0,0.999473545,7877.0,0.9995125573,0.99913145,True,Same-source timeframe context; not an intraday micro-regime.,docs/experiments/actionable-regime-confidence/runs/20260511T131922-codex-source-consensus-axiswise-timeframe-gate-v1/source-consensus-axiswise/source_consensus_axiswise_timeframe_gate_v1_summary.csv
Sideways,MainRegimeV2_price_root,1w_source_consensus_context,same_source_weekly_monthly_axiswise_context,1w:Sideways,emit only when label_share >= 0.95; validate daily source-label agreement in emitted window,3478.0,0.9988967163,2993.0,0.9987181641,6877.0,0.9994417167,0.9987181641,True,Same-source timeframe context; not an intraday micro-regime.,docs/experiments/actionable-regime-confidence/runs/20260511T131922-codex-source-consensus-axiswise-timeframe-gate-v1/source-consensus-axiswise/source_consensus_axiswise_timeframe_gate_v1_summary.csv
Crisis,MainRegimeV2_price_root,1w_source_consensus_context,same_source_weekly_monthly_axiswise_context,1w:Crisis,emit only when label_share >= 0.95; validate daily source-label agreement in emitted window,1704.0,0.9977506935,2399.0,0.9984012849,3478.0,0.9988967163,0.9977506935,True,Same-source timeframe context; not an intraday micro-regime.,docs/experiments/actionable-regime-confidence/runs/20260511T131922-codex-source-consensus-axiswise-timeframe-gate-v1/source-consensus-axiswise/source_consensus_axiswise_timeframe_gate_v1_summary.csv
Bull,MainRegimeV2_price_root,1mo_source_consensus_context,same_source_weekly_monthly_axiswise_context,1mo:Bull,emit only when label_share >= 0.95; validate daily source-label agreement in emitted window,7522.0,0.9875205249,6160.0,0.9883971558,11376.0,0.9892244255,0.9875205249,True,Same-source timeframe context; not an intraday micro-regime.,docs/experiments/actionable-regime-confidence/runs/20260511T131922-codex-source-consensus-axiswise-timeframe-gate-v1/source-consensus-axiswise/source_consensus_axiswise_timeframe_gate_v1_summary.csv
Bear,MainRegimeV2_price_root,1mo_source_consensus_context,same_source_weekly_monthly_axiswise_context,1mo:Bear,emit only when label_share >= 0.95; validate daily source-label agreement in emitted window,1364.0,0.9865571155,2793.0,0.9813814842,2803.0,0.9826843089,0.9813814842,True,Same-source timeframe context; not an intraday micro-regime.,docs/experiments/actionable-regime-confidence/runs/20260511T131922-codex-source-consensus-axiswise-timeframe-gate-v1/source-consensus-axiswise/source_consensus_axiswise_timeframe_gate_v1_summary.csv
