requirement,status,evidence,gap
Named Board A markdown remains the live contract,pass,docs/plans/2026-05-10-actionable-regime-confidence-todo.md; sha256_at_audit=8651a75652b7e36279b4577fcf3b3860d03b67a2303e0622d0b9fcdc7dbb1449,none
Every MainRegimeV2 regime reaches calibrated confidence >=95%,blocked,012425/014305/015121 preserve accepted labels as empty and strict objective false,No accepted Bull/Bear/Sideways/Crisis packet; Bull/Sideways are field-complete leads only.
Each accepted regime has its own qualifying condition,partial,012425 source-label fail-closed audit,"Condition leads exist for Bull/Sideways, but no accepted labels; Bear/Crisis remain unaccepted."
Validation transfers to other markets and cycles/timeframes,blocked,"r3={'path': '/tmp/ict-engine-native-subhour-source-label-intake', 'present': False, 'file_count': 0}; r5={'path': '/tmp/ict-engine-source-panel-recency-extension', 'present': False, 'file_count': 0}; source_label={'path': '/tmp/ict-engine-source-label-equivalence-intake', 'present': True, 'file_count': 2}",R3 native sub-hour and R5 recency roots absent; source-label equivalence is daily-only and confidence-blocked.
R6 direct manipulation has source-owned normal controls or explicit FLIP approval,blocked,"r6={'path': '/tmp/ict-engine-board-a-r6-owner-export-v1', 'present': False, 'file_count': 0}; 015040 v4 request packet; 015121 source-arrival poll",Owner-export root absent; controls 0; FLIP approval false; request drafts are not data.
"Provider context includes IBKR, TradingViewRemix, yfinance, and Kraken",partial,013533 provider/runtime readback and later board registrations,"Provider surfaces are read-only context; yfinance/Kraken CLI usable, while IBKR/TradingView/Kraken public remain not promotion evidence."
Operate Auto-Quant as part of the real chain,blocked,013904 Auto-Quant cache readback; Tomac latest result has 9 trades and negative profit,Auto-Quant evidence is parseable but low-trade/negative and contains no accepted source/control roots.
"Operate ict-engine filter, Pre-Bayes/BBN, CatBoost/path-ranking, and execution-tree surfaces",partial,013533 read-only runtime chain refresh,Commands were callable/read-only; downstream promotion rerun remains disallowed until source/control roots and canonical merge pass.
"Use v4 sendable request packet only as operator handoff, not acceptance evidence",pass,015040 v4 request packet registered as requests_refreshed_current_routes_controls_not_acquired_no_merge,none for posture; still not completion evidence
Multi-agent append-only discipline preserved,pass,This audit writes an isolated run root and only appends a board registration after re-read.,none
Goal may be marked complete,blocked,accepted_rows_added=0; canonical_merge_allowed=false; downstream_chain_rerun_allowed=false,Source/control evidence and per-regime 95% acceptance are missing.
